 cont  poro_truth	 poro_melhor
           1  9.9362493E-02  0.1029725    
           1  0.1726775      0.1728507    
           1  0.2072725      0.2137339    
           1  0.1954775      0.1583040    
           1  0.1748625      0.1728572    
           1  3.4022503E-02  3.9884415E-02
           1  5.6410000E-02  5.2215822E-02
           1  9.9254996E-02  8.5053638E-02
           1  0.1880200      0.1941351    
           1  0.1801225      0.1992560    
           1  0.1291875      0.1298667    
           1  0.1399275      0.1326976    
           1  6.4735003E-02  5.9110906E-02
           1  4.4509999E-02  4.9625918E-02
           1  0.1137525      9.7937584E-02
           1  0.1586550      0.1646847    
           1  0.1567300      0.1515967    
           1  6.2720001E-02  5.7438057E-02
           1  7.4287504E-02  6.0730699E-02
           1  0.1150525      0.1308095    
           1  9.2902504E-02  0.1118832    
           1  6.3709997E-02  6.2568732E-02
           1  0.1466575      0.1404881    
           1  0.1519800      0.1273055    
           1  0.1098950      0.1009601    
           1  2.8310001E-02  3.2451600E-02
           1  0.1155850      0.1026734    
           1  0.1057200      0.1201328    
           1  5.5195000E-02  5.8284938E-02
           1  6.6009998E-02  7.5224251E-02
           1  0.1452000      0.1210787    
           1  0.1432325      0.1408656    
           1  0.1425250      0.1217345    
           1  9.6279994E-02  8.3090350E-02
           1  9.3584999E-02  8.4314808E-02
           1  7.8092501E-02  7.0046306E-02
           1  0.1271775      0.1190754    
           1  6.0529999E-02  5.3696807E-02
           1  8.1420004E-02  8.9649767E-02
           1  0.1713150      0.1958278    
           1  0.1571350      0.1655722    
           1  0.1456200      0.1357407    
           1  0.1007575      0.1134030    
           1  0.1238300      0.1050883    
           1  0.1000825      0.1099967    
           1  0.1902175      0.2206379    
           1  2.1384999E-02  2.5271213E-02
           1  9.0505004E-02  9.6571498E-02
           1  0.1819625      0.1804462    
           1  0.1658650      0.1602619    
           1  0.1172475      0.1100603    
           1  0.1099475      9.3315408E-02
           1  0.1238825      0.1184476    
           1  0.1617325      0.1608772    
           1  0.1736975      0.2047577    
           1  4.1644998E-02  4.3197896E-02
           1  7.2564997E-02  8.6050004E-02
           1  0.1210475      0.1427106    
           1  0.1356225      0.1500078    
           1  0.1085600      0.1106401    
           1  0.1244050      0.1366912    
           1  0.1617850      0.1843413    
           1  0.1689500      0.1755995    
           1  0.1537650      0.1376235    
           1  1.9959999E-02  2.3185769E-02
           1  3.4649998E-02  3.9704587E-02
           1  0.1159775      0.1302041    
           1  0.1296950      0.1544925    
           1  0.1170000      0.1255364    
           1  0.1410500      0.1337566    
           1  0.1447400      0.1232901    
           1  0.1163150      0.1083550    
           1  0.1513450      0.1239924    
           1  7.7480003E-02  8.5675888E-02
           1  8.5319996E-02  9.0770498E-02
           1  0.1182200      0.1307740    
           1  1.3414999E-02  1.7201377E-02
           1  8.4739998E-02  8.3525740E-02
           1  8.2659997E-02  7.8740396E-02
           1  0.1919300      0.1648503    
           1  0.1715950      0.1574728    
           1  4.4537496E-02  5.2774314E-02
           1  4.6152502E-02  4.2456370E-02
           1  0.1300400      0.1167608    
           1  0.2909200      0.1959619    
           1  0.2883425      0.2053094    
           1  0.1808600      0.1979324    
           1  8.8229999E-02  8.4261559E-02
           1  7.8957498E-02  7.2233044E-02
           1  6.8654999E-02  7.0328921E-02
           1  0.2930000      0.2284901    
           1  0.2501000      0.2132899    
           1  0.2460050      0.1774240    
           1  0.2778875      0.2507310    
           1  0.1768925      0.2042387    
           1  0.1106350      0.1028103    
           1  0.1080500      9.0270668E-02
           1  0.1722400      0.1813270    
           1  0.2668275      0.2087057    
           1  0.2840225      0.2280027    
           1  0.2523125      0.2112041    
           1  0.2323225      0.2293609    
           1  0.1708200      0.1754171    
           1  0.1197350      0.1009648    
           1  0.1960700      0.1566780    
           1  0.1281150      0.1310922    
           1  0.1608650      0.1442035    
           1  0.1476450      0.1477342    
           1  0.2300850      0.2190352    
           1  0.2174575      0.1801642    
           1  0.2615675      0.1914397    
           1  0.1887900      0.2222117    
           1  0.2689450      0.1709012    
           1  0.1912525      0.1880480    
           1  0.1305700      0.1136194    
           1  5.4542497E-02  5.9217263E-02
           1  0.1305150      0.1215934    
           1  0.1703425      0.1847525    
           1  0.1694375      0.1990536    
           1  0.2283975      0.1949648    
           1  0.2861550      0.1713414    
           1  0.2939325      0.1946470    
           1  0.2946150      0.2488798    
           1  0.2430075      0.2389512    
           1  0.1593925      0.1539121    
           1  9.9812500E-02  0.1137784    
           1  6.5274999E-02  5.8366574E-02
           1  8.8275000E-02  7.5103469E-02
           1  0.1000775      0.1117497    
           1  0.2193150      0.2028689    
           1  0.2926350      0.2308993    
           1  0.2887875      0.2438579    
           1  0.2808400      0.2430196    
           1  0.2028900      0.2329797    
           1  0.1895450      0.1761193    
           1  0.1377050      0.1310213    
           1  0.1308125      0.1423860    
           1  0.1033050      0.1034351    
           1  5.3955000E-02  6.3652717E-02
           1  6.2142499E-02  4.8572186E-02
           1  0.1488350      0.1527914    
           1  0.2645275      0.2597856    
           1  0.2703075      0.2091213    
           1  0.2193200      0.2212170    
           1  0.2356075      0.1994962    
           1  0.2442450      0.2298222    
           1  0.1842975      0.1789725    
           1  6.3395001E-02  7.6643310E-02
           1  5.4935001E-02  6.5452687E-02
           1  7.8340001E-02  8.9889027E-02
           1  0.1411525      0.1567113    
           1  0.1757475      0.1727530    
           1  0.2502775      0.2378360    
           1  0.2865550      0.1832538    
           1  0.2834025      0.2067519    
           1  0.2889050      0.2143419    
           1  0.1745800      0.1555522    
           1  0.1365075      0.1166124    
           1  0.1061300      0.1198630    
           1  0.1163300      0.1206777    
           1  0.1592425      0.1614853    
           1  0.2136925      0.1941752    
           1  0.2115375      0.1584141    
           1  0.2220400      0.2049171    
           1  0.1044800      9.9297002E-02
           1  0.2147800      0.1765760    
           1  0.2015500      0.1695896    
           1  0.2306000      0.1743721    
