"cont","poro_truth","poro_melhor","melhor-truth(poro)","cont","permh_truth","permh_melhor","melhor-truth(permh)"
1,0.20376,0.1937095,-0.0493251864939144,2,257.6105,232.4068,-0.0978364624112759
1,0.094489999,0.1073337,0.135926565096058,2,19.16895,15.9264,-0.169156370067218
1,0.056465,0.052408755,-0.0718364473567697,2,127.6501,119.3343,-0.0651452681979881
1,0.2390025,0.1953111,-0.182807292810745,2,603.3354,632.6268,0.0485491154671182
1,0.2465225,0.180109,-0.269401373099819,2,691.1141,521.9165,-0.244818619675101
1,0.18247,0.2108274,0.155408560311284,2,594.6225,711.5949,0.196717076800828
1,0.2228325,0.1656914,-0.256430727115659,2,923.9598,697.4033,-0.245201685181541
1,0.2531525,0.1665458,-0.342112758120106,2,832.8511,606.9213,-0.271272740109246
1,0.1516175,0.1742329,0.149160881824328,2,289.1915,334.0373,0.155073022547343
1,0.1882325,0.1659312,-0.118477414899127,2,84.88863,88.5524,0.0431597258667032
1,0.091682501,0.091903381,0.00240918384196355,2,29.61129,29.77096,0.00539220006963555
1,0.1574475,0.1589569,0.00958668762603421,2,579.1512,576.8787,-0.00392384579363737
1,0.2573625,0.1819838,-0.292889212686386,2,709.5354,747.1409,0.0530001744803713
1,0.164515,0.1386244,-0.157375315320791,2,622.4246,612.6042,-0.0157776540323118
1,0.1586275,0.188775,0.190052166238515,2,670.9148,714.0075,0.0642297650908879
1,0.2792125,0.1873725,-0.32892510184895,2,857.8682,609.4534,-0.289572221000848
1,0.1621,0.183127,0.129716224552745,2,449.6851,501.1378,0.114419401487841
1,0.1458725,0.1155629,-0.207781452981199,2,317.5479,313.4891,-0.0127816937224274
1,0.137765,0.1669272,0.211680760715712,2,21.43033,26.67271,0.244624324497103
1,0.1560325,0.1736494,0.112905324211302,2,419.6521,498.5212,0.187939247772143
1,0.2267525,0.2082097,-0.0817755041289512,2,431.8307,377.2361,-0.126425934978685
1,0.01494,0.017156919,0.148388152610442,2,9.347226,7.580253,-0.18903715391069
1,0.080994993,0.073004566,-0.0986533451518416,2,103.4061,101.2395,-0.0209523422699433
1,0.1529525,0.1726241,0.128612477730014,2,293.1408,234.9121,-0.198637310125373
1,0.25203,0.2143133,-0.149651628774352,2,701.8274,552.8035,-0.212336964900487
1,0.2716425,0.2015605,-0.257993502489485,2,763.9669,700.1756,-0.0835000835769193
1,0.1469325,0.1198316,-0.184444557875215,2,328.7891,276.6917,-0.158452333121749
1,0.1341725,0.1287165,-0.0406640705062512,2,35.06097,30.8224,-0.120891407168712
1,0.1064675,0.1036708,-0.0262681099866158,2,87.68457,79.39666,-0.0945195944965003
1,0.19627,0.1643317,-0.162726346359607,2,860.2258,629.0788,-0.268705030702404
1,0.014687501,0.017677628,0.20358310103264,2,5.54469,4.608243,-0.168890776580837
1,0.044862498,0.053801551,0.199254464162918,2,12.19034,12.64526,0.0373180731628486
1,0.066117503,0.057610273,-0.128668349740915,2,74.83688,78.40398,0.0476650015340032
1,0.17248,0.1704379,-0.011839633580705,2,244.3695,243.7748,-0.00243360975899197
1,0.257745,0.219141,-0.149775941337368,2,537.8033,435.899,-0.189482474354471
1,0.2725275,0.2369519,-0.130539486840777,2,832.7828,710.472,-0.146869988188997
1,0.19338,0.1562776,-0.191862653842176,2,386.473,326.5224,-0.155122350073614
1,0.088832498,0.078571692,-0.115507345070945,2,52.81117,48.4786,-0.082038894423282
1,0.18976,0.2084963,0.0987368254637436,2,276.9131,278.3139,0.00505862669552291
1,0.04465,0.045901824,0.0280363717805151,2,8.103838,8.33628,0.0286829524479636
1,0.034809999,0.038331047,0.101150476907512,2,8.087593,9.223296,0.140425340394849
1,0.0577875,0.046356939,-0.197803348475016,2,4.578585,4.424672,-0.0336158441964057
1,0.066847503,0.077503189,0.159402902453963,2,48.7443,43.67944,-0.103906713195184
1,0.1425925,0.150828,0.0577554920490207,2,136.5478,137.7887,0.00908766014538506
1,0.2787625,0.2062742,-0.260036052194969,2,797.6979,581.1061,-0.271521085864711
1,0.2748525,0.2225319,-0.19035882882637,2,935.7007,633.6093,-0.322850458485283
1,0.1864775,0.2177506,0.167704414741725,2,280.2074,281.9438,0.00619683848463675
1,0.1512275,0.1721673,0.138465556859698,2,238.4034,189.1059,-0.206781866366
1,0.037289999,0.041209962,0.105121027222339,2,3.685563,3.73847,0.0143552016340515
1,0.080812499,0.09789893,0.211433023498011,2,17.30029,16.70455,-0.0344352609118113
1,0.082865,0.098922975,0.193784770409703,2,15.98768,13.99646,-0.124547151306506
1,0.065752499,0.059674934,-0.0924309355907523,2,13.047,13.09868,0.00396106384609483
1,0.0751625,0.080017395,0.0645919840345919,2,27.388,30.04402,0.0969775083978384
1,0.2108825,0.1840239,-0.127362867947791,2,463.5356,404.3112,-0.127766669917046
1,0.2961975,0.1831378,-0.381703761848091,2,905.3829,625.0199,-0.309662353905734
1,0.2865325,0.279699,-0.0238489525621004,2,771.4704,774.844,0.00437294807422295
1,0.232355,0.1759251,-0.242860708829162,2,307.303,371.513,0.208946870027302
1,0.066344999,0.074848935,0.128177498352212,2,5.96529,5.645565,-0.0535975618955659
1,0.024994999,0.022125578,-0.114799804552903,2,4.199368,3.453278,-0.177667210875541
1,0.0980625,0.086379245,-0.119140905035054,2,9.577145,9.667358,0.00941961304752098
1,0.168035,0.1447486,-0.138580652840182,2,108.6492,95.44588,-0.121522477846132
1,0.04298,0.043927465,0.0220443229409028,2,12.75794,14.83336,0.162676733077597
1,0.062934995,0.059909057,-0.0480803724541488,2,19.03103,19.02731,-0.000195470239918768
1,0.1235475,0.129797,0.0505837835650255,2,57.33688,44.9973,-0.215211919448704
1,0.295705,0.2234178,-0.244457144789571,2,970.4343,750.6039,-0.226527854590465
1,0.2927525,0.2263808,-0.226716082697842,2,693.0752,633.826,-0.0854874045413831
1,0.222445,0.1758127,-0.209635190721302,2,573.2043,490.1605,-0.144876442831988
1,0.055360001,0.058827151,0.0626291534929705,2,39.75566,43.69386,0.0990601086738342
1,0.02287,0.022962203,0.00403161346742453,2,5.246127,4.90603,-0.0648282056458031
1,0.056845002,0.051845465,-0.0879503355457706,2,7.471612,8.110804,0.0855494102209804
1,0.1169125,0.133403,0.141049930503582,2,187.3838,167.6243,-0.105449350477469
1,0.08303,0.071983516,-0.133042081175479,2,167.721,201.8464,0.203465278647277
1,0.026334997,0.024499578,-0.0696950525568694,2,16.466,19.4371,0.18043847929066
1,0.080177501,0.065529093,-0.18269973268436,2,70.78585,72.3651,0.0223102498592586
1,0.26014,0.2224333,-0.144947720458215,2,927.2019,640.6841,-0.309013387483352
1,0.2819,0.2051458,-0.272274565448741,2,532.0844,617.1844,0.159937032545965
1,0.107505,0.1038518,-0.0339816752709177,2,47.68419,53.77242,0.127678167543582
1,0.044197503,0.045605477,0.031856415055846,2,13.42125,12.72201,-0.0520994691254541
1,0.032449998,0.03478764,0.0720382787080603,2,9.165991,8.591073,-0.0627229505243896
1,0.15857,0.1571744,-0.00880116037081413,2,318.0302,272.6004,-0.14284744027454
1,0.066152506,0.074499175,0.12617313393993,2,35.46164,34.67542,-0.0221709994236025
1,0.040964998,0.043665506,0.0659223271535372,2,41.9537,47.27335,0.126798113158077
1,0.083266668,0.069988303,-0.159467951809961,2,21.80607,17.98703,-0.175136556013991
1,0.081702501,0.090739004,0.110602526108717,2,51.86268,44.12281,-0.149237756321116
1,0.084006667,0.07220047,-0.140538809854223,2,70.69968,74.69958,0.056575927924992
1,0.1216967,0.1468043,0.206312907416553,2,111.6854,111.8047,0.00106817900996903
1,0.1069925,0.1068898,-0.00095988036544628,2,72.91141,83.71034,0.148110288910885
1,0.082542501,0.094833955,0.148910607881872,2,30.90887,27.01667,-0.125925017640567
1,0.053635001,0.048213821,-0.101075415287118,2,17.67903,14.5077,-0.17938371053163
1,0.032145001,0.035767056,0.112678640140655,2,18.75072,21.08212,0.124336558809475
1,0.1070467,0.1079344,0.00829264237010581,2,177.1144,152.3173,-0.140006120338041
1,0.1447025,0.1688791,0.167077970318412,2,184.9706,217.2103,0.174296347635786
1,0.14392,0.1507235,0.047272790439133,2,125.9592,111.4565,-0.115138076456503
1,0.129915,0.1441952,0.109919562791056,2,86.54962,101.7628,0.175774081965929
1,0.069124997,0.06213709,-0.101090883229984,2,15.13117,15.61833,0.0321957918654011
1,0.029479999,0.032550279,0.104147900412073,2,5.393085,6.422699,0.190913734903121
1,0.1231333,0.142413,0.156575840978842,2,147.7027,150.5913,0.01955685305685
1,0.1308675,0.1198911,-0.0838741475156169,2,165.4718,189.3337,0.144205236179216
1,0.13921,0.1484834,0.0666144673514833,2,183.4514,179.4121,-0.0220183656270816
1,0.1399275,0.1560282,0.115064587018277,2,156.3591,181.0899,0.158166681696172
1,0.1308075,0.1412809,0.0800672744299829,2,97.64224,86.13496,-0.117851454452499
1,0.064667501,0.068402015,0.057749471407593,2,18.57353,19.95088,0.0741566088944858
1,0.033217501,0.032416567,-0.0241118078087814,2,3.023165,3.191205,0.0555841312002487
1,0.095100001,0.1012379,0.0645415240321607,2,53.72482,52.52799,-0.0222770406676095
1,0.1039325,0.1156913,0.1131388160585,2,106.8802,118.8785,0.112259333347056
1,0.10574,0.1121017,0.0601636088519009,2,101.7317,99.18221,-0.0250609200475369
1,0.077747501,0.083727688,0.0769180606846772,2,122.9715,101.5635,-0.174089118210317
1,0.065167502,0.056815129,-0.128167763742118,2,44.52293,41.20734,-0.0744692678581576
1,0.097229995,0.097701401,0.00484835980913085,2,69.42554,60.9942,-0.121444356068386
1,0.072195001,0.064248271,-0.11007313373401,2,16.65367,18.38684,0.104071354842506
1,0.033994999,0.029900562,-0.120442333297318,2,3.990062,3.619493,-0.0928729929509868
1,0.075674996,0.077617206,0.0256651483668397,2,14.79229,14.85537,0.00426438367554997
1,0.03602,0.036695033,0.0187405052748473,2,28.88336,26.8708,-0.0696788739260252
1,0.038912501,0.040767271,0.0476651449363278,2,11.72855,11.28311,-0.0379791193284762
1,0.063730001,0.062138025,-0.024980009022752,2,37.7288,33.11862,-0.122192595576854
1,0.082497492,0.074555747,-0.0962665022592444,2,36.83839,36.1409,-0.0189337807651202
1,0.099979997,0.1004152,0.00435290071072912,2,70.08744,70.49883,0.00586966794621115
1,0.100655,0.099575728,-0.0107224877055287,2,24.29169,24.45552,0.0067442816864533
1,0.035680003,0.035742693,0.00175700657872695,2,3.283167,3.700642,0.127156187912464
1,0.046647497,0.05135227,0.100857994588648,2,12.22291,13.84192,0.132457000828771
1,0.025369998,0.02566419,0.0115960592507732,2,3.891877,3.430397,-0.118575175936958
1,0.031489998,0.036263816,0.15159791372486,2,7.288738,8.065651,0.1065908803417
1,0.027857499,0.02609697,-0.063197668965186,2,6.48078,6.056211,-0.0655120217010915
1,0.048667498,0.051950794,0.0674638338712215,2,9.832672,10.58977,0.0769981954040569
1,0.089907497,0.088048406,-0.0206778195593634,2,71.63971,81.50064,0.137646146250453
1,0.070677504,0.080585212,0.140181917007143,2,30.15802,23.69482,-0.214311151726804
1,0.06002,0.057693101,-0.0387687270909697,2,12.93481,12.43785,-0.038420355614037
1,0.06033333,0.064698614,0.0723527774780541,2,35.6739,34.36273,-0.0367543217870769
1,0.073254995,0.076223224,0.0405191345654996,2,13.33558,14.05775,0.0541536251141683
1,0.0207,0.023983415,0.158619082125604,2,6.379678,6.775357,0.0620217822905795
1,0.028757501,0.033052448,0.149350494676154,2,6.441537,7.355359,0.141863968180265
1,0.034600001,0.039980989,0.155519879898269,2,15.21887,16.76004,0.101267045450812
1,0.018345,0.016991081,-0.0738031616244207,2,0.9608151,0.8998389,-0.0634629909542429
1,0.03847,0.042402294,0.10221715622563,2,14.67549,14.94413,0.0183053513034317
1,0.066042505,0.074224129,0.12388421668742,2,24.09188,25.07903,0.0409743863907673
1,0.084252499,0.097535416,0.157656059554981,2,14.19377,13.29104,-0.0636004387840581
1,0.053707503,0.047853459,-0.108998625387592,2,15.70268,17.69471,0.126859236767227
1,0.040435001,0.046968117,0.161570813365381,2,15.31137,14.65173,-0.0430817098665893
1,0.065805003,0.071921766,0.0929528564872187,2,23.73215,25.59889,0.0786586971681875
1,0.053967502,0.050118387,-0.071322830543463,2,15.47325,15.86903,0.0255783368070703
1,0.062634997,0.06202269,-0.00977579674826199,2,15.89405,13.69201,-0.138544927189735
1,0.034965001,0.028428674,-0.186939133792675,2,6.487435,7.070664,0.0899013246375494
1,0.046425,0.040740516,-0.122444458804524,2,10.09293,10.82363,0.0723972127023569
1,0.033247501,0.037710853,0.134246240040718,2,6.815095,6.299616,-0.075637830433765
1,0.048099998,0.046885092,-0.0252579220481463,2,8.445829,8.475232,0.00348136340435028
1,0.028577499,0.032132726,0.124406512970222,2,5.352588,5.541736,0.0353376721690517
1,0.037814997,0.035306409,-0.0663384423909912,2,14.71713,12.15335,-0.174203801964106
1,0.069075003,0.081153952,0.174867151290605,2,39.25232,32.94349,-0.160725022113343
1,0.055717498,0.049326908,-0.114696284459866,2,21.91286,19.32707,-0.118003309472155
1,0.0281075,0.027236877,-0.0309747576269679,2,4.304645,3.508489,-0.184952766139833
1,0.037390001,0.033468425,-0.104883014044316,2,3.654047,3.279734,-0.102437927043631
1,0.085565001,0.073475972,-0.141284740942152,2,12.71508,11.58126,-0.0891712832321936
1,0.07254,0.064763099,-0.107208450510063,2,5.922137,6.505388,0.0984865767205318
1,0.085155003,0.0841555,-0.0117374548151917,2,26.1414,31.27786,0.196487563787708
1,0.0724025,0.080488943,0.11168734505024,2,51.44341,55.0593,0.0702886919821217
1,0.049002498,0.047459792,-0.0314821909691216,2,24.25256,26.7062,0.101170350676382
1,0.094825,0.097958103,0.0330408963880833,2,83.87794,98.16,0.17027194516222
1,0.097722501,0.089967437,-0.0793580180679167,2,71.39836,71.8027,0.00566315528816075
1,0.033934999,0.036190394,0.0664622091192636,2,10.82706,12.8742,0.189076258929017
1,0.048272502,0.046797112,-0.0305637772825614,2,8.92269,8.253767,-0.0749687594212059
1,0.10453,0.1223988,0.170944226537836,2,59.8615,59.03826,-0.0137524118172782
1,0.092610002,0.089655101,-0.031906931607668,2,34.86101,34.8597,-3.75777982337201E-005
1,0.096780002,0.087904148,-0.0917116534054215,2,14.61428,12.30461,-0.158041997279373
1,0.070085004,0.065074451,-0.0714925121499601,2,32.58431,30.0806,-0.0768379014317014
1,0.073689997,0.076608375,0.0396034484843311,2,22.52613,18.41635,-0.182445009417951
1,0.091329999,0.087671988,-0.0400526775435527,2,29.67584,28.21786,-0.0491302015376818
1,0.12424,0.1438416,0.15777205408886,2,125.5424,141.29,0.12543650591354
1,0.093630001,0.1076377,0.149606951301859,2,87.20518,108.6749,0.246197760270663
1,0.074090004,0.069683857,-0.0594701951966422,2,25.69115,25.58073,-0.00429797809751612
1,0.0536125,0.045298588,-0.15507413383073,2,12.38508,13.55876,0.0947656373636665
1,0.068185002,0.072813317,0.0678787836656514,2,15.82882,17.5113,0.106292193606346
1,0.080422498,0.065661907,-0.183538081595028,2,21.88827,20.66446,-0.0559116823759941
1,0.052540001,0.043033253,-0.180943049468157,2,5.126225,4.764842,-0.0704969056176816
1,0.09544,0.098257497,0.0295211336965633,2,11.60713,13.31163,0.146849393433174
1,0.044095002,0.047309294,0.0728947013087787,2,4.334382,3.376714,-0.220946838557377
1,0.039609998,0.041076101,0.0370134580668244,2,2.661732,2.592128,-0.0261498903721336
1,0.080669999,0.08126729,0.00740412802038091,2,20.65162,20.23318,-0.0202618487072685
1,0.086845003,0.096747138,0.114020780216911,2,40.43989,35.83157,-0.113954810460661
1,0.059232503,0.050429299,-0.14862117172391,2,32.62762,30.39587,-0.0684006372515066
1,0.1079425,0.1043534,-0.033250110012275,2,54.62735,52.8508,-0.0325212553784872
1,0.096747503,0.085955702,-0.111546041658564,2,58.35334,51.16329,-0.123215740521451
1,0.089780003,0.095799439,0.0670465114597958,2,32.12259,25.3635,-0.210415473970187
1,0.038465001,0.041681856,0.0836307010625063,2,6.47777,5.724216,-0.116329230583982
1,0.079909995,0.074746735,-0.0646134441630237,2,19.35462,18.44979,-0.0467500782758845
1,0.1338025,0.1571269,0.174319612862241,2,92.24158,92.5846,0.00371871340451883
1,0.097010002,0.09378247,-0.0332700951804948,2,25.14304,26.36307,0.0485235675558724
1,0.084035002,0.068343408,-0.186726883162328,2,57.92163,54.66867,-0.0561614029163199
1,0.13104,0.1321704,0.00862637362637365,2,103.3976,87.76345,-0.151204186557522
1,0.290665,0.219175,-0.245953245144754,2,964.5998,654.6118,-0.321364362712909
1,0.294245,0.2230842,-0.241842002412955,2,870.4424,736.9561,-0.153354547067101
1,0.29213,0.2053799,-0.296957176599459,2,419.4421,470.7726,0.122378035013653
1,0.11829,0.1036638,-0.123646969312706,2,411.9732,402.6353,-0.0226662802337629
1,0.215545,0.1784052,-0.172306478925514,2,865.9915,617.6126,-0.286814477971204
1,0.271745,0.1832848,-0.3255265046275,2,778.1282,718.7443,-0.0763163447874014
1,0.290605,0.2273884,-0.21753445398393,2,874.2433,680.0778,-0.222095496757024
1,0.295085,0.1768192,-0.400785536370876,2,354.2735,335.5974,-0.0527166158349411
1,0.18153,0.1591804,-0.123117941937972,2,532.7776,608.6898,0.142483843164577
1,0.15386,0.1753464,0.139649031587157,2,267.27,286.2732,0.0711011336850376
1,0.119195,0.1177226,-0.0123528671504677,2,156.8281,141.2192,-0.0995287196618463
1,0.1496025,0.1338317,-0.10541802443141,2,338.1137,307.9998,-0.0890644182711319
1,0.2655525,0.2266318,-0.146564991856601,2,607.134,609.3911,0.00371763070425975
1,0.28793,0.2280113,-0.208101621921995,2,783.1096,646.9302,-0.173895710127931
1,0.25406,0.1775911,-0.30098756199323,2,483.818,399.3224,-0.174643357626215
1,0.23851,0.2212695,-0.0722841809567733,2,176.6359,170.5432,-0.0344929881184967
1,0.16989,0.2046688,0.204713638236506,2,346.2354,405.5676,0.17136376003147
1,0.098572493,0.1121765,0.138010174907517,2,280.8451,318.174,0.132916330033887
1,0.091947496,0.079500221,-0.135373724587345,2,121.9663,142.3396,0.167040403783668
1,0.1716525,0.1951459,0.136866052052839,2,245.8071,261.2555,0.0628476557430603
1,0.26887,0.1803974,-0.329053445903225,2,397.1216,452.3238,0.139005785633418
1,0.14282,0.147249,0.0310110628763478,2,395.7324,363.7853,-0.0807290482154102
1,0.2191975,0.2024391,-0.0764534267042278,2,430.1853,428.797,-0.00322721394710595
1,0.2256,0.1947645,-0.136682180851064,2,311.3273,373.9022,0.200993937891088
1,0.1779675,0.2006538,0.127474398415441,2,226.827,194.575,-0.142187658435724
1,0.093449995,0.092635728,-0.00871339800499715,2,77.04396,77.47453,0.00558862758352508
1,0.13332,0.1297513,-0.0267679267926791,2,232.1746,230.7284,-0.0062289328806855
1,0.2113475,0.2074565,-0.0184104377861106,2,207.053,230.0617,0.111124687881847
1,0.12155,0.1145232,-0.0578099547511312,2,35.81355,43.26664,0.208108104334812
1,0.088387504,0.076347046,-0.136223532231434,2,64.84903,73.91685,0.139829693674678
1,0.1263425,0.1081033,-0.144363139877713,2,112.9363,129.8803,0.150031477921625
1,0.179955,0.1429857,-0.205436359089773,2,206.0694,201.3376,-0.022962167114574
1,0.2038575,0.2208299,0.0832561961173859,2,232.8446,195.1891,-0.161719447219304
1,0.2317125,0.1757496,-0.24151869234504,2,111.1127,111.0913,-0.000192597245859383
1,0.1360075,0.1168646,-0.140748855761631,2,57.92174,59.36968,0.0249982131061671
1,0.2008225,0.2220962,0.105932851149647,2,255.9124,296.1133,0.157088519352716
1,0.064254999,0.05904923,-0.0810173384330765,2,42.82489,36.88844,-0.138621488578254
1,0.090580001,0.083156288,-0.0819575283510982,2,78.24693,81.27463,0.0386941698543316
1,0.1415675,0.1205252,-0.148637928903173,2,111.4989,125.6568,0.12697793431146
1,0.1905325,0.2084396,0.093984490834897,2,153.7636,145.8984,-0.0511512477595477
1,0.2306875,0.2137972,-0.0732172311026822,2,371.891,313.2214,-0.157760203930722
1,0.2052175,0.1767754,-0.138594905405241,2,564.0159,531.9628,-0.0568301354624931
1,0.2479925,0.1918089,-0.226553625613678,2,394.7776,476.4641,0.206917768384022
1,0.167575,0.160538,-0.0419931374011637,2,71.74049,61.83567,-0.138064571345972
1,0.141865,0.1713358,0.207738342790681,2,440.6016,398.5988,-0.095330566207658
1,0.094537504,0.098231845,0.0390780467400536,2,58.15135,55.17948,-0.0511057782837372
1,0.039910004,0.041334808,0.0357004223803135,2,27.15911,31.10219,0.145184433510524
1,0.07705,0.080406211,0.0435588708630761,2,49.88157,50.13246,0.00502971337910972
1,0.1127325,0.096379608,-0.145059250881511,2,153.7385,170.1281,0.106606998247023
1,0.150225,0.144891,-0.0355067398901648,2,170.0073,154.9001,-0.0888620665112615
1,0.2467975,0.173061,-0.298773285790983,2,394.7845,425.656,0.0781983588514747
1,0.2626175,0.1713493,-0.347532818643084,2,352.7232,369.5194,0.0476186426070074
1,0.22636,0.2297384,0.0149248983919421,2,642.6641,550.36,-0.143627285233452
1,0.25235,0.1673876,-0.336684763225679,2,903.9834,589.5767,-0.347801408742683
1,0.1497575,0.1691198,0.129291020483114,2,483.529,547.1514,0.131579284799878
1,0.094485,0.099646918,0.0546321426681484,2,126.7018,103.8485,-0.18037076032069
1,0.03076,0.028705942,-0.0667769180754225,2,14.27578,13.62135,-0.0458419785118571
1,0.033115,0.02949764,-0.109236297750264,2,42.55259,41.11979,-0.0336712759434855
1,0.1289125,0.1341515,0.0406399689712013,2,154.9568,168.1149,0.0849146342722618
1,0.1976,0.2188626,0.107604251012146,2,325.7388,402.771,0.236484569845533
1,0.20459,0.2161563,0.0565340436971504,2,635.1661,736.5726,0.159653514253988
1,0.2346175,0.2268839,-0.032962588042239,2,326.5254,303.6,-0.0702101582296506
1,0.268985,0.1871132,-0.304373106307043,2,987.3995,759.0524,-0.231261105560616
1,0.2519275,0.2292419,-0.0900481289259808,2,957.7819,770.4874,-0.195550260450735
1,0.14382,0.130188,-0.0947851481017939,2,396.7338,429.679,0.0830410718723739
1,0.121495,0.1206274,-0.00714103461047788,2,343.9475,345.8321,0.00547932460622634
1,0.0668175,0.059503261,-0.109465918359711,2,40.70462,41.46677,0.0187239188082335
1,0.044235002,0.045495078,0.0284859487516243,2,43.83252,39.95629,-0.088432743542922
1,0.126795,0.14815,0.168421467723491,2,282.4569,244.1734,-0.135537492622768
1,0.1741875,0.1699231,-0.0244816648726229,2,267.1474,266.0397,-0.0041464000772608
1,0.217235,0.2102201,-0.0322917577738395,2,591.7065,524.3038,-0.113912387306883
1,0.19731,0.1557012,-0.210880340580812,2,594.3605,545.8842,-0.0815604334406476
1,0.279085,0.2315878,-0.170189010516509,2,958.7322,642.3292,-0.330022294025381
1,0.2569875,0.231016,-0.101061335668077,2,947.8721,722.983,-0.237256798675686
1,0.21191,0.1901909,-0.102492095701005,2,539.2137,592.4876,0.0987992330313566
1,0.19063,0.1892549,-0.0072134501390127,2,528.1791,526.2111,-0.00372600884813496
1,0.097405002,0.083582908,-0.141903328537481,2,92.21742,96.51201,0.0465702683939759
1,0.10455,0.1053185,0.00735054997608791,2,189.2483,216.5285,0.144150304124264
1,0.1143125,0.1292564,0.130728485511208,2,172.9593,167.6648,-0.0306112478484823
1,0.088550001,0.080364458,-0.0924397843880318,2,85.76842,80.81937,-0.0577024737076887
1,0.10173,0.1006206,-0.0109053376585078,2,127.2457,103.9367,-0.183181042659988
1,0.197845,0.1957269,-0.0107058555940255,2,484.3063,520.6066,0.0749531856182749
1,0.2903875,0.2113667,-0.272121906073781,2,994.5502,620.418,-0.37618231839881
1,0.289535,0.2151323,-0.256973077520852,2,961.4171,723.6327,-0.247326992623701
1,0.2767525,0.2235443,-0.192259148517177,2,921.0628,627.2696,-0.318971952835355
1,0.2210625,0.2072197,-0.0626193949674865,2,444.0218,508.1512,0.144428494276632
1,0.1120525,0.1277031,0.13967202873653,2,113.1561,114.6264,0.0129935549210339
1,0.15755,0.1307067,-0.170379562043796,2,117.19,110.9516,-0.0532332110248315
1,0.26601,0.1886663,-0.290754858839893,2,961.785,627.6091,-0.347453848833159
1,0.293185,0.2152232,-0.26591333117315,2,988.6746,675.9162,-0.316341089373592
1,0.297815,0.1820934,-0.388568742340043,2,994.3264,591.4716,-0.40515347877719
1,0.287185,0.2388693,-0.168238940056061,2,983.2583,802.3105,-0.184028754194091
1,0.122095,0.113024,-0.0742946066587493,2,43.563,49.01616,0.12517870670064
1,0.12362,0.1428528,0.155580003235722,2,32.72092,35.74216,0.092333589642345
1,0.0832,0.093613736,0.125165096153846,2,69.0146,66.07153,-0.0426441651476645
1,0.14232,0.1358179,-0.0456864811691963,2,154.3484,154.2775,-0.000459350404668883
1,0.1655625,0.1711478,0.0337352963382408,2,334.0331,356.7363,0.0679669170510349
1,0.160285,0.1452167,-0.0940094207193437,2,368.4465,363.9549,-0.0121906436891109
1,0.1372,0.1449946,0.0568119533527698,2,178.5712,155.6503,-0.128357204297222
1,0.129425,0.1430101,0.104965037666602,2,209.0703,179.8241,-0.139886918419307
1,0.086960003,0.095835432,0.102063347444917,2,36.13516,38.58157,0.0677016512449371
1,0.12883,0.112002,-0.130621749592486,2,73.45273,82.29565,0.120389262591057
1,0.19204,0.1714439,-0.107249010622787,2,411.7278,357.8375,-0.130888174177211
1,0.1940675,0.1763087,-0.0915083669341852,2,425.5812,437.9755,0.0291232319472758
1,0.1968525,0.2063873,0.0484362657319566,2,496.1798,535.2283,0.0786982863873136
1,0.14092,0.1297518,-0.0792520579051944,2,144.592,158.8501,0.0986091899966802
1,0.016000001,0.017378176,0.0861359321165042,2,2.20216,2.126809,-0.034216859810368
