      Well:     PRO-12

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                  PUNQS3_funcio  PUNQS3_funcio  PUNQS3_funcio     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
                                      nando.irf      nando.irf      nando.irf                                             
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
       2008.0000      1972-07-01          70.15   2.06291e-007       20851.75          71.13   2.13675e-007       20799.97
       2192.0000      1973-01-01          69.37   2.92638e-007       20604.79          70.54   7.10700e-007       20618.48
       2193.0000      1973-01-02           0.00           0.00       22023.44           0.00           0.00       22375.70
       2206.0000      1973-01-15           0.00           0.00       22251.65           0.00           0.00       22547.20
       2207.0000      1973-01-16          69.98   2.24635e-007       20870.72          71.11   6.24818e-007       20823.17
       2373.0000      1973-07-01          68.95   3.48648e-007       20441.54          70.29   1.81815e-006       20493.64
       2557.0000      1974-01-01          68.41   4.28638e-007       20270.50          69.85   7.54280e-006       20349.34
       2558.0000      1974-01-02           0.00           0.00       21747.78           0.00           0.00       22163.39
       2571.0000      1974-01-15           0.00           0.00       21977.89           0.00           0.00       22338.22
       2572.0000      1974-01-16          69.11   3.29415e-007       20554.69          70.44   7.33907e-006       20559.15
       2738.0000      1974-07-01          68.17   4.68452e-007       20168.31          69.70   1.91181e-005       20246.31
       2922.0000      1975-01-01          67.76   5.39798e-007       20034.83          69.29   6.13523e-005       20084.05
       2923.0000      1975-01-02           0.00           0.00       21551.81           0.00           0.00       21987.68
       2936.0000      1975-01-15           0.00           0.00       21788.30           0.00           0.00       22164.19
       2937.0000      1975-01-16          68.51   4.18822e-007       20327.58          69.88   6.09138e-005       20297.21
       3103.0000      1975-07-01          67.58   5.75738e-007       19947.25          69.14    0.000120253       19961.15
       3287.0000      1976-01-01          67.20   6.52242e-007       19821.07          68.78    0.000274487       19791.59
       3288.0000      1976-01-02           0.00           0.00       21363.88           0.00           0.00       21831.64
       3301.0000      1976-01-15           0.00           0.00       21619.10           0.00           0.00       22012.35
       3302.0000      1976-01-16          67.96   5.11408e-007       20121.15          69.39    0.000272549       20012.69
       3469.0000      1976-07-01          67.05   6.86363e-007       19744.04          68.68    0.000450706       19661.69
       3653.0000      1977-01-01          66.71   7.63440e-007       19620.26          68.44     0.00112883       19476.88
       3654.0000      1977-01-02           0.00           0.00       21204.04           0.00           0.00       21708.24
       3667.0000      1977-01-15           0.00           0.00       21464.02           0.00           0.00       21895.56
       3668.0000      1977-01-16          67.47   6.08662e-007       19928.68          69.01     0.00164149       19709.17
       3834.0000      1977-07-01          66.53   8.09886e-007       19534.80          68.35     0.00379229       19330.44
       4018.0000      1978-01-01          66.13   9.15356e-007       19386.00          68.10     0.00875869       19091.79
       4019.0000      1978-01-02           0.00           0.00       21018.36           0.00           0.00       21609.49
       4032.0000      1978-01-15           0.00           0.00       21285.59           0.00           0.00       21801.18
       4033.0000      1978-01-16          66.91   7.43965e-007       19706.51          68.71      0.0101839       19331.33
       4199.0000      1978-07-01          65.89   1.12622e-006       19273.78          68.00      0.0226102       18849.02
       4383.0000      1979-01-01          65.35   1.97600e-005       19038.80          67.67      0.0611894       18486.26
       4384.0000      1979-01-02           0.00           0.00       20777.96           0.00           0.00       21494.90
       4397.0000      1979-01-15           0.00           0.00       21067.35           0.00           0.00       21693.53
       4398.0000      1979-01-16          66.19   3.60762e-005       19390.34          68.35      0.0615850       18737.87
       4564.0000      1979-07-01          65.10     0.00103658       18722.63          67.54       0.108858       18149.44
       4748.0000      1980-01-01          64.59      0.0457891       18072.03          67.17       0.177482       17729.28
       4749.0000      1980-01-02           0.00           0.00       20549.78           0.00           0.00       21314.63
       4762.0000      1980-01-15           0.00           0.00       20855.46           0.00           0.00       21531.45
       4763.0000      1980-01-16          65.47      0.0815375       18451.48          67.79       0.196909       18011.00
       4930.0000      1980-07-01          64.18       0.181329       17490.37          66.83       0.245016       17371.80
       5114.0000      1981-01-01          63.49       0.277853       16782.48          66.40       0.304343       17009.09
       5115.0000      1981-01-02           0.00           0.00       20229.07           0.00           0.00       21068.54
       5128.0000      1981-01-15           0.00           0.00       20592.16           0.00           0.00       21308.74
       5129.0000      1981-01-16          64.53       0.313875       17249.61          67.07       0.329398       17332.06
       5295.0000      1981-07-01          63.15       0.332848       16167.07          66.10       0.353024       16762.44
       5479.0000      1982-01-01          62.54       0.370916       15551.23          65.59       0.388182       16501.77
       5480.0000      1982-01-02           0.00           0.00       19951.94           0.00           0.00       20868.16
       5493.0000      1982-01-15           0.00           0.00       20349.24           0.00           0.00       21124.71
       5494.0000      1982-01-16          63.76       0.400356       16084.82          66.45       0.392761       16852.48
       5660.0000      1982-07-01          62.22       0.407972       15202.29          65.46       0.404927       16313.12
       5844.0000      1983-01-01          61.82       0.435371       14636.61          65.08       0.422881       16078.79
       5845.0000      1983-01-02           0.00           0.00       19694.01           0.00           0.00       20712.20
       5858.0000      1983-01-15           0.00           0.00       20158.16           0.00           0.00       20980.29
       5859.0000      1983-01-16          63.15       0.466504       15270.66          65.97       0.427941       16449.01
       6025.0000      1983-07-01          62.10       0.465032       14229.86          65.00       0.435644       15907.89

      Well:     PRO-15

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                  PUNQS3_funcio  PUNQS3_funcio  PUNQS3_funcio     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
                                      nando.irf      nando.irf      nando.irf                                             
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01          74.00           0.00       21796.21          74.00           0.00       21279.28
       1.0100000      1967-01-02          74.00   3.39427e-010       21738.65          74.00   2.33810e-010       21247.85
       31.000000      1967-02-01          73.97   3.87876e-009       21580.70          74.00   6.37531e-007       21089.91
       59.000000      1967-03-01          73.73   7.88384e-009       21496.87          73.92   2.68706e-006       20998.69
       90.000000      1967-04-01          73.52   1.19066e-008       21421.57          73.71   6.18702e-006       20904.79
       91.000000      1967-04-02          73.37   1.54394e-008       19482.41          73.64   6.44305e-006       18421.20
       120.00000      1967-05-01          72.90   2.94183e-008       19227.18          73.19   1.80720e-005       18114.93
       151.00000      1967-06-01          72.35   5.12647e-008       19055.63          72.76   4.39001e-005       17857.37
       181.00000      1967-07-01          72.08   6.50819e-008       18900.50          72.44   7.65641e-005       17619.14
       182.00000      1967-07-02          72.12   6.26512e-008       20908.34          72.49   7.72834e-005       20307.96
       212.00000      1967-08-01          72.24   5.68428e-008       20950.49          72.55   9.18929e-005       20308.85
       243.00000      1967-09-01          72.17   6.03214e-008       20925.00          72.49    0.000114663       20261.98
       273.00000      1967-10-01          72.09   6.42209e-008       20897.24          72.42    0.000137099       20213.43
       274.00000      1967-10-02          72.16   6.05825e-008       21898.43          72.46    0.000137491       21593.59
       304.00000      1967-11-01          72.30   5.40876e-008       21947.21          72.55    0.000145672       21627.62
       334.00000      1967-12-01          72.35   5.17167e-008       21960.42          72.60    0.000157277       21635.75
       365.00000      1968-01-01          72.38   5.04471e-008       21969.78          72.63    0.000168427       21640.48
       366.00000      1968-01-02           0.00           0.00       22963.05           0.00           0.00       23029.11
       731.00000      1969-01-01           0.00           0.00       23313.18           0.00           0.00       23350.76
       1096.0000      1970-01-01           0.00           0.00       23436.80           0.00           0.00       23467.76
       1461.0000      1971-01-01           0.00           0.00       23500.68           0.00           0.00       23525.44
       1462.0000      1971-01-02          73.93   4.82270e-009       20631.61          74.22    0.000140954       19527.30
       1642.0000      1971-07-01          72.49   4.91050e-008       19801.10          72.76    0.000329756       18401.72
       1826.0000      1972-01-01          71.03   1.37164e-007       19304.38          71.44    0.000806474       17512.24
       1827.0000      1972-01-02           0.00           0.00       22456.38           0.00           0.00       22575.25
       1840.0000      1972-01-15           0.00           0.00       22572.89           0.00           0.00       22665.04
       1841.0000      1972-01-16          70.99   1.40298e-007       19454.92          71.40    0.000997590       17641.41
       2008.0000      1972-07-01          70.06   2.29957e-007       18959.39          70.58     0.00299366       16842.36
       2192.0000      1973-01-01          69.15   3.47817e-007       18607.04          69.84     0.00851081       16160.64
       2193.0000      1973-01-02           0.00           0.00       21943.24           0.00           0.00       22179.93
       2206.0000      1973-01-15           0.00           0.00       22070.40           0.00           0.00       22281.75
       2207.0000      1973-01-16          69.37   3.20387e-007       18776.06          70.17     0.00820103       16331.60
       2373.0000      1973-07-01          68.63   4.33184e-007       18384.76          69.49      0.0174036       15126.21
       2557.0000      1974-01-01          68.02   5.53895e-007       18140.16          68.91      0.0865258       12612.97
       2558.0000      1974-01-02           0.00           0.00       21613.65           0.00           0.00       21895.52
       2571.0000      1974-01-15           0.00           0.00       21750.57           0.00           0.00       22004.94
       2572.0000      1974-01-16          68.35   5.03063e-007       18326.41          69.27      0.0821398       12893.03
       2738.0000      1974-07-01          67.70   6.34337e-007       17991.12          68.61       0.173374        9782.71
       2922.0000      1975-01-01          67.24   7.61699e-007       17798.55          67.96       0.279220        7617.27
       2923.0000      1975-01-02           0.00           0.00       21379.49           0.00           0.00       21604.46
       2936.0000      1975-01-15           0.00           0.00       21520.91           0.00           0.00       21729.89
       2937.0000      1975-01-16          67.61   6.93301e-007       17993.17          68.37       0.267979        8031.93
       3103.0000      1975-07-01          67.00   8.51887e-007       17679.64          67.69       0.308206        6822.67
       3287.0000      1976-01-01          66.60   1.01736e-006       17502.58          67.17       0.325451        6331.85
       3288.0000      1976-01-02           0.00           0.00       21178.14           0.00           0.00       21362.19
       3301.0000      1976-01-15           0.00           0.00       21308.97           0.00           0.00       21491.74
       3302.0000      1976-01-16          66.95   9.48110e-007       17687.61          67.61       0.315105        6775.07
       3469.0000      1976-07-01          66.38   1.14365e-006       17387.23          67.01       0.319822        6271.54
       3653.0000      1977-01-01          65.97   1.34925e-006       17195.12          66.69       0.315442        6185.70
       3654.0000      1977-01-02           0.00           0.00       20963.47           0.00           0.00       21183.95
       3667.0000      1977-01-15           0.00           0.00       21096.63           0.00           0.00       21318.05
       3668.0000      1977-01-16          66.28   1.29064e-006       17381.01          67.07       0.304348        6606.31
       3834.0000      1977-07-01          65.70   1.53133e-006       17070.30          66.54       0.305957        6184.32
       4018.0000      1978-01-01          65.24   1.87755e-006       16338.13          66.17       0.305673        6041.35
       4019.0000      1978-01-02           0.00           0.00       20710.79           0.00           0.00       21018.33
       4032.0000      1978-01-15           0.00           0.00       20845.37           0.00           0.00       21151.89
       4033.0000      1978-01-16          65.52   1.94927e-006       16594.84          66.53       0.295955        6420.94
       4199.0000      1978-07-01          82.07   4.20499e-006       10613.54          66.00       0.290788        6157.92
       4383.0000      1979-01-01         164.02   9.01023e-006        6399.41          65.57       0.279754        6079.73
       4384.0000      1979-01-02           0.00           0.00       20311.71           0.00           0.00       20848.27
       4397.0000      1979-01-15           0.00           0.00       20485.97           0.00           0.00       20969.46
       4398.0000      1979-01-16         123.84   7.44019e-006        8883.81          65.92       0.275226        6375.05
       4564.0000      1979-07-01         178.00   1.05359e-005        5956.08          65.36       0.273223        6006.21
       4748.0000      1980-01-01         191.30   1.28459e-005        5500.00          64.86       0.279703        5446.88
       4749.0000      1980-01-02           0.00           0.00       19958.63           0.00           0.00       20594.19
       4762.0000      1980-01-15           0.00           0.00       20142.23           0.00           0.00       20695.02
       4763.0000      1980-01-16         125.97   1.03520e-005        8097.33          65.09       0.281276        5745.62
       4930.0000      1980-07-01         191.48   1.43245e-005        5084.45          66.41       0.324562       -3298.92
       5114.0000      1981-01-01         206.31    0.000179972        3561.55          72.09       0.353022         101.32
       5115.0000      1981-01-02           0.00           0.00       19620.39           0.00           0.00       20329.11
       5128.0000      1981-01-15           0.00           0.00       19808.82           0.00           0.00       20427.42
       5129.0000      1981-01-16         131.12    0.000253775        6533.06          74.04       0.348425         101.32
       5295.0000      1981-07-01         207.31     0.00188743         -16.08          83.38       0.362407         101.32
       5479.0000      1982-01-01         207.92     0.00627200         101.32         113.83       0.375327         101.32
       5480.0000      1982-01-02           0.00           0.00       19372.35           0.00           0.00       20140.21
       5493.0000      1982-01-15           0.00           0.00       19539.65           0.00           0.00       20223.74
       5494.0000      1982-01-16         149.49     0.00598960        1216.40          97.39       0.363317         101.32
       5660.0000      1982-07-01         199.83      0.0254527         101.32         115.29       0.375866         101.32
       5844.0000      1983-01-01         210.16      0.0410937         101.32         124.00       0.385460         101.32
       5845.0000      1983-01-02           0.00           0.00       19236.96           0.00           0.00       19971.87
       5858.0000      1983-01-15           0.00           0.00       19388.00           0.00           0.00       20053.53
       5859.0000      1983-01-16         161.02      0.0352771         101.32         105.16       0.373603         101.32
       6025.0000      1983-07-01         207.45      0.0489248         101.32         117.30       0.384687         101.32

      Well:      PRO-5

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                  PUNQS3_funcio  PUNQS3_funcio  PUNQS3_funcio     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
                                      nando.irf      nando.irf      nando.irf                                             
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01          74.00           0.00       23067.71          74.00           0.00        5951.38
       1.0100000      1967-01-02          74.00   4.30981e-010       23002.29          74.00   2.35352e-010        5912.24
       31.000000      1967-02-01          73.85   5.20820e-009       22818.56          73.95   5.05997e-007        5624.38
       59.000000      1967-03-01          73.59   9.73342e-009       22744.97          73.78   2.26739e-006        5411.23
       90.000000      1967-04-01          73.41   1.35526e-008       22685.97          73.61   5.36548e-006        5203.87
       91.000000      1967-04-02          73.24   1.77025e-008       22066.62          73.58   5.50829e-006         101.32
       120.00000      1967-05-01          72.71   3.48048e-008       21833.63          73.27   1.09079e-005         101.32
       151.00000      1967-06-01          72.21   5.60701e-008       21713.71          72.99   2.18780e-005         101.32
       181.00000      1967-07-01          71.98   6.79418e-008       21610.14          72.79   3.46233e-005         101.32
       182.00000      1967-07-02          72.06   6.37036e-008       22245.05          72.80   3.50484e-005        4209.48
       212.00000      1967-08-01          72.32   5.11518e-008       22335.41          72.82   4.51865e-005        4129.49
       243.00000      1967-09-01          72.34   5.05226e-008       22334.87          72.76   6.01950e-005        3990.62
       273.00000      1967-10-01          72.30   5.23147e-008       22323.08          72.69   7.46862e-005        3847.63
       274.00000      1967-10-02          72.38   4.86523e-008       22638.41          72.73   7.50164e-005       13450.73
       304.00000      1967-11-01          72.58   4.02520e-008       22707.93          72.90   8.14669e-005       13532.15
       334.00000      1967-12-01          72.66   3.71483e-008       22727.09          72.96   8.97557e-005       13535.63
       365.00000      1968-01-01          72.70   3.59149e-008       22737.86          72.98   9.75111e-005       13526.01
       366.00000      1968-01-02           0.00           0.00       23050.49           0.00           0.00       23118.57
       731.00000      1969-01-01           0.00           0.00       23358.03           0.00           0.00       23392.91
       1096.0000      1970-01-01           0.00           0.00       23449.56           0.00           0.00       23476.59
       1461.0000      1971-01-01           0.00           0.00       23499.66           0.00           0.00       23522.88
       1462.0000      1971-01-02          73.96   4.43698e-009       22579.04          74.24   8.47533e-005         101.32
       1642.0000      1971-07-01          72.41   5.42744e-008       21882.46          72.90    0.000181776         101.32
       1826.0000      1972-01-01          71.22   1.61167e-007       21554.26          71.95    0.000521483         101.32
       1827.0000      1972-01-02           0.00           0.00       22537.13           0.00           0.00       22738.23
       1840.0000      1972-01-15           0.00           0.00       22697.41           0.00           0.00       22848.46
       1841.0000      1972-01-16          71.42   1.73710e-007       21731.95          72.08    0.000894993         101.32
       2008.0000      1972-07-01          70.49   4.59667e-007       21339.82          71.33     0.00212570         101.32
       2192.0000      1973-01-01          69.75   1.99953e-006       21112.99          70.77     0.00370881         101.32
       2193.0000      1973-01-02           0.00           0.00       22137.69           0.00           0.00       22446.57
       2206.0000      1973-01-15           0.00           0.00       22305.65           0.00           0.00       22555.36
       2207.0000      1973-01-16          70.16   2.52132e-006       21300.86          71.13     0.00362875         101.32
       2373.0000      1973-07-01          69.35   6.35168e-006       20962.32          70.53     0.00460208         101.32
       2557.0000      1974-01-01          68.83   3.54622e-005       20792.63          70.11     0.00600896         101.32
       2558.0000      1974-01-02           0.00           0.00       21867.48           0.00           0.00       22243.08
       2571.0000      1974-01-15           0.00           0.00       22042.61           0.00           0.00       22351.01
       2572.0000      1974-01-16          69.31   4.75916e-005       20990.90          70.47     0.00587393         101.32
       2738.0000      1974-07-01          68.60    0.000110153       20682.78          69.95     0.00694822         101.32
       2922.0000      1975-01-01          68.20    0.000615070       20535.35          69.56      0.0117727         101.32
       2923.0000      1975-01-02           0.00           0.00       21681.67           0.00           0.00       22072.18
       2936.0000      1975-01-15           0.00           0.00       21860.65           0.00           0.00       22176.71
       2937.0000      1975-01-16          68.71    0.000953108       20738.61          69.91      0.0113016         101.32
       3103.0000      1975-07-01          68.02     0.00217667       20434.90          69.40      0.0186175         101.32
       3287.0000      1976-01-01          67.66     0.00482244       20292.84          69.07      0.0311195         101.32
       3288.0000      1976-01-02           0.00           0.00       21518.74           0.00           0.00       21920.44
       3301.0000      1976-01-15           0.00           0.00       21701.80           0.00           0.00       22022.93
       3302.0000      1976-01-16          68.19     0.00550189       20500.26          69.41      0.0305101         101.32
       3469.0000      1976-07-01          67.51      0.0112764       20203.17          68.97      0.0394735         101.32
       3653.0000      1977-01-01          67.18      0.0198012       20068.55          68.75      0.0556916         101.32
       3654.0000      1977-01-02           0.00           0.00       21367.92           0.00           0.00       21805.11
       3667.0000      1977-01-15           0.00           0.00       21555.90           0.00           0.00       21907.17
       3668.0000      1977-01-16          67.71      0.0218912       20284.11          69.04      0.0609868         101.32
       3834.0000      1977-07-01          67.02      0.0294739       19981.66          68.65      0.0764582         101.32
       4018.0000      1978-01-01          66.65      0.0436029       19840.84          68.42       0.100172         101.32
       4019.0000      1978-01-02           0.00           0.00       21199.99           0.00           0.00       21707.81
       4032.0000      1978-01-15           0.00           0.00       21392.96           0.00           0.00       21810.61
       4033.0000      1978-01-16          67.16      0.0458649       20063.90          68.72       0.103830         101.32
       4199.0000      1978-07-01          66.44      0.0530640       19747.13          68.30       0.119188         101.32
       4383.0000      1979-01-01          65.99      0.0611884       19590.49          68.02       0.138467         101.32
       4384.0000      1979-01-02           0.00           0.00       20999.47           0.00           0.00       21597.79
       4397.0000      1979-01-15           0.00           0.00       21195.08           0.00           0.00       21700.29
       4398.0000      1979-01-16          66.53      0.0603292       19818.79          68.35       0.136578         101.32
       4564.0000      1979-07-01          65.77      0.0645438       19489.99          67.90       0.155599         101.32
       4748.0000      1980-01-01          65.31      0.0680326       19332.33          67.59       0.175854         101.32
       4749.0000      1980-01-02           0.00           0.00       20785.79           0.00           0.00       21438.23
       4762.0000      1980-01-15           0.00           0.00       20985.70           0.00           0.00       21543.39
       4763.0000      1980-01-16          65.87      0.0658980       19567.68          67.85       0.177785         101.32
       4930.0000      1980-07-01          65.03      0.0683987       19206.71          67.29       0.190319         101.32
       5114.0000      1981-01-01          64.49      0.0696296       19022.02          66.95       0.200769         101.32
       5115.0000      1981-01-02           0.00           0.00       20524.16           0.00           0.00       21226.45
       5128.0000      1981-01-15           0.00           0.00       20730.86           0.00           0.00       21335.13
       5129.0000      1981-01-16          65.04      0.0668967       19266.82          67.17       0.201122         101.32
       5295.0000      1981-07-01          64.21      0.0685831       18901.38          66.69       0.207609         101.32
       5479.0000      1982-01-01          63.70      0.0686263       18733.04          66.24       0.215728         101.32
       5480.0000      1982-01-02           0.00           0.00       20281.53           0.00           0.00       21047.33
       5493.0000      1982-01-15           0.00           0.00       20495.90           0.00           0.00       21158.51
       5494.0000      1982-01-16          64.29      0.0655456       18988.54          66.64       0.212418         101.32
       5660.0000      1982-07-01          63.44      0.0666917       18645.84          66.11       0.217557         101.32
       5844.0000      1983-01-01          63.08      0.0665491       18501.77          65.78       0.222648         101.32
       5845.0000      1983-01-02           0.00           0.00       20092.12           0.00           0.00       20904.45
       5858.0000      1983-01-15           0.00           0.00       20312.88           0.00           0.00       21018.07
       5859.0000      1983-01-16          63.71      0.0635288       18767.09          66.15       0.219254         101.32
       6025.0000      1983-07-01          62.95      0.0651889       18432.82          65.69       0.223708         101.32

      Well:      PRO-1

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                  PUNQS3_funcio  PUNQS3_funcio  PUNQS3_funcio     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
                                      nando.irf      nando.irf      nando.irf                                             
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01          74.01           0.00       22657.04          74.00           0.00       22590.01
       1.0100000      1967-01-02          74.01   6.42266e-010       22578.06          74.00   1.03217e-010       22557.56
       31.000000      1967-02-01          73.58   5.94217e-009       22386.04          73.76   3.15638e-009       22388.83
       59.000000      1967-03-01          73.30   1.06960e-008       22311.21          73.51   6.50604e-009       22317.95
       90.000000      1967-04-01          73.10   1.51976e-008       22243.65          73.32   9.76204e-009       22255.67
       91.000000      1967-04-02          72.88   2.13055e-008       21264.00          73.25   1.11951e-008       21269.40
       120.00000      1967-05-01          72.30   4.20253e-008       20998.22          72.70   2.59609e-008       21044.40
       151.00000      1967-06-01          71.78   6.59711e-008       20866.89          72.27   4.16060e-008       20912.90
       181.00000      1967-07-01          71.54   7.96560e-008       20748.78          71.98   5.45071e-008       20807.21
       182.00000      1967-07-02          71.65   7.32613e-008       21752.97          72.03   5.20417e-008       21820.22
       212.00000      1967-08-01          71.92   5.88433e-008       21849.83          72.23   4.33413e-008       21891.56
       243.00000      1967-09-01          71.90   6.00996e-008       21835.91          72.22   4.38783e-008       21882.10
       273.00000      1967-10-01          71.83   6.37664e-008       21811.68          72.16   4.62418e-008       21863.62
       274.00000      1967-10-02          71.93   5.83124e-008       22312.57          72.19   4.49689e-008       22368.49
       304.00000      1967-11-01          72.13   4.89463e-008       22382.37          72.35   3.83212e-008       22426.43
       334.00000      1967-12-01          72.19   4.62912e-008       22395.88          72.42   3.58236e-008       22441.55
       365.00000      1968-01-01          72.21   4.53774e-008       22402.66          72.44   3.48836e-008       22449.62
       366.00000      1968-01-02           0.00           0.00       22899.66           0.00           0.00       22951.38
       731.00000      1969-01-01           0.00           0.00       23235.50           0.00           0.00       23258.15
       1096.0000      1970-01-01           0.00           0.00       23341.32           0.00           0.00       23354.69
       1461.0000      1971-01-01           0.00           0.00       23398.91           0.00           0.00       23406.38
       1462.0000      1971-01-02          73.59   5.66555e-009       21958.60          73.82   2.48974e-009       21949.36
       1642.0000      1971-07-01          71.98   6.35181e-008       21040.69          72.29   4.37515e-008       21233.14
       1826.0000      1972-01-01          83.76   1.82534e-007       20356.73          71.07   1.08236e-007       20875.83
       1827.0000      1972-01-02           0.00           0.00       22293.39           0.00           0.00       22449.41
       1840.0000      1972-01-15           0.00           0.00       22499.02           0.00           0.00       22584.26
       1841.0000      1972-01-16          95.91   1.63385e-007       20620.12          71.23   9.74815e-008       21038.18
       2008.0000      1972-07-01         129.26   3.22400e-007       19988.10          70.28   1.74272e-007       20660.45
       2192.0000      1973-01-01         137.94   4.75081e-007       19677.37          69.57   2.58953e-007       20449.12
       2193.0000      1973-01-02           0.00           0.00       21770.30           0.00           0.00       22081.38
       2206.0000      1973-01-15           0.00           0.00       22014.45           0.00           0.00       22218.20
       2207.0000      1973-01-16         110.48   3.64867e-007       19995.99          70.06   2.07710e-007       20622.59
       2373.0000      1973-07-01         131.37   5.60755e-007       19491.43          69.27   3.15265e-007       20309.40
       2557.0000      1974-01-01         130.87   6.92514e-007       19285.02          68.71   4.55424e-007       20142.63
       2558.0000      1974-01-02           0.00           0.00       21469.36           0.00           0.00       21810.84
       2571.0000      1974-01-15           0.00           0.00       21719.98           0.00           0.00       21951.41
       2572.0000      1974-01-16         103.91   5.35647e-007       19617.49          69.18   3.90534e-007       20307.31
       2738.0000      1974-07-01         124.69   7.55595e-007       19156.97          68.49   6.04589e-007       20029.76
       2922.0000      1975-01-01         126.42   8.89149e-007       18970.78          67.91   1.06530e-006       19849.01
       2923.0000      1975-01-02           0.00           0.00       21240.30           0.00           0.00       21556.18
       2936.0000      1975-01-15           0.00           0.00       21497.31           0.00           0.00       21692.54
       2937.0000      1975-01-16         102.88   6.97275e-007       19316.65          68.37   9.74783e-007       20014.76
       3103.0000      1975-07-01         122.51   9.60126e-007       18839.39          67.68   1.57273e-006       19732.55
