      Well:      PRO-4

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
       2008.0000      1972-07-01          70.64   1.52774e-007       20513.49          70.59   1.53811e-007       20355.23
       2192.0000      1973-01-01          70.45   2.36395e-007       20155.87          70.23   2.21141e-007       19973.46
       2193.0000      1973-01-02           0.00           0.00       22192.58           0.00           0.00       22149.61
       2206.0000      1973-01-15           0.00           0.00       22271.91           0.00           0.00       22243.01
       2207.0000      1973-01-16          70.73   2.03624e-007       20267.78          70.49   2.07971e-007       20087.74
       2373.0000      1973-07-01          73.34   2.89478e-007       19895.79          71.52   2.94053e-007       19703.77
       2557.0000      1974-01-01          88.37   3.93333e-007       19612.40          76.18   3.99144e-007       19399.25
       2558.0000      1974-01-02           0.00           0.00       21908.86           0.00           0.00       21874.17
       2571.0000      1974-01-15           0.00           0.00       22003.52           0.00           0.00       21981.47
       2572.0000      1974-01-16          84.31   3.44291e-007       19745.38          75.70   3.47892e-007       19540.36
       2738.0000      1974-07-01         102.20   4.63679e-007       19425.73          88.68   4.70113e-007       19200.73
       2922.0000      1975-01-01         133.13   8.69429e-007       19177.27         103.67   6.46618e-007       18947.74
       2923.0000      1975-01-02           0.00           0.00       21634.34           0.00           0.00       21608.32
       2936.0000      1975-01-15           0.00           0.00       21754.81           0.00           0.00       21732.91
       2937.0000      1975-01-16         116.19   7.84993e-007       19344.17         102.60   6.53540e-007       19123.17
       3103.0000      1975-07-01         138.22   1.82316e-006       19028.37         112.83   1.34948e-006       18797.31
       3287.0000      1976-01-01         143.91   1.12182e-005       18821.24         125.66   1.11799e-005       18573.35
       3288.0000      1976-01-02           0.00           0.00       21397.28           0.00           0.00       21385.29
       3301.0000      1976-01-15           0.00           0.00       21534.58           0.00           0.00       21515.53
       3302.0000      1976-01-16         123.93   1.14489e-005       19013.10         111.15   1.15719e-005       18761.65
       3469.0000      1976-07-01         125.39   4.51444e-005       18679.44         113.48   5.65500e-005       18404.44
       3653.0000      1977-01-01         118.79    0.000171889       18396.86         113.22    0.000232382       18064.21
       3654.0000      1977-01-02           0.00           0.00       21241.70           0.00           0.00       21226.88
       3667.0000      1977-01-15           0.00           0.00       21398.16           0.00           0.00       21378.56
       3668.0000      1977-01-16         110.40    0.000241517       18617.16         105.93    0.000332988       18279.74
       3834.0000      1977-07-01         110.24    0.000576867       18088.26         104.96    0.000871204       17634.24
       4018.0000      1978-01-01         103.08     0.00549944       17482.27          96.58      0.0117374       16837.43
       4019.0000      1978-01-02           0.00           0.00       21114.65           0.00           0.00       21117.91
       4032.0000      1978-01-15           0.00           0.00       21283.16           0.00           0.00       21282.18
       4033.0000      1978-01-16          92.91     0.00967507       17713.92          85.36      0.0173134       17058.40
       4199.0000      1978-07-01          90.74      0.0257174       16675.40          82.73      0.0613835       15758.68
       4383.0000      1979-01-01          86.26       0.121617       15430.34          83.48       0.178050       14159.05
       4384.0000      1979-01-02           0.00           0.00       20971.19           0.00           0.00       20958.40
       4397.0000      1979-01-15           0.00           0.00       21159.05           0.00           0.00       21145.85
       4398.0000      1979-01-16          82.35       0.125937       15714.89          81.33       0.186063       14467.35
       4564.0000      1979-07-01          84.39       0.223342       14177.90          84.98       0.305070       12854.89
       4748.0000      1980-01-01          87.58       0.334289       12871.98          93.87       0.396903       11294.19
       4749.0000      1980-01-02           0.00           0.00       20682.05           0.00           0.00       20642.23
       4762.0000      1980-01-15           0.00           0.00       20917.23           0.00           0.00       20879.86
       4763.0000      1980-01-16          85.65       0.368426       13321.92          88.83       0.428257       11752.23
       4930.0000      1980-07-01          89.86       0.421150       11937.56         100.85       0.460538       10184.36
       5114.0000      1981-01-01          96.58       0.463851       10920.70         119.21       0.498805        9279.83
       5115.0000      1981-01-02           0.00           0.00       20365.67           0.00           0.00       20332.56
       5128.0000      1981-01-15           0.00           0.00       20628.63           0.00           0.00       20606.92
       5129.0000      1981-01-16          90.11       0.490595       11410.18          94.91       0.523880        9718.61
       5295.0000      1981-07-01          95.41       0.507110       10280.55         113.13       0.531138        8763.64
       5479.0000      1982-01-01         103.66       0.536168        9673.89         121.32       0.546685        8209.84
       5480.0000      1982-01-02           0.00           0.00       20145.85           0.00           0.00       20137.17
       5493.0000      1982-01-15           0.00           0.00       20438.52           0.00           0.00       20429.52
       5494.0000      1982-01-16          91.41       0.561153       10322.87          94.75       0.584326        8869.58
       5660.0000      1982-07-01          99.09       0.558952        9339.97         109.35       0.571125        8028.01
       5844.0000      1983-01-01         102.47       0.570436        9015.62         117.92       0.581530        7671.74
       5845.0000      1983-01-02           0.00           0.00       19966.59           0.00           0.00       19979.34
       5858.0000      1983-01-15           0.00           0.00       20281.12           0.00           0.00       20289.05
       5859.0000      1983-01-16          91.17       0.597906        9759.25          93.63       0.612778        8412.81
       6025.0000      1983-07-01          97.61       0.588103        8822.18         107.48       0.596641        7562.11

      Well:      PRO-5

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01           0.00           0.00        5951.38           0.00           0.00        7011.66
       1.0100000      1967-01-02          74.00   2.35352e-010        5912.24          74.00   1.87665e-010        6976.09
       31.000000      1967-02-01          73.95   5.05997e-007        5624.38          73.96   4.44982e-007        6703.23
       59.000000      1967-03-01          73.78   2.26739e-006        5411.23          73.79   1.99219e-006        6503.69
       90.000000      1967-04-01          73.61   5.36548e-006        5203.87          73.63   4.70587e-006        6307.82
       91.000000      1967-04-02          73.58   5.50829e-006         101.32          73.60   4.83453e-006         101.32
       120.00000      1967-05-01          73.27   1.09079e-005         101.32          73.30   8.68780e-006         101.32
       151.00000      1967-06-01          72.99   2.18780e-005         101.32          73.01   1.76572e-005         101.32
       181.00000      1967-07-01          72.79   3.46233e-005         101.32          72.75   3.23027e-005         101.32
       182.00000      1967-07-02          72.80   3.50484e-005        4209.48          72.76   3.26965e-005        5318.52
       212.00000      1967-08-01          72.82   4.51865e-005        4129.49          72.80   4.18221e-005        5264.27
       243.00000      1967-09-01          72.76   6.01950e-005        3990.62          72.75   5.52093e-005        5142.39
       273.00000      1967-10-01          72.69   7.46862e-005        3847.63          72.69   6.80634e-005        5014.29
       274.00000      1967-10-02          72.73   7.50164e-005       13450.73          72.72   6.83642e-005       14030.58
       304.00000      1967-11-01          72.90   8.14669e-005       13532.15          72.89   7.40403e-005       14110.56
       334.00000      1967-12-01          72.96   8.97557e-005       13535.63          72.95   8.11724e-005       14117.17
       365.00000      1968-01-01          72.98   9.75111e-005       13526.01          72.97   8.78237e-005       14110.99
       366.00000      1968-01-02           0.00           0.00       23118.57           0.00           0.00       23114.60
       731.00000      1969-01-01           0.00           0.00       23392.91           0.00           0.00       23391.27
       1096.0000      1970-01-01           0.00           0.00       23476.59           0.00           0.00       23477.02
       1461.0000      1971-01-01           0.00           0.00       23522.88           0.00           0.00       23523.11
       1462.0000      1971-01-02          74.24   8.47533e-005         101.32          74.06   7.97057e-005         101.32
       1642.0000      1971-07-01          72.90    0.000181776         101.32          72.90    0.000166064         101.32
       1826.0000      1972-01-01          71.95    0.000521483         101.32          71.89    0.000445098         101.32
       1827.0000      1972-01-02           0.00           0.00       22738.23           0.00           0.00       22715.98
       1840.0000      1972-01-15           0.00           0.00       22848.46           0.00           0.00       22827.82
       1841.0000      1972-01-16          72.08    0.000894993         101.32          72.02    0.000675964         101.32
       2008.0000      1972-07-01          71.33     0.00212570         101.32          71.27     0.00204814         101.32
       2192.0000      1973-01-01          70.77     0.00370881         101.32          70.80     0.00358183         101.32
       2193.0000      1973-01-02           0.00           0.00       22446.57           0.00           0.00       22416.00
       2206.0000      1973-01-15           0.00           0.00       22555.36           0.00           0.00       22525.70
       2207.0000      1973-01-16          71.13     0.00362875         101.32          71.04     0.00395005         101.32
       2373.0000      1973-07-01          70.53     0.00460208         101.32          70.45     0.00513990         101.32
       2557.0000      1974-01-01          70.11     0.00600896         101.32          70.04     0.00680385         101.32
       2558.0000      1974-01-02           0.00           0.00       22243.08           0.00           0.00       22217.20
       2571.0000      1974-01-15           0.00           0.00       22351.01           0.00           0.00       22324.65
       2572.0000      1974-01-16          70.47     0.00587393         101.32          70.40     0.00669247         101.32
       2738.0000      1974-07-01          69.95     0.00694822         101.32          69.88     0.00778892         101.32
       2922.0000      1975-01-01          69.56      0.0117727         101.32          69.58      0.0101633         101.32
       2923.0000      1975-01-02           0.00           0.00       22072.18           0.00           0.00       22051.93
       2936.0000      1975-01-15           0.00           0.00       22176.71           0.00           0.00       22157.02
       2937.0000      1975-01-16          69.91      0.0113016         101.32          69.85      0.0110051         101.32
       3103.0000      1975-07-01          69.40      0.0186175         101.32          69.36      0.0147650         101.32
       3287.0000      1976-01-01          69.07      0.0311195         101.32          69.03      0.0213525         101.32
       3288.0000      1976-01-02           0.00           0.00       21920.44           0.00           0.00       21906.62
       3301.0000      1976-01-15           0.00           0.00       22022.93           0.00           0.00       22010.38
       3302.0000      1976-01-16          69.41      0.0305101         101.32          69.38      0.0207295         101.32
       3469.0000      1976-07-01          68.97      0.0394735         101.32          68.93      0.0264895         101.32
       3653.0000      1977-01-01          68.75      0.0556915         101.32          68.72      0.0342924         101.32
       3654.0000      1977-01-02           0.00           0.00       21805.11           0.00           0.00       21793.37
       3667.0000      1977-01-15           0.00           0.00       21907.17           0.00           0.00       21896.79
       3668.0000      1977-01-16          69.04      0.0609868         101.32          69.02      0.0359505         101.32
       3834.0000      1977-07-01          68.65      0.0764582         101.32          68.64      0.0419919         101.32
       4018.0000      1978-01-01          68.42       0.100172         101.32          68.42      0.0569146         101.32
       4019.0000      1978-01-02           0.00           0.00       21707.81           0.00           0.00       21703.81
       4032.0000      1978-01-15           0.00           0.00       21810.61           0.00           0.00       21806.06
       4033.0000      1978-01-16          68.72       0.103830         101.32          68.74      0.0611300         101.32
       4199.0000      1978-07-01          68.30       0.119188         101.32          68.31      0.0773053         101.32
       4383.0000      1979-01-01          68.02       0.138467         101.32          68.03      0.0985722         101.32
       4384.0000      1979-01-02           0.00           0.00       21597.79           0.00           0.00       21598.78
       4397.0000      1979-01-15           0.00           0.00       21700.29           0.00           0.00       21699.83
       4398.0000      1979-01-16          68.35       0.136578         101.32          68.36      0.0969359         101.32
       4564.0000      1979-07-01          67.90       0.155599         101.32          67.92       0.110298         101.32
       4748.0000      1980-01-01          67.59       0.175854         101.32          67.61       0.123862         101.32
       4749.0000      1980-01-02           0.00           0.00       21438.23           0.00           0.00       21441.19
       4762.0000      1980-01-15           0.00           0.00       21543.39           0.00           0.00       21542.39
       4763.0000      1980-01-16          67.85       0.177785         101.32          67.86       0.125486         101.32
       4930.0000      1980-07-01          67.29       0.190319         101.32          67.38       0.133516         101.32
       5114.0000      1981-01-01          66.95       0.200768         101.32          66.96       0.144938         101.32
       5115.0000      1981-01-02           0.00           0.00       21226.44           0.00           0.00       21229.13
       5128.0000      1981-01-15           0.00           0.00       21335.12           0.00           0.00       21333.40
       5129.0000      1981-01-16          67.20       0.201122         101.32          67.22       0.146079         101.32
       5295.0000      1981-07-01          66.69       0.207609         101.32          66.72       0.152459         101.32
       5479.0000      1982-01-01          66.24       0.215727         101.32          66.37       0.165487         101.32
       5480.0000      1982-01-02           0.00           0.00       21047.32           0.00           0.00       21059.90
       5493.0000      1982-01-15           0.00           0.00       21158.50           0.00           0.00       21167.78
       5494.0000      1982-01-16          66.64       0.212399         101.32          66.68       0.165671         101.32
       5660.0000      1982-07-01          66.11       0.217555         101.32          66.22       0.173561         101.32
       5844.0000      1983-01-01          65.78       0.222648         101.32          65.88       0.185799         101.32
       5845.0000      1983-01-02           0.00           0.00       20904.45           0.00           0.00       20930.20
       5858.0000      1983-01-15           0.00           0.00       21018.06           0.00           0.00       21040.31
       5859.0000      1983-01-16          66.18       0.219235         101.32          66.26       0.182825         101.32
       6025.0000      1983-07-01          65.69       0.223707         101.32          65.80       0.190382         101.32

      Well:     PRO-11

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01           0.00           0.00       22045.31           0.00           0.00       21898.08
       1.0100000      1967-01-02          74.00   2.18805e-010       21997.89          74.00   2.06018e-010       21851.99
       31.000000      1967-02-01          73.79   4.45465e-009       21805.98          73.80   4.32731e-009       21661.29
       59.000000      1967-03-01          73.55   8.22363e-009       21734.38          73.56   8.04217e-009       21588.89
       90.000000      1967-04-01          73.37   1.17934e-008       21670.00          73.37   1.15978e-008       21523.42
       91.000000      1967-04-02          73.26   1.40708e-008       20059.12          73.28   1.37642e-008       19763.91
       120.00000      1967-05-01          72.67   3.19291e-008       19794.94          72.74   2.92905e-008       19488.54
       151.00000      1967-06-01          72.24   4.91370e-008       19651.35          72.32   4.55847e-008       19342.07
       181.00000      1967-07-01          71.95   6.33061e-008       19534.29          71.95   6.29573e-008       19226.61
       182.00000      1967-07-02          72.03   5.91873e-008       21195.23          72.03   5.90412e-008       21041.34
       212.00000      1967-08-01          72.28   4.73890e-008       21290.67          72.27   4.76197e-008       21134.68
       243.00000      1967-09-01          72.27   4.79254e-008       21280.88          72.26   4.82321e-008       21124.39
       273.00000      1967-10-01          72.22   5.04871e-008       21261.56          72.21   5.08024e-008       21104.81
       274.00000      1967-10-02          72.26   4.84637e-008       22087.04          72.25   4.88665e-008       22006.83
       304.00000      1967-11-01          72.46   4.01605e-008       22159.04          72.45   4.06263e-008       22078.46
       334.00000      1967-12-01          72.53   3.75737e-008       22174.91          72.51   3.80212e-008       22094.39
       365.00000      1968-01-01          72.55   3.67264e-008       22183.04          72.54   3.71439e-008       22102.74
       366.00000      1968-01-02           0.00           0.00       23001.93           0.00           0.00       22997.61
       731.00000      1969-01-01           0.00           0.00       23318.34           0.00           0.00       23315.72
       1096.0000      1970-01-01           0.00           0.00       23413.00           0.00           0.00       23412.70
       1461.0000      1971-01-01           0.00           0.00       23464.18           0.00           0.00       23464.17
       1462.0000      1971-01-02          73.92   3.19676e-009       21085.34          73.92   3.14787e-009       20865.56
       1642.0000      1971-07-01          72.27   5.37760e-008       20271.45          72.32   5.07384e-008       20031.82
       1826.0000      1972-01-01          71.04   1.43566e-007       19878.51          71.03   1.48766e-007       19634.90
       1827.0000      1972-01-02           0.00           0.00       22460.76           0.00           0.00       22454.88
       1840.0000      1972-01-15           0.00           0.00       22634.34           0.00           0.00       22623.74
       1841.0000      1972-01-16          71.30   1.38255e-007       20096.50          71.28   1.46000e-007       19850.79
       2008.0000      1972-07-01          70.23   3.66446e-007       19640.80          70.21   3.79792e-007       19390.36
       2192.0000      1973-01-01          69.49   9.05650e-007       19391.81          69.58   7.78209e-007       19121.10
       2193.0000      1973-01-02           0.00           0.00       22079.67           0.00           0.00       22058.30
       2206.0000      1973-01-15           0.00           0.00       22272.13           0.00           0.00       22243.48
       2207.0000      1973-01-16          70.14   7.87253e-007       19638.31          70.06   8.15391e-007       19365.27
       2373.0000      1973-07-01          69.18   1.53853e-006       19222.62          69.11   1.82945e-006       18945.01
       2557.0000      1974-01-01          68.62   3.43020e-006       19018.91          68.53   4.50323e-006       18729.76
       2558.0000      1974-01-02           0.00           0.00       21810.58           0.00           0.00       21774.87
       2571.0000      1974-01-15           0.00           0.00       22013.21           0.00           0.00       21974.05
       2572.0000      1974-01-16          69.31   3.17682e-006       19287.76          69.19   4.24880e-006       18992.18
       2738.0000      1974-07-01          68.40   5.72913e-006       18870.02          68.29   1.22360e-005       18550.53
       2922.0000      1975-01-01          67.81   9.55692e-005       18534.22          67.84    0.000114461       18194.81
       2923.0000      1975-01-02           0.00           0.00       21553.04           0.00           0.00       21521.39
       2936.0000      1975-01-15           0.00           0.00       21762.14           0.00           0.00       21722.25
       2937.0000      1975-01-16          68.51   9.19750e-005       18810.41          68.39    0.000166498       18466.69
       3103.0000      1975-07-01          67.59     0.00165026       18202.23          67.52     0.00238032       17869.62
       3287.0000      1976-01-01          67.09      0.0175704       17709.00          67.03      0.0197163       17395.91
       3288.0000      1976-01-02           0.00           0.00       21332.32           0.00           0.00       21314.18
       3301.0000      1976-01-15           0.00           0.00       21541.81           0.00           0.00       21517.65
       3302.0000      1976-01-16          67.79      0.0168035       18006.11          67.73      0.0189355       17689.55
       3469.0000      1976-07-01          66.92      0.0600116       17298.76          66.87      0.0587473       17011.05
       3653.0000      1977-01-01          66.52       0.150472       16733.29          66.48       0.139185       16477.62
       3654.0000      1977-01-02           0.00           0.00       21129.83           0.00           0.00       21118.60
       3667.0000      1977-01-15           0.00           0.00       21348.45           0.00           0.00       21337.84
       3668.0000      1977-01-16          67.16       0.174600       17070.27          67.15       0.160438       16825.68
       3834.0000      1977-07-01          66.27       0.245378       16167.64          66.28       0.206006       15511.77
       4018.0000      1978-01-01          66.17       0.329022       14747.68          66.27       0.278065       13469.71
       4019.0000      1978-01-02           0.00           0.00       20898.03           0.00           0.00       20915.42
       4032.0000      1978-01-15           0.00           0.00       21161.31           0.00           0.00       21171.49
       4033.0000      1978-01-16          67.12       0.341321       15229.85          67.25       0.290977       13986.09
       4199.0000      1978-07-01          68.30       0.396847       12729.99          68.58       0.353402       10933.44
       4383.0000      1979-01-01          91.28       0.449928        9560.30          89.62       0.419957        7054.57
       4384.0000      1979-01-02           0.00           0.00       20631.97           0.00           0.00       20650.11
       4397.0000      1979-01-15           0.00           0.00       20935.05           0.00           0.00       20938.65
       4398.0000      1979-01-16          86.27       0.443543       10515.41          83.91       0.412071        8148.90
       4564.0000      1979-07-01         114.93       0.478323        6749.77         114.44       0.454887        3695.50
       4748.0000      1980-01-01         140.52       0.509662        3724.69         142.01       0.492288          21.15
       4749.0000      1980-01-02           0.00           0.00       20262.75           0.00           0.00       20246.72
       4762.0000      1980-01-15           0.00           0.00       20625.13           0.00           0.00       20600.67
       4763.0000      1980-01-16         130.45       0.504887        5691.72         131.33       0.481543        2252.27
       4930.0000      1980-07-01         152.18       0.529685        2219.92         151.73       0.509350         101.32
       5114.0000      1981-01-01         161.81       0.551654         244.31         155.62       0.530764         101.32
       5115.0000      1981-01-02           0.00           0.00       19910.65           0.00           0.00       20016.01
       5128.0000      1981-01-15           0.00           0.00       20310.61           0.00           0.00       20354.78
       5129.0000      1981-01-16         142.72       0.547916        2795.06         136.11       0.518416         101.32
       5295.0000      1981-07-01         161.04       0.565988         101.32         149.81       0.545240         101.32
       5479.0000      1982-01-01         162.95       0.589165         101.32         151.30       0.569925         101.32
       5480.0000      1982-01-02           0.00           0.00       19732.73           0.00           0.00       19875.46
       5493.0000      1982-01-15           0.00           0.00       20121.44           0.00           0.00       20198.70
       5494.0000      1982-01-16         141.31       0.579942         976.45         131.75       0.562737         101.32
       5660.0000      1982-07-01         160.69       0.600166         101.32         146.22       0.588478         101.32
       5844.0000      1983-01-01         162.79       0.620288         101.32         149.46       0.616257         101.32
       5845.0000      1983-01-02           0.00           0.00       19588.62           0.00           0.00       19740.51
       5858.0000      1983-01-15           0.00           0.00       19969.39           0.00           0.00       20058.03
       5859.0000      1983-01-16         140.99       0.612623         101.32         129.91       0.605442         101.32
       6025.0000      1983-07-01         160.54       0.632107         101.32         146.14       0.628999         101.32

      Well:     PRO-12

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01           0.00           0.00       21574.12           0.00           0.00       21574.70
       1.0100000      1967-01-02          74.00   1.32545e-010       21537.12          74.00   1.40370e-010       21536.63
       31.000000      1967-02-01          73.97   4.44936e-009       21340.15          73.97   4.53917e-009       21338.36
       59.000000      1967-03-01          73.80   8.13926e-009       21269.87          73.79   8.26851e-009       21267.80
       90.000000      1967-04-01          73.64   1.12195e-008       21211.02          73.63   1.13943e-008       21208.55
       91.000000      1967-04-02          73.56   1.29130e-008       19080.17          73.55   1.31648e-008       19076.66
       120.00000      1967-05-01          73.02   2.79745e-008       18826.67          73.04   2.73926e-008       18805.36
       151.00000      1967-06-01          72.68   4.05182e-008       18707.37          72.69   4.00575e-008       18686.58
       181.00000      1967-07-01          72.46   4.99904e-008       18613.10          72.41   5.21545e-008       18594.08
       182.00000      1967-07-02          72.52   4.71208e-008       20801.01          72.48   4.90900e-008       20785.17
       212.00000      1967-08-01          72.78   3.66154e-008       20902.07          72.75   3.78561e-008       20891.24
       243.00000      1967-09-01          72.77   3.69092e-008       20891.77          72.74   3.79490e-008       20882.43
       273.00000      1967-10-01          72.71   3.91952e-008       20870.28          72.69   4.01599e-008       20861.94
       274.00000      1967-10-02          72.75   3.78140e-008       21957.35          72.72   3.87104e-008       21949.84
       304.00000      1967-11-01          72.95   3.04113e-008       22032.50          72.93   3.10666e-008       22026.50
       334.00000      1967-12-01          73.02   2.81429e-008       22047.73          73.00   2.87230e-008       22042.10
       365.00000      1968-01-01          73.03   2.75353e-008       22053.91          73.02   2.80755e-008       22048.63
       366.00000      1968-01-02           0.00           0.00       23132.09           0.00           0.00       23127.37
       731.00000      1969-01-01           0.00           0.00       23408.33           0.00           0.00       23406.88
       1096.0000      1970-01-01           0.00           0.00       23490.97           0.00           0.00       23491.32
       1461.0000      1971-01-01           0.00           0.00       23537.25           0.00           0.00       23537.47
       1462.0000      1971-01-02          74.28   2.46956e-009       20377.15          74.11   2.51612e-009       20374.54
       1642.0000      1971-07-01          72.76   4.04821e-008       19640.42          72.76   3.93833e-008       19622.24
       1826.0000      1972-01-01          71.77   9.82563e-008       19307.46          71.71   9.47235e-008       19289.46
       1827.0000      1972-01-02           0.00           0.00       22681.80           0.00           0.00       22663.87
       1840.0000      1972-01-15           0.00           0.00       22848.49           0.00           0.00       22834.18
       1841.0000      1972-01-16          72.08   8.50266e-008       19529.51          72.03   7.74084e-008       19516.20
       2008.0000      1972-07-01          71.13   2.13679e-007       19104.81          71.07   1.67533e-007       19087.20
       2192.0000      1973-01-01          70.54   7.10726e-007       18894.70          70.56   2.87057e-007       18869.27
       2193.0000      1973-01-02           0.00           0.00       22375.70           0.00           0.00       22347.03
       2206.0000      1973-01-15           0.00           0.00       22547.20           0.00           0.00       22523.80
       2207.0000      1973-01-16          71.11   6.24843e-007       19125.45          71.03   2.64843e-007       19107.40
       2373.0000      1973-07-01          70.29   1.81824e-006       18746.46          70.20   5.95506e-007       18733.34
       2557.0000      1974-01-01          69.85   7.54318e-006       18568.51          69.76   1.76509e-006       18571.08
       2558.0000      1974-01-02           0.00           0.00       22163.39           0.00           0.00       22136.69
       2571.0000      1974-01-15           0.00           0.00       22338.22           0.00           0.00       22316.21
       2572.0000      1974-01-16          70.44   7.33966e-006       18805.65          70.37   1.62139e-006       18814.46
       2738.0000      1974-07-01          69.70   1.91191e-005       18431.70          69.60   3.88959e-006       18455.79
       2922.0000      1975-01-01          69.29   6.13556e-005       18213.57          69.28   9.44629e-006       18286.18
       2923.0000      1975-01-02           0.00           0.00       21987.68           0.00           0.00       21961.70
       2936.0000      1975-01-15           0.00           0.00       22164.19           0.00           0.00       22144.34
       2937.0000      1975-01-16          69.88   6.09170e-005       18455.39          69.81   1.14247e-005       18536.29
       3103.0000      1975-07-01          69.14    0.000120260       18034.49          69.07   2.41355e-005       18161.14
       3287.0000      1976-01-01          68.78    0.000274502       17784.77          68.72   7.24938e-005       17959.63
       3288.0000      1976-01-02           0.00           0.00       21831.64           0.00           0.00       21811.93
       3301.0000      1976-01-15           0.00           0.00       22012.35           0.00           0.00       21998.39
       3302.0000      1976-01-16          69.40    0.000272568       18037.83          69.35   7.17827e-005       18218.94
       3469.0000      1976-07-01          68.68    0.000450731       17574.66          68.62    0.000140965       17797.79
       3653.0000      1977-01-01          68.44     0.00112889       17279.18          68.38    0.000282202       17547.35
