iteration     2938
 status:           0
 it:        2938
 if flag=0, a maximum was founded satisfying
 convergence criteria and maximum number
 of iteractions
 if flag=1, the maximum number of iteractions
 was exceded
 MELHOR MODELO - COMPLEX          832
 Funcao Objeto =   3.9014063E-04
    0.1302   429.6790   136.3205
    0.1206   345.8321   110.3279
    0.0595    41.4668    15.9747
    0.0455    39.9563    15.5064
    0.1481   244.1734    78.8137
    0.1699   266.0397    85.5923
    0.2102   524.3038   165.6542
    0.0000     0.0000     3.1200
    0.1557   545.8842   172.3441
    0.2316   642.3292   202.2420
    0.2310   722.9830   227.2447
    0.1902   592.4876   186.7912
    0.1893   526.2111   166.2454
    0.0836    96.5120    33.0387
    0.1053   216.5285    70.2438
    0.1293   167.6648    55.0961
    0.0804    80.8194    28.1740
    0.0000     0.0000     3.1200
    0.1006   103.9367    35.3404
    0.1957   520.6066   164.5081
    0.2114   620.4180   195.4496
    0.2151   723.6327   227.4461
    0.2235   627.2696   197.5736
    0.2072   508.1512   160.6469
    0.1277   114.6264    38.6542
    0.1307   110.9516    37.5150
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1887   627.6091   197.6788
    0.2152   675.9162   212.6540
    0.1821   591.4716   186.4762
    0.2389   802.3105   251.8363
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1130    49.0162    18.3150
    0.1429    35.7422    14.2001
    0.0936    66.0715    23.6022
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1358   154.2775    50.9460
    0.1711   356.7363   113.7083
    0.1452   363.9549   115.9460
    0.1450   155.6503    51.3716
    0.1430   179.8241    58.8655
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0958    38.5816    15.0803
    0.1120    82.2956    28.6317
    0.1714   357.8375   114.0496
    0.1763   437.9755   138.8924
    0.2064   535.2283   169.0408
    0.1298   158.8501    52.3635
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0174     2.1268     3.7793
    0.0508    16.4282     8.2127
    0.1030    23.5785    10.4293
    0.1729   322.7401   103.1694
    0.2137   581.2725   183.3145
    0.1583   453.0044   143.5514
    0.1729   230.4704    74.5658
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0399     4.3090     4.4558
    0.0522     4.1285     4.3998
    0.0851    78.8043    27.5493
    0.1941   259.6294    83.6051
    0.1993   241.5257    77.9930
    0.1299   147.5270    48.8534
    0.1327   271.5676    87.3059
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0591     1.5141     3.5894
    0.0496     3.2777     4.1361
    0.0979   117.8082    39.6405
    0.1647   144.1975    47.8212
    0.1516   177.4083    58.1166
    0.0574    27.8731    11.7607
    0.0607    55.4097    20.2970
    0.1308    42.6844    16.3522
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1119     8.3933     5.7219
    0.0626    24.3907    10.6811
    0.1405   244.9336    79.0494
    0.1273   116.8357    39.3391
    0.1010    25.8189    11.1239
    0.0325    23.8498    10.5134
    0.1027    42.7847    16.3832
    0.1201    55.9402    20.4615
    0.0000     0.0000     3.1200
    0.0583    31.2229    12.7991
    0.0752    16.4621     8.2233
    0.1211   109.2677    36.9930
    0.1409   251.7919    81.1755
    0.1217   256.0097    82.4830
    0.0831    23.6593    10.4544
    0.0843    54.3811    19.9782
    0.0700    63.0492    22.6653
    0.1191   176.9797    57.9837
    0.0000     0.0000     3.1200
    0.0537    21.1001     9.6610
    0.0896    32.3360    13.1442
    0.1958   143.1387    47.4930
    0.1656   284.6657    91.3664
    0.1357   234.9247    75.9466
    0.1134    18.7009     8.9173
    0.1051    45.6655    17.2763
    0.1100   129.7433    43.3404
    0.2206   500.7292   158.3461
    0.0000     0.0000     3.1200
    0.0253    15.2952     7.8615
    0.0966    16.2012     8.1424
    0.1804   312.3791    99.9575
    0.1603   480.7336   152.1474
    0.1101   154.1276    50.8996
    0.0933    43.1875    16.5081
    0.1184   108.0273    36.6085
    0.1609   389.1798   123.7658
    0.2048   415.7730   132.0096
    0.0000     0.0000     3.1200
    0.0432     5.2464     4.7464
    0.0861     8.2480     5.6769
    0.1427    91.2405    31.4045
    0.1500   256.8003    82.7281
    0.1106   157.0802    51.8149
    0.1367   154.3445    50.9668
    0.1843   438.3238   139.0004
    0.1756   428.1557   135.8483
    0.1376   234.3062    75.7549
    0.0000     0.0000     3.1200
    0.0232     2.1180     3.7766
    0.0397     6.6972     5.1961
    0.1302    55.4608    20.3129
    0.1545   100.5465    34.2894
    0.1255   148.4898    49.1518
    0.1338   220.1566    71.3686
    0.1233   364.0557   115.9773
    0.1084   153.7489    50.7822
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1240    22.7521    10.1731
    0.0857    24.7746    10.8001
    0.0908    31.6621    12.9352
    0.1308   126.6719    42.3883
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0172     7.8481     5.5529
    0.0835    41.4240    15.9614
    0.0787   388.3237   123.5004
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1649   221.8335    71.8884
    0.1575    17.0018     8.3906
    0.0528     6.3782     5.0972
    0.0425    16.3052     8.1746
    0.1168    61.2940    22.1211
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1960   610.5417   192.3879
    0.2053   680.0606   213.9388
    0.1979   273.9382    88.0408
    0.0843    23.5047    10.4065
    0.0722    32.4454    13.1781
    0.0703    20.2177     9.3875
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.2285   607.4582   191.4320
    0.2133   742.8203   233.3943
    0.1774   585.5989   184.6557
    0.2507   427.3606   135.6018
    0.2042   158.8314    52.3577
    0.1028    67.2101    23.9551
    0.0903   368.0801   117.2248
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1813   697.7372   219.4185
    0.2087   606.3193   191.0790
    0.2280   655.4895   206.3217
    0.2112   562.1886   177.3985
    0.2294   739.1252   232.2488
    0.1754   173.0023    56.7507
    0.1010   190.8430    62.2813
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1567   536.5499   169.4505
    0.1311   430.1806   136.4760
    0.1442   196.2383    63.9539
    0.1477   236.4186    76.4098
    0.2190   579.7969   182.8571
    0.1802   646.1568   203.4286
    0.1914   639.5516   201.3810
    0.2222   581.7630   183.4665
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1709   562.7607   177.5758
    0.1880   596.2524   187.9582
    0.1136   683.8101   215.1011
    0.0592   207.0176    67.2955
    0.1216   380.8010   121.1683
    0.1848   681.2999   214.3230
    0.1991   553.7361   174.7782
    0.1950   752.5957   236.4247
    0.0000     0.0000     3.1200
    0.1713   718.9922   226.0076
    0.1946   634.1111   199.6945
    0.2489   637.0085   200.5927
    0.2390   717.6018   225.5766
    0.1539   542.5211   171.3015
    0.1138   142.0897    47.1678
    0.0584   110.8486    37.4831
    0.0751   367.9167   117.1742
    0.1117   347.5779   110.8692
    0.0000     0.0000     3.1200
    0.2029   363.2014   115.7124
    0.2309   520.6231   164.5132
    0.2439   519.3548   164.1200
    0.2430   769.2625   241.5914
    0.2330   691.8949   217.6074
    0.1761   498.8007   157.7482
    0.1310   350.5225   111.7820
    0.1424    94.2460    32.3363
    0.1034   327.8370   104.7495
    0.0000     0.0000     3.1200
    0.0637    23.5120    10.4087
    0.0486    36.4832    14.4298
    0.1528    57.9874    21.0961
    0.2598   598.8563   188.7655
    0.2091   748.8048   235.2495
    0.2212   654.0186   205.8658
    0.1995   723.8238   227.5054
    0.2298   743.3473   233.5577
    0.1790   273.2718    87.8342
    0.0000     0.0000     3.1200
    0.0766   132.4713    44.1861
    0.0655    38.1717    14.9532
    0.0899    22.4921    10.0925
    0.1567   182.4095    59.6669
    0.1728   451.6228   143.1231
    0.2378   734.5443   230.8287
    0.1833   748.5964   235.1849
    0.2068   686.0506   215.7957
    0.2143   702.6634   220.9456
    0.0000     0.0000     3.1200
    0.1556   190.5108    62.1783
    0.1166   163.5393    53.8172
    0.1199   170.1736    55.8738
    0.1207   105.4353    35.8049
    0.1615   179.4270    58.7424
    0.1942   510.6836   161.4319
    0.1584   415.2257   131.8400
    0.2049   700.4763   220.2677
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0993   379.8464   120.8724
    0.1766   380.5640   121.0948
    0.1696   388.3951   123.5225
    0.1744   627.8660   197.7585
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
 PIOR MODELO - COMPLEX          704
 Funcao Objeto =   8.8999816E-04
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1860   695.1357   218.6121
    0.1630    76.7955    26.9266
    0.0657    16.5829     8.2607
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0433     7.9822     5.5945
    0.1446   324.1025   103.5918
    0.1814   779.4957   244.7637
    0.1684   619.6554   195.2132
    0.0861    29.7960    12.3567
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1547   156.2558    51.5593
    0.1263    14.7217     7.6837
    0.0946   302.6779    96.9501
    0.1794   505.3212   159.7696
    0.1752   727.3220   228.5898
    0.1946    60.6733    21.9287
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1969   689.7844   216.9532
    0.1811   508.1312   160.6407
    0.2138    26.7032    11.3980
    0.0809    26.0505    11.1956
    0.1647   305.1208    97.7075
    0.2010   646.4469   203.5185
    0.1514   366.7060   116.7989
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1731   659.2424   207.4852
    0.2212   619.9648   195.3091
    0.1657   684.5082   215.3175
    0.2305   285.2790    91.5565
    0.0940    19.3774     9.1270
    0.0603   108.3620    36.7122
    0.2176   638.4437   201.0376
    0.2181   592.1205   186.6774
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.2078   689.1957   216.7707
    0.2190   678.2919   213.3905
    0.2213   586.6299   184.9753
    0.1515   326.6653   104.3862
    0.1616    85.4271    29.6024
    0.0925    29.6877    12.3232
    0.1608   582.3735   183.6558
    0.1670   705.7828   221.9127
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1858   533.3278   168.4516
    0.1680   702.1532   220.7875
    0.2101   655.7412   206.3998
    0.1275   406.6782   129.1902
    0.1157   254.0905    81.8881
    0.1496    23.7568    10.4846
    0.1420   470.2875   148.9091
    0.1712   465.2322   147.3420
    0.0000     0.0000     3.1200
    0.0190     9.5582     6.0830
    0.0733    96.5401    33.0474
    0.1841   264.5025    85.1158
    0.1834   710.1981   223.2814
    0.2223   768.2356   241.2730
    0.1145   325.9902   104.1770
    0.1201    36.0310    14.2896
    0.0902    95.6823    32.7815
    0.2010   610.6748   192.4292
    0.0000     0.0000     3.1200
    0.0143     4.5812     4.5402
    0.0551    10.9759     6.5225
    0.0580    89.9374    31.0006
    0.1704   245.1698    79.1227
    0.1798   611.0838   192.5560
    0.2235   553.8948   174.8274
    0.1538   454.0720   143.8823
    0.0990    58.1022    21.1317
    0.1890   295.5818    94.7504
    0.0000     0.0000     3.1200
    0.0476     6.9467     5.2735
    0.0343     8.7543     5.8338
    0.0447     4.1731     4.4137
    0.0810    56.8381    20.7398
    0.1722   148.3412    49.1058
    0.1977   558.0414   176.1129
    0.1783   597.2238   188.2594
    0.1593   293.6409    94.1487
    0.1658   208.5187    67.7608
    0.0000     0.0000     3.1200
    0.0297     3.5420     4.2180
    0.0914    20.2662     9.4025
    0.0941    17.4316     8.5238
    0.0598    13.1103     7.1842
    0.0619    23.5317    10.4148
    0.1736   351.9868   112.2359
    0.1852   703.6388   221.2480
    0.2798   768.7612   241.4360
    0.2103   297.1105    95.2243
    0.0677     6.7029     5.1979
    0.0212     4.9348     4.6498
    0.0778     8.0469     5.6145
    0.1899    89.5787    30.8894
    0.0467    14.6627     7.6654
    0.0596    18.9858     9.0056
    0.1457    58.5369    21.2664
    0.2064   792.9774   248.9430
    0.1702   657.9382   207.0809
    0.1975   524.8889   165.8355
    0.0638    30.2496    12.4974
    0.0211     5.7105     4.8902
    0.0544     8.1672     5.6518
    0.1133   185.4134    60.5982
    0.0665   159.9364    52.7003
    0.0251    19.6461     9.2103
    0.0718    85.8690    29.7394
    0.2129   577.3991   182.1137
    0.2160   645.1282   203.1097
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0900    46.2560    17.4594
    0.0482    11.1739     6.5839
    0.0378     8.5970     5.7851
    0.1549   249.6093    80.4989
    0.0782    35.4237    14.1013
    0.0431    35.0961    13.9998
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0779    22.3516    10.0490
    0.0917    45.8891    17.3456
    0.0769    84.1276    29.1996
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1016   134.3607    44.7718
    0.0910    76.1674    26.7319
