
"FILE:","PUNQS3_MELHOR.irf"
"Well:","PRO-4"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
243,"1967-09-01",72.53,9.9099E-005,21254.94
273,"1967-10-01",72.5,0.000118976,21234.47
274,"1967-10-02",72.54,0.000119412,22107.59
304,"1967-11-01",72.73,0.000127907,22177.19
334,"1967-12-01",72.81,0.000138962,22195.82
365,"1968-01-01",72.85,0.000149364,22205.21
366,"1968-01-02",0,0,23077.19
731,"1969-01-01",0,0,23378.54
1096,"1970-01-01",0,0,23471.17
1461,"1971-01-01",0,0,23520.6
1462,"1971-01-02",74.19,0.000135443,20976.05
1642,"1971-07-01",72.64,0.000287397,20083.9
1826,"1972-01-01",71.44,0.00215197,19607.29
1827,"1972-01-02",0,0,22574.34
1840,"1972-01-15",0,0,22725.21
1841,"1972-01-16",71.65,0.00304571,19801.16
2008,"1972-07-01",70.71,0.00518742,19289.31
2192,"1973-01-01",70.03,0.00916604,18951.65
2193,"1973-01-02",0,0,22229.38
2206,"1973-01-15",0,0,22387.74
2207,"1973-01-16",70.56,0.00888079,19161.98
2373,"1973-07-01",69.74,0.0169769,18719.81
2557,"1974-01-01",69.22,0.0317767,18427.7
2558,"1974-01-02",0,0,21982.73
2571,"1974-01-15",0,0,22150.05
2572,"1974-01-16",69.78,0.0308415,18658.06
2738,"1974-07-01",69.02,0.0486076,18170.87
2922,"1975-01-01",68.49,0.102663,17816.42
2923,"1975-01-02",0,0,21761.35
2936,"1975-01-15",0,0,21940.32
2937,"1975-01-16",69.09,0.100492,18068.56
3103,"1975-07-01",68.27,0.143323,17539.52
3287,"1976-01-01",67.81,0.205652,17219.43
3288,"1976-01-02",0,0,21520.32
3301,"1976-01-15",0,0,21723.95
3302,"1976-01-16",68.37,0.217253,17513.13
3469,"1976-07-01",67.48,0.256536,17019.88
3653,"1977-01-01",67.07,0.289655,16767.44
3654,"1977-01-02",0,0,21303.81
3667,"1977-01-15",0,0,21529.45
3668,"1977-01-16",67.73,0.292309,17098.76
3834,"1977-07-01",66.9,0.313784,16631.07
4018,"1978-01-01",66.42,0.341569,16464.26
4019,"1978-01-02",0,0,21135.49
4032,"1978-01-15",0,0,21375.4
4033,"1978-01-16",67.23,0.335686,16820.14
4199,"1978-07-01",66.33,0.349442,16370.8
4383,"1979-01-01",65.97,0.359173,16187.21
4384,"1979-01-02",0,0,20968.29
4397,"1979-01-15",0,0,21217.02
4398,"1979-01-16",66.72,0.355272,16561.21
4564,"1979-07-01",65.82,0.36472,16069.7
4748,"1980-01-01",65.31,0.375471,15830.83
4749,"1980-01-02",0,0,20749.13
4762,"1980-01-15",0,0,21005.4
4763,"1980-01-16",66.05,0.372057,16222.55
4930,"1980-07-01",64.97,0.384364,15662.34
5114,"1981-01-01",64.37,0.397275,15404.67
5115,"1981-01-02",0,0,20495.93
5128,"1981-01-15",0,0,20763.23
5129,"1981-01-16",65.28,0.392328,15823.66
5295,"1981-07-01",64.19,0.405217,15249.84
5479,"1982-01-01",63.73,0.41653,14989.28
5480,"1982-01-02",0,0,20262.35
5493,"1982-01-15",0,0,20546.15
5494,"1982-01-16",64.59,0.414563,15438.72
5660,"1982-07-01",63.5,0.427329,14850.13
5844,"1983-01-01",62.98,0.440822,14593.99
5845,"1983-01-02",0,0,20063.77
5858,"1983-01-15",0,0,20358.9
5859,"1983-01-16",63.97,0.435626,15064.85
6025,"1983-07-01",62.88,0.448547,14442.72

"FILE:","PUNQS3_MELHOR.irf"
"Well:","PRO-11"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22041.38
1.01,"1967-01-02",74,2.21975E-010,21993.57
31,"1967-02-01",73.78,4.69045E-009,21795.01
59,"1967-03-01",73.51,8.83956E-009,21718.37
90,"1967-04-01",73.32,1.28107E-008,21649.54
91,"1967-04-02",73.22,1.51876E-008,20032.61
120,"1967-05-01",72.66,3.22043E-008,19750.02
151,"1967-06-01",72.21,5.05907E-008,19594.93
181,"1967-07-01",71.81,7.05746E-008,19471.82
182,"1967-07-02",71.89,6.62683E-008,21142.2
212,"1967-08-01",72.13,5.40168E-008,21234.89
243,"1967-09-01",72.12,5.48569E-008,21223.34
273,"1967-10-01",72.06,5.77506E-008,21202.83
274,"1967-10-02",72.11,5.55976E-008,22033.41
304,"1967-11-01",72.31,4.63631E-008,22107.85
334,"1967-12-01",72.38,4.32496E-008,22125.71
365,"1968-01-01",72.41,4.20869E-008,22135.72
366,"1968-01-02",0,0,22959.45
731,"1969-01-01",0,0,23302.55
1096,"1970-01-01",0,0,23406.24
1461,"1971-01-01",0,0,23461.29
1462,"1971-01-02",73.91,3.24488E-009,21077.19
1642,"1971-07-01",72.22,5.57024E-008,20203.51
1826,"1972-01-01",70.82,1.60279E-007,19780.37
1827,"1972-01-02",0,0,22383.19
1840,"1972-01-15",0,0,22561.19
1841,"1972-01-16",71.07,1.54587E-007,20002.86
2008,"1972-07-01",69.94,3.9424E-007,19522.13
2192,"1973-01-01",69.13,9.71613E-007,19247.63
2193,"1973-01-02",0,0,21965.27
2206,"1973-01-15",0,0,22152.74
2207,"1973-01-16",69.76,8.5247E-007,19489.81
2373,"1973-07-01",68.78,1.85238E-006,19059.24
2557,"1974-01-01",68.18,4.57642E-006,18836.96
2558,"1974-01-02",0,0,21665.67
2571,"1974-01-15",0,0,21871.46
2572,"1974-01-16",68.87,4.30801E-006,19104.64
2738,"1974-07-01",67.94,4.27071E-005,18611.73
2922,"1975-01-01",67.34,0.00164547,18184.67
2923,"1975-01-02",0,0,21406.54
2936,"1975-01-15",0,0,21612.87
2937,"1975-01-16",68.03,0.00157738,18462.69
3103,"1975-07-01",67.11,0.00966874,17810.16
3287,"1976-01-01",66.65,0.0408642,17287.64
3288,"1976-01-02",0,0,21158.99
3301,"1976-01-15",0,0,21378.99
3302,"1976-01-16",67.25,0.0543393,17596.18
3469,"1976-07-01",66.3,0.126483,16855.69
3653,"1977-01-01",65.81,0.20706,16086.81
3654,"1977-01-02",0,0,20906.85
3667,"1977-01-15",0,0,21145.12
3668,"1977-01-16",66.51,0.219191,16465.71
3834,"1977-07-01",65.58,0.264062,15134.08
4018,"1978-01-01",65.95,0.34657,13034.52
4019,"1978-01-02",0,0,20667.25
4032,"1978-01-15",0,0,20931.04
4033,"1978-01-16",66.63,0.343747,13582.82
4199,"1978-07-01",68.3,0.407085,10281.7
4383,"1979-01-01",89.95,0.463038,5848.94
4384,"1979-01-02",0,0,20328.58
4397,"1979-01-15",0,0,20647.71
4398,"1979-01-16",91.29,0.466637,7258.86
4564,"1979-07-01",121.62,0.49989,2435.44
4748,"1980-01-01",150.66,0.534921,-457.77
4749,"1980-01-02",0,0,19891.73
4762,"1980-01-15",0,0,20273.08
4763,"1980-01-16",131.89,0.517515,2232.08
4930,"1980-07-01",155.26,0.549635,-1602.83
5114,"1981-01-01",154.37,0.57008,101.32
5115,"1981-01-02",0,0,19701.77
5128,"1981-01-15",0,0,20065.99
5129,"1981-01-16",131.15,0.550961,272.88
5295,"1981-07-01",149.7,0.583943,101.32
5479,"1982-01-01",153.65,0.607813,101.32
5480,"1982-01-02",0,0,19517.71
5493,"1982-01-15",0,0,19875.31
5494,"1982-01-16",130.07,0.599671,101.32
5660,"1982-07-01",150.19,0.626261,101.32
5844,"1983-01-01",155.64,0.651056,101.32
5845,"1983-01-02",0,0,19342.82
5858,"1983-01-15",0,0,19701.15
5859,"1983-01-16",131.68,0.639007,101.32
6025,"1983-07-01",152.53,0.662391,101.32

"FILE:","PUNQS3_MELHOR.irf"
"Well:","PRO-12"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22617.01
1.01,"1967-01-02",74,1.28598E-010,22580.7
31,"1967-02-01",73.98,4.78591E-009,22375.77
59,"1967-03-01",73.75,8.92279E-009,22304.26
90,"1967-04-01",73.58,1.24255E-008,22245.39
91,"1967-04-02",73.5,1.42238E-008,21170.53
120,"1967-05-01",72.92,3.1646E-008,20895.08
151,"1967-06-01",72.48,4.91824E-008,20764.02
181,"1967-07-01",72.13,6.60278E-008,20665.85
182,"1967-07-02",72.19,6.27816E-008,21773.87
212,"1967-08-01",72.51,4.77708E-008,21890.96
243,"1967-09-01",72.55,4.59848E-008,21894.56
273,"1967-10-01",72.51,4.75342E-008,21882.53
274,"1967-10-02",72.55,4.60003E-008,22431.96
304,"1967-11-01",72.77,3.68343E-008,22513.05
334,"1967-12-01",72.86,3.34965E-008,22533.62
365,"1968-01-01",72.89,3.23553E-008,22543.84
366,"1968-01-02",0,0,23088.28
731,"1969-01-01",0,0,23394.48
1096,"1970-01-01",0,0,23485.58
1461,"1971-01-01",0,0,23534.99
1462,"1971-01-02",74.25,2.51612E-009,21938.7
1642,"1971-07-01",72.62,4.55844E-008,21186.94
1826,"1972-01-01",71.43,1.12639E-007,20851.75
1827,"1972-01-02",0,0,22562.42
1840,"1972-01-15",0,0,22739.07
1841,"1972-01-16",71.73,9.3483E-008,21061.77
2008,"1972-07-01",70.7,1.85079E-007,20654.81
2192,"1973-01-01",70.03,3.1975E-007,20451.47
2193,"1973-01-02",0,0,22217.69
2206,"1973-01-15",0,0,22399.57
2207,"1973-01-16",70.65,2.49185E-007,20669.37
2373,"1973-07-01",69.75,4.76001E-007,20316.32
2557,"1974-01-01",69.25,1.00987E-006,20164.03
2558,"1974-01-02",0,0,21975.86
2571,"1974-01-15",0,0,22162.58
2572,"1974-01-16",69.89,8.79863E-007,20389.27
2738,"1974-07-01",69.08,1.51189E-006,20067.64
2922,"1975-01-01",68.58,2.2223E-006,19911.49
2923,"1975-01-02",0,0,21766.62
2936,"1975-01-15",0,0,21958.64
2937,"1975-01-16",69.23,2.00847E-006,20145.49
3103,"1975-07-01",68.4,2.5781E-006,19811.33
3287,"1976-01-01",67.99,3.71563E-006,19648.95
3288,"1976-01-02",0,0,21550.32
3301,"1976-01-15",0,0,21751.29
3302,"1976-01-16",68.56,4.03065E-006,19895.17
3469,"1976-07-01",67.72,9.50329E-006,19543.5
3653,"1977-01-01",67.35,2.84409E-005,19369.73
3654,"1977-01-02",0,0,21357.21
3667,"1977-01-15",0,0,21566.16
3668,"1977-01-16",67.97,3.96554E-005,19626.21
3834,"1977-07-01",67.22,0.000102562,19232.92
4018,"1978-01-01",66.8,0.00063318,18960.05
4019,"1978-01-02",0,0,21216.83
4032,"1978-01-15",0,0,21426.96
4033,"1978-01-16",67.51,0.000651355,19216.97
4199,"1978-07-01",66.74,0.00570902,18694.46
4383,"1979-01-01",66.41,0.0198955,18240.16
4384,"1979-01-02",0,0,21072.58
4397,"1979-01-15",0,0,21284.54
4398,"1979-01-16",67.04,0.0294755,18503.29
4564,"1979-07-01",66.24,0.0611381,17803.57
4748,"1980-01-01",65.68,0.152956,17263.6
4749,"1980-01-02",0,0,20838.47
4762,"1980-01-15",0,0,21070.95
4763,"1980-01-16",66.32,0.182102,17564.05
4930,"1980-07-01",65.26,0.24162,16848.97
5114,"1981-01-01",64.6,0.321193,16487.97
5115,"1981-01-02",0,0,20552.38
5128,"1981-01-15",0,0,20816.79
5129,"1981-01-16",65.47,0.329732,16845.63
5295,"1981-07-01",64.38,0.359355,16261.27
5479,"1982-01-01",63.9,0.388236,15977.5
5480,"1982-01-02",0,0,20303.7
5493,"1982-01-15",0,0,20594.94
5494,"1982-01-16",64.77,0.403384,16375.51
5660,"1982-07-01",63.65,0.414034,15817.39
5844,"1983-01-01",63.1,0.431974,15569.37
5845,"1983-01-02",0,0,20090.52
5858,"1983-01-15",0,0,20402.92
5859,"1983-01-16",64.13,0.440706,15998.41
6025,"1983-07-01",62.97,0.445675,15414.52

"FILE:","PUNQS3_MELHOR.irf"
"Well:","PRO-15"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,21290.05
1.01,"1967-01-02",74,2.53261E-010,21257.74
31,"1967-02-01",74,6.77518E-007,21087.67
59,"1967-03-01",73.86,2.88989E-006,20986.88
90,"1967-04-01",73.64,6.78237E-006,20886.41
91,"1967-04-02",73.57,7.0623E-006,18406
120,"1967-05-01",73.15,1.68467E-005,18070.99
151,"1967-06-01",72.69,4.14449E-005,17788.31
181,"1967-07-01",72.23,8.61211E-005,17527.96
182,"1967-07-02",72.29,8.69693E-005,20230.24
212,"1967-08-01",72.35,0.000104711,20230.24
243,"1967-09-01",72.28,0.000132278,20178.98
273,"1967-10-01",72.21,0.000159333,20126.61
274,"1967-10-02",72.25,0.000159839,21518.22
304,"1967-11-01",72.36,0.000170234,21556.55
334,"1967-12-01",72.42,0.00018484,21566.99
365,"1968-01-01",72.46,0.000198768,21573.73
366,"1968-01-02",0,0,22975.33
731,"1969-01-01",0,0,23330.63
1096,"1970-01-01",0,0,23460.04
1461,"1971-01-01",0,0,23522.5
1462,"1971-01-02",74.2,0.000161315,19512.8
1642,"1971-07-01",72.67,0.000355844,18277.7
1826,"1972-01-01",71.15,0.000917055,17306.34
1827,"1972-01-02",0,0,22473.54
1840,"1972-01-15",0,0,22572.99
1841,"1972-01-16",71.1,0.00113912,17450.36
2008,"1972-07-01",70.2,0.00382281,16620.5
2192,"1973-01-01",69.4,0.00839841,15998.54
2193,"1973-01-02",0,0,22043.97
2206,"1973-01-15",0,0,22150.07
2207,"1973-01-16",69.75,0.00809034,16176.91
2373,"1973-07-01",69.04,0.0147896,15193.31
2557,"1974-01-01",68.45,0.0659353,12867.8
2558,"1974-01-02",0,0,21748.41
2571,"1974-01-15",0,0,21855.67
2572,"1974-01-16",68.79,0.0629475,13109.05
2738,"1974-07-01",68.14,0.143452,10462.19
2922,"1975-01-01",67.49,0.232725,8052.37
2923,"1975-01-02",0,0,21455.46
2936,"1975-01-15",0,0,21575.45
2937,"1975-01-16",67.88,0.225728,8382.75
3103,"1975-07-01",67.18,0.28076,6966.38
3287,"1976-01-01",66.7,0.305755,6293.51
3288,"1976-01-02",0,0,21168.26
3301,"1976-01-15",0,0,21309.26
3302,"1976-01-16",67.03,0.302883,6678.61
3469,"1976-07-01",66.36,0.3077,6120.52
3653,"1977-01-01",65.95,0.30615,5884.42
3654,"1977-01-02",0,0,20944.8
3667,"1977-01-15",0,0,21074.78
3668,"1977-01-16",66.28,0.30244,6200.02
3834,"1977-07-01",65.72,0.304582,5712
4018,"1978-01-01",65.23,0.298669,5596.05
4019,"1978-01-02",0,0,20743.26
4032,"1978-01-15",0,0,20883.45
4033,"1978-01-16",65.68,0.295025,5939.67
4199,"1978-07-01",65.08,0.289423,5623.65
4383,"1979-01-01",64.67,0.282385,5447.14
4384,"1979-01-02",0,0,20530.61
4397,"1979-01-15",0,0,20646.69
4398,"1979-01-16",64.92,0.281975,5668.93
4564,"1979-07-01",64.35,0.279894,5186.22
4748,"1980-01-01",65.01,0.320151,-4020.28
4749,"1980-01-02",0,0,20176.63
4762,"1980-01-15",0,0,20311.12
4763,"1980-01-16",66.17,0.332821,101.32
4930,"1980-07-01",71.44,0.354314,101.32
5114,"1981-01-01",85.42,0.379532,101.32
5115,"1981-01-02",0,0,20023.89
5128,"1981-01-15",0,0,20118.97
5129,"1981-01-16",77.47,0.372056,101.32
5295,"1981-07-01",104.89,0.389115,101.32
5479,"1982-01-01",126.71,0.405445,101.32
5480,"1982-01-02",0,0,19830.38
5493,"1982-01-15",0,0,19913.49
5494,"1982-01-16",110.6,0.399386,101.32
5660,"1982-07-01",128.72,0.41522,101.32
5844,"1983-01-01",136.45,0.42791,101.32
5845,"1983-01-02",0,0,19644.69
5858,"1983-01-15",0,0,19727.2
5859,"1983-01-16",115,0.418525,101.32
6025,"1983-07-01",128.43,0.430745,101.32

"FILE:","PUNQS3_MELHOR.irf"
"Well:","PRO-1"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22590.13
1.01,"1967-01-02",74,1.09406E-010,22556.71
31,"1967-02-01",73.74,3.40284E-009,22380.89
59,"1967-03-01",73.47,7.13259E-009,22305.03
90,"1967-04-01",73.27,1.07944E-008,22238.38
91,"1967-04-02",73.2,1.23627E-008,21249.93
120,"1967-05-01",72.69,2.65906E-008,21005.89
151,"1967-06-01",72.23,4.34636E-008,20864.72
181,"1967-07-01",71.83,6.20174E-008,20752.28
182,"1967-07-02",71.88,5.93188E-008,21769.45
212,"1967-08-01",72.07,5.01223E-008,21839.32
243,"1967-09-01",72.06,5.09499E-008,21828.35
273,"1967-10-01",72,5.36608E-008,21808.75
274,"1967-10-02",72.03,5.22449E-008,22315.91
304,"1967-11-01",72.2,4.47577E-008,22376.17
334,"1967-12-01",72.27,4.17756E-008,22393.09
365,"1968-01-01",72.3,4.0518E-008,22403.04
366,"1968-01-02",0,0,22906.93
731,"1969-01-01",0,0,23243.99
1096,"1970-01-01",0,0,23349.03
1461,"1971-01-01",0,0,23404.13
1462,"1971-01-02",73.81,2.60615E-009,21945.46
1642,"1971-07-01",72.23,4.6223E-008,21173.68
1826,"1972-01-01",70.84,1.24907E-007,20783.75
1827,"1972-01-02",0,0,22369.54
1840,"1972-01-15",0,0,22505.17
1841,"1972-01-16",70.97,1.14876E-007,20948.26
2008,"1972-07-01",69.96,2.01271E-007,20547.18
2192,"1973-01-01",69.18,2.96391E-007,20312.29
2193,"1973-01-02",0,0,21951.66
2206,"1973-01-15",0,0,22101.84
2207,"1973-01-16",69.68,2.39536E-007,20489.88
2373,"1973-07-01",68.85,3.56813E-007,20157.36
2557,"1974-01-01",68.26,4.88543E-007,19980.63
2558,"1974-01-02",0,0,21664.95
2571,"1974-01-15",0,0,21813.3
2572,"1974-01-16",68.73,4.17555E-007,20150.03
2738,"1974-07-01",68.02,6.04053E-007,19861.78
2922,"1975-01-01",67.43,9.65081E-007,19679.41
2923,"1975-01-02",0,0,21408.57
2936,"1975-01-15",0,0,21550.03
2937,"1975-01-16",67.92,8.69383E-007,19851.23
3103,"1975-07-01",67.2,1.33652E-006,19562.36
3287,"1976-01-01",66.76,2.03026E-006,19385.88
3288,"1976-01-02",0,0,21167.88
3301,"1976-01-15",0,0,21307.91
3302,"1976-01-16",67.15,2.13503E-006,19566.11
3469,"1976-07-01",66.44,3.58597E-006,19257.08
3653,"1977-01-01",66.04,6.31059E-006,18982.43
3654,"1977-01-02",0,0,20935.76
3667,"1977-01-15",0,0,21093.46
3668,"1977-01-16",66.47,7.08754E-006,19181.71
3834,"1977-07-01",65.9,1.0793E-005,18791.84
4018,"1978-01-01",65.89,2.28124E-005,18518.45
4019,"1978-01-02",0,0,20752.29
4032,"1978-01-15",0,0,20911.21
4033,"1978-01-16",66.32,2.23441E-005,18720.49
4199,"1978-07-01",66.02,3.5011E-005,18312.84
4383,"1979-01-01",67.03,5.55678E-005,17948.51
4384,"1979-01-02",0,0,20513.5
4397,"1979-01-15",0,0,20668.11
4398,"1979-01-16",67.16,6.12253E-005,18169
4564,"1979-07-01",69.8,8.40783E-005,17674.1
4748,"1980-01-01",74.14,0.000135294,17233.68
4749,"1980-01-02",0,0,20159.47
4762,"1980-01-15",0,0,20314.73
4763,"1980-01-16",73.39,0.000146635,17489.36
4930,"1980-07-01",76.93,0.000209944,16966.34
5114,"1981-01-01",83.27,0.000340797,16634.45
5115,"1981-01-02",0,0,19895.13
5128,"1981-01-15",0,0,20058.45
5129,"1981-01-16",78.08,0.000332226,16922.22
5295,"1981-07-01",84.99,0.00046816,16448.52
5479,"1982-01-01",91.58,0.000677799,16101.66
5480,"1982-01-02",0,0,19668.37
5493,"1982-01-15",0,0,19839.31
5494,"1982-01-16",80.05,0.000733638,16406.77
5660,"1982-07-01",87.95,0.00105848,15907.58
5844,"1983-01-01",91.46,0.00460595,15481.05
5845,"1983-01-02",0,0,19479.96
5858,"1983-01-15",0,0,19655.43
5859,"1983-01-16",80.64,0.00468165,15819.75
6025,"1983-07-01",85.58,0.0100748,15180.66
