
"FILE:","PUNQS3_PIOR.irf"
"Well:","PRO-4"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
1841,"1972-01-16",71.02,2.36301E-007,19986.4
2008,"1972-07-01",69.87,6.89253E-007,19492.38
2192,"1973-01-01",69.18,1.76936E-006,19195.38
2193,"1973-01-02",0,0,21926.97
2206,"1973-01-15",0,0,22127.86
2207,"1973-01-16",69.69,2.04816E-006,19454.79
2373,"1973-07-01",68.67,4.56425E-006,19003.65
2557,"1974-01-01",68.02,1.10096E-005,18757.15
2558,"1974-01-02",0,0,21617.24
2571,"1974-01-15",0,0,21825.71
2572,"1974-01-16",68.73,1.06057E-005,19029.06
2738,"1974-07-01",67.77,1.83732E-005,18580.93
2922,"1975-01-01",67.29,3.07883E-005,18320.79
2923,"1975-01-02",0,0,21345.96
2936,"1975-01-15",0,0,21557.49
2937,"1975-01-16",67.87,3.39282E-005,18601.3
3103,"1975-07-01",66.96,0.000177049,18020.75
3287,"1976-01-01",66.48,0.00435234,17530.72
3288,"1976-01-02",0,0,21136.99
3301,"1976-01-15",0,0,21347.62
3302,"1976-01-16",67.19,0.00422246,17825.26
3469,"1976-07-01",66.4,0.0182449,17089.89
3653,"1977-01-01",65.95,0.0879024,16464.45
3654,"1977-01-02",0,0,20942.58
3667,"1977-01-15",0,0,21167.16
3668,"1977-01-16",66.6,0.107472,16805.81
3834,"1977-07-01",65.64,0.198009,15913.08
4018,"1978-01-01",65.18,0.271093,14732.91
4019,"1978-01-02",0,0,20715.21
4032,"1978-01-15",0,0,20957.17
4033,"1978-01-16",65.93,0.284783,15179.3
4199,"1978-07-01",66.2,0.347739,12742.76
4383,"1979-01-01",72.69,0.416165,8679.79
4384,"1979-01-02",0,0,20391.83
4397,"1979-01-15",0,0,20694.19
4398,"1979-01-16",72.89,0.426446,9616.98
4564,"1979-07-01",102.92,0.461722,4653.41
4748,"1980-01-01",144.29,0.512747,1297.24
4749,"1980-01-02",0,0,20017.05
4762,"1980-01-15",0,0,20392.71
4763,"1980-01-16",124.64,0.493096,3669.93
4930,"1980-07-01",153.52,0.530125,-721.61
5114,"1981-01-01",158.67,0.555064,101.32
5115,"1981-01-02",0,0,19760.7
5128,"1981-01-15",0,0,20135.38
5129,"1981-01-16",134.69,0.535716,830.52
5295,"1981-07-01",155.43,0.568726,101.32
5479,"1982-01-01",158.61,0.591638,101.32
5480,"1982-01-02",0,0,19547.79
5493,"1982-01-15",0,0,19913.02
5494,"1982-01-16",134.12,0.588477,101.32
5660,"1982-07-01",154.11,0.613,101.32
5844,"1983-01-01",158.49,0.64002,101.32
5845,"1983-01-02",0,0,19384.36
5858,"1983-01-15",0,0,19740.85
5859,"1983-01-16",133.16,0.630885,101.32
6025,"1983-07-01",154.58,0.654378,101.32

"FILE:","PUNQS3_PIOR.irf"
"Well:","PRO-12"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22608.21
1.01,"1967-01-02",74,1.26631E-010,22572.18
31,"1967-02-01",73.96,4.72093E-009,22368.53
59,"1967-03-01",73.76,8.82188E-009,22297.45
90,"1967-04-01",73.59,1.22834E-008,22238.88
91,"1967-04-02",73.51,1.40585E-008,21155.69
120,"1967-05-01",72.93,3.1251E-008,20881.62
151,"1967-06-01",72.49,4.86527E-008,20750.39
181,"1967-07-01",72.14,6.54203E-008,20652.01
182,"1967-07-02",72.21,6.22153E-008,21768.55
212,"1967-08-01",72.52,4.73765E-008,21884.94
243,"1967-09-01",72.56,4.56366E-008,21888.26
273,"1967-10-01",72.52,4.71594E-008,21876.35
274,"1967-10-02",72.56,4.56418E-008,22430.04
304,"1967-11-01",72.78,3.65945E-008,22510.43
334,"1967-12-01",72.87,3.32803E-008,22530.98
365,"1968-01-01",72.9,3.2136E-008,22541.27
366,"1968-01-02",0,0,23089.96
731,"1969-01-01",0,0,23396.62
1096,"1970-01-01",0,0,23487.49
1461,"1971-01-01",0,0,23536.12
1462,"1971-01-02",74.11,2.47266E-009,21926.05
1642,"1971-07-01",72.63,4.5267E-008,21176.53
1826,"1972-01-01",71.43,1.10354E-007,20841.1
1827,"1972-01-02",0,0,22563.36
1840,"1972-01-15",0,0,22738.24
1841,"1972-01-16",71.73,9.06177E-008,21049.11
2008,"1972-07-01",70.71,1.72071E-007,20644.91
2192,"1973-01-01",70.14,2.38419E-007,20430.05
2193,"1973-01-02",0,0,22208.61
2206,"1973-01-15",0,0,22390.69
2207,"1973-01-16",70.62,1.94845E-007,20648.6
2373,"1973-07-01",69.74,3.1533E-007,20302.31
2557,"1974-01-01",69.22,4.9864E-007,20145.37
2558,"1974-01-02",0,0,21966.6
2571,"1974-01-15",0,0,22153.48
2572,"1974-01-16",69.85,4.04293E-007,20371.1
2738,"1974-07-01",69.03,6.90935E-007,20043.88
2922,"1975-01-01",68.64,1.16844E-006,19890.21
2923,"1975-01-02",0,0,21754.65
2936,"1975-01-15",0,0,21946.97
2937,"1975-01-16",69.19,1.1753E-006,20124.99
3103,"1975-07-01",68.36,2.3503E-006,19786.83
3287,"1976-01-01",67.89,9.39926E-006,19628.78
3288,"1976-01-02",0,0,21552.81
3301,"1976-01-15",0,0,21753.03
3302,"1976-01-16",68.57,9.28453E-006,19873.98
3469,"1976-07-01",67.8,2.41722E-005,19511.03
3653,"1977-01-01",67.42,0.000116034,19313.15
3654,"1977-01-02",0,0,21384.82
3667,"1977-01-15",0,0,21591.45
3668,"1977-01-16",68.04,0.000164641,19565.56
3834,"1977-07-01",67.29,0.000494338,19122.04
4018,"1978-01-01",67.01,0.00479738,18782.93
4019,"1978-01-02",0,0,21262.67
4032,"1978-01-15",0,0,21470.56
4033,"1978-01-16",67.65,0.00725202,19036.53
4199,"1978-07-01",66.87,0.023361,18418.19
4383,"1979-01-01",66.51,0.0676032,17883.76
4384,"1979-01-02",0,0,21106.58
4397,"1979-01-15",0,0,21323.45
4398,"1979-01-16",67.15,0.0868489,18155.97
4564,"1979-07-01",66.29,0.15724,17454.37
4748,"1980-01-01",65.62,0.263704,17011.52
4749,"1980-01-02",0,0,20869.02
4762,"1980-01-15",0,0,21117.14
4763,"1980-01-16",66.45,0.273711,17340.92
4930,"1980-07-01",65.36,0.325734,16730.15
5114,"1981-01-01",64.72,0.372009,16425.05
5115,"1981-01-02",0,0,20594.67
5128,"1981-01-15",0,0,20871.92
5129,"1981-01-16",65.65,0.380095,16798.65
5295,"1981-07-01",64.49,0.397749,16210.39
5479,"1982-01-01",64.01,0.415778,15919.25
5480,"1982-01-02",0,0,20325.37
5493,"1982-01-15",0,0,20629.89
5494,"1982-01-16",64.88,0.431296,16333.76
5660,"1982-07-01",63.68,0.440221,15741.23
5844,"1983-01-01",63.11,0.458797,15471.88
5845,"1983-01-02",0,0,20098.36
5858,"1983-01-15",0,0,20425.24
5859,"1983-01-16",64.21,0.468218,15918.79
6025,"1983-07-01",62.97,0.477003,15277.71

"FILE:","PUNQS3_PIOR.irf"
"Well:","PRO-15"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,21283.61
1.01,"1967-01-02",74,2.79305E-010,21250.17
31,"1967-02-01",74,7.0497E-007,21079.37
59,"1967-03-01",73.85,2.9803E-006,20977.37
90,"1967-04-01",73.63,6.95495E-006,20875.6
91,"1967-04-02",73.56,7.24189E-006,18386
120,"1967-05-01",73.13,1.71465E-005,18047.53
151,"1967-06-01",72.67,4.19189E-005,17762.35
181,"1967-07-01",72.21,8.66109E-005,17501.04
182,"1967-07-02",72.26,8.74485E-005,20213.42
212,"1967-08-01",72.33,0.000105216,20212.95
243,"1967-09-01",72.26,0.000132609,20161.32
273,"1967-10-01",72.19,0.000159407,20108.86
274,"1967-10-02",72.22,0.000159896,21505.43
304,"1967-11-01",72.34,0.000169957,21544.51
334,"1967-12-01",72.4,0.000184029,21555.56
365,"1968-01-01",72.43,0.000197445,21562.96
366,"1968-01-02",0,0,22968.79
731,"1969-01-01",0,0,23330.55
1096,"1970-01-01",0,0,23461.22
1461,"1971-01-01",0,0,23523.27
1462,"1971-01-02",74.15,0.000159852,19502.89
1642,"1971-07-01",72.65,0.000354418,18259.58
1826,"1972-01-01",71.12,0.000916055,17279.77
1827,"1972-01-02",0,0,22462.42
1840,"1972-01-15",0,0,22564.26
1841,"1972-01-16",71.07,0.00113973,17427.11
2008,"1972-07-01",70.16,0.00420109,16556.23
2192,"1973-01-01",69.48,0.0148933,14995.06
2193,"1973-01-02",0,0,22017.69
2206,"1973-01-15",0,0,22128.1
2207,"1973-01-16",69.67,0.0200535,15201.19
2373,"1973-07-01",68.92,0.0868841,12303.19
2557,"1974-01-01",68.23,0.207297,9104.68
2558,"1974-01-02",0,0,21687.59
2571,"1974-01-15",0,0,21807.3
2572,"1974-01-16",68.63,0.202534,9444.63
2738,"1974-07-01",67.89,0.273082,7498.07
2922,"1975-01-01",67.38,0.309081,6674.49
2923,"1975-01-02",0,0,21384.03
2936,"1975-01-15",0,0,21515.96
2937,"1975-01-16",67.68,0.306534,7054.87
3103,"1975-07-01",66.99,0.317246,6364.73
3287,"1976-01-01",66.5,0.317825,6113.77
3288,"1976-01-02",0,0,21149.32
3301,"1976-01-15",0,0,21288.68
3302,"1976-01-16",66.97,0.312087,6486.79
3469,"1976-07-01",66.39,0.313643,6019.27
3653,"1977-01-01",65.96,0.316981,5743.57
3654,"1977-01-02",0,0,20945.99
3667,"1977-01-15",0,0,21087.6
3668,"1977-01-16",66.33,0.313477,6068.18
3834,"1977-07-01",65.74,0.309395,5750.99
4018,"1978-01-01",65.42,0.302573,5665.56
4019,"1978-01-02",0,0,20775.75
4032,"1978-01-15",0,0,20901.7
4033,"1978-01-16",65.71,0.303035,5862.95
4199,"1978-07-01",65.18,0.296382,5604.74
4383,"1979-01-01",64.77,0.310412,1538.1
4384,"1979-01-02",0,0,20543.93
4397,"1979-01-15",0,0,20680.09
4398,"1979-01-16",65.09,0.321291,2038.68
4564,"1979-07-01",68.46,0.348116,101.32
4748,"1980-01-01",87.39,0.391734,101.32
4749,"1980-01-02",0,0,20397.51
4762,"1980-01-15",0,0,20490.43
4763,"1980-01-16",79.11,0.383893,101.32
4930,"1980-07-01",119.85,0.403276,101.32
5114,"1981-01-01",152.12,0.424862,101.32
5115,"1981-01-02",0,0,20143.36
5128,"1981-01-15",0,0,20221.57
5129,"1981-01-16",128.91,0.413973,101.32
5295,"1981-07-01",152.44,0.431803,101.32
5479,"1982-01-01",163.67,0.444685,101.32
5480,"1982-01-02",0,0,19902.38
5493,"1982-01-15",0,0,19980.19
5494,"1982-01-16",139.42,0.438017,101.32
5660,"1982-07-01",154.83,0.451702,101.32
5844,"1983-01-01",157.77,0.461342,101.32
5845,"1983-01-02",0,0,19707.44
5858,"1983-01-15",0,0,19787.71
5859,"1983-01-16",132.1,0.451425,101.32
6025,"1983-07-01",145.85,0.462565,101.32

"FILE:","PUNQS3_PIOR.irf"
"Well:","PRO-1"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22589.05
1.01,"1967-01-02",74,1.09785E-010,22555.57
31,"1967-02-01",73.74,3.43876E-009,22378.65
59,"1967-03-01",73.46,7.23701E-009,22301.82
90,"1967-04-01",73.26,1.09816E-008,22234.21
91,"1967-04-02",73.19,1.25662E-008,21244.38
120,"1967-05-01",72.67,2.69677E-008,20999.03
151,"1967-06-01",72.21,4.41691E-008,20855.92
181,"1967-07-01",71.8,6.32067E-008,20741.53
182,"1967-07-02",71.86,6.04882E-008,21760.43
212,"1967-08-01",72.05,5.13246E-008,21829.2
243,"1967-09-01",72.03,5.22677E-008,21817.59
273,"1967-10-01",71.97,5.50438E-008,21797.79
274,"1967-10-02",72,5.36093E-008,22305.9
304,"1967-11-01",72.17,4.60142E-008,22366.2
334,"1967-12-01",72.24,4.29381E-008,22383.47
365,"1968-01-01",72.27,4.1608E-008,22393.84
366,"1968-01-02",0,0,22898.65
731,"1969-01-01",0,0,23241.57
1096,"1970-01-01",0,0,23349.12
1461,"1971-01-01",0,0,23404.25
1462,"1971-01-02",73.81,2.59684E-009,21944.14
1642,"1971-07-01",72.22,4.68722E-008,21164.57
1826,"1972-01-01",70.81,1.27277E-007,20768.36
1827,"1972-01-02",0,0,22359.3
1840,"1972-01-15",0,0,22494.23
1841,"1972-01-16",70.94,1.17266E-007,20934.38
2008,"1972-07-01",69.92,2.0487E-007,20532.05
2192,"1973-01-01",69.26,2.77454E-007,20282.28
2193,"1973-01-02",0,0,21926.24
2206,"1973-01-15",0,0,22076.78
2207,"1973-01-16",69.6,2.4053E-007,20460.64
2373,"1973-07-01",68.76,3.50767E-007,20126.31
2557,"1974-01-01",68.13,4.79886E-007,19933.5
2558,"1974-01-02",0,0,21624.8
2571,"1974-01-15",0,0,21767.97
2572,"1974-01-16",68.6,4.10055E-007,20100.72
2738,"1974-07-01",67.86,5.80664E-007,19803.34
2922,"1975-01-01",67.39,7.93682E-007,19616.04
2923,"1975-01-02",0,0,21355.47
2936,"1975-01-15",0,0,21495.46
2937,"1975-01-16",67.75,7.73668E-007,19789.43
3103,"1975-07-01",67.05,1.17159E-006,19505.91
3287,"1976-01-01",66.55,2.05433E-006,19297.66
3288,"1976-01-02",0,0,21127.69
3301,"1976-01-15",0,0,21282.56
3302,"1976-01-16",67.07,1.90347E-006,19490.19
3469,"1976-07-01",66.47,2.87193E-006,19125.03
3653,"1977-01-01",66.23,5.56077E-006,18844.96
3654,"1977-01-02",0,0,20948.56
3667,"1977-01-15",0,0,21104.83
3668,"1977-01-16",66.73,6.20798E-006,19049.36
3834,"1977-07-01",66.47,1.0605E-005,18650.6
4018,"1978-01-01",67.03,1.81377E-005,18330.99
4019,"1978-01-02",0,0,20768.4
4032,"1978-01-15",0,0,20924.36
4033,"1978-01-16",67.04,2.0293E-005,18541.94
4199,"1978-07-01",70.49,3.24378E-005,18127.59
4383,"1979-01-01",74.78,5.26647E-005,17778.54
4384,"1979-01-02",0,0,20542.94
4397,"1979-01-15",0,0,20693.56
4398,"1979-01-16",74.32,5.81866E-005,18020.51
4564,"1979-07-01",77.55,8.11709E-005,17538.94
4748,"1980-01-01",88.8,0.000144979,17200.56
4749,"1980-01-02",0,0,20268.43
4762,"1980-01-15",0,0,20426.71
4763,"1980-01-16",79.84,0.000141562,17462.29
4930,"1980-07-01",91.99,0.000201514,16974.86
5114,"1981-01-01",100.76,0.000325847,16651.42
5115,"1981-01-02",0,0,19975.74
5128,"1981-01-15",0,0,20142.65
5129,"1981-01-16",87.33,0.000318655,16934.61
5295,"1981-07-01",98.54,0.000446416,16457.34
5479,"1982-01-01",103.28,0.000625061,16104.77
5480,"1982-01-02",0,0,19713.68
5493,"1982-01-15",0,0,19887.46
5494,"1982-01-16",88.64,0.000692295,16414.75
5660,"1982-07-01",97.35,0.000980196,15920.78
5844,"1983-01-01",98.67,0.00291965,15543.08
5845,"1983-01-02",0,0,19518.87
5858,"1983-01-15",0,0,19695.48
5859,"1983-01-16",82.16,0.0030086,15874.32
6025,"1983-07-01",91.21,0.0073139,15307.54
