"prod",4
"tempo(anos)","tempo(data)","gor truth","wct_truth","bhp_truth","gor_melhor","wct_melhor","bhp_melhor","gor_pior","wct_pior","bhp_pior"
1,"1968-01-02",0,0,22883.19922,0,0,22935.09961,0,0,22928.4707
2,"1969-01-01",0,0,22953.80078,0,0,23233.05078,0,0,23232.33008
3,"1970-01-01",0,0,23058.09961,0,0,23351.80078,0,0,23351.91992
4,"1971-01-01",0,0,23111.69922,0,0,23407.38086,0,0,23407.76953
4,"1971-01-02",65.05,2.6014E-009,21521.09961,73.84,2.6535E-009,21815.92969,73.84,2.645E-009,21825.99023
4.5,"1971-07-01",73.8369,2.9616E-008,20941.09961,72.64,3.1377E-008,21177.58008,72.63,3.1689E-008,21182.84961
5,"1972-01-01",57.9963,8.7909E-008,20545.19922,71.22,1.0013E-007,20754.42969,71.2,1.0213E-007,20741.69922
5,"1972-01-02",0,0,22267.19922,0,0,22460.17969,0,0,22453.24023
5,"1972-01-15",0,0,22330.59961,0,0,22542.75,0,0,22535.10938
5,"1972-01-16",79.3635,8.6781E-008,20635,71.12,1.0645E-007,20848.57031,71.09,1.0916E-007,20834.65039
5.5,"1972-07-01",73.0091,1.4861E-007,20213.5,70.3,1.809E-007,20411.56055,70.28,1.8635E-007,20380.83984
6,"1973-01-01",71.0987,2.4005E-007,19855.90039,69.91,2.8168E-007,20035.9707,70.04,2.7054E-007,19981.2793
6,"1973-01-02",0,0,21892.59961,0,0,22046.61914,0,0,22028.25
6,"1973-01-15",0,0,21971.90039,0,0,22146.63086,0,0,22130.75977
6,"1973-01-16",79.2396,2.1157E-007,19967.80078,70.2,2.4309E-007,20156.31055,70.31,2.5465E-007,20105.9707
6.5,"1973-07-01",69.3754,2.8844E-007,19595.80078,71.46,3.4542E-007,19761.81055,72.92,3.6186E-007,19708.76953
7,"1974-01-01",91.9564,3.8452E-007,19312.40039,76.08,4.6068E-007,19469.34961,82.6,4.8418E-007,19418.23047
7,"1974-01-02",0,0,21608.90039,0,0,21755.36914,0,0,21719.80078
7,"1974-01-15",0,0,21703.5,0,0,21868.00977,0,0,21835.43945
7,"1974-01-16",84.1603,3.4361E-007,19445.40039,75.47,4.0186E-007,19614.03906,78.59,4.2046E-007,19567.39062
7.5,"1974-07-01",91.5023,4.5535E-007,19125.69922,88.39,5.3468E-007,19279.25977,90.54,5.5074E-007,19239.35938
8,"1975-01-01",126.1139,8.4594E-007,18877.30078,105.21,8.8246E-007,19029.2207,99,6.6431E-007,19014.84961
8,"1975-01-02",0,0,21334.30078,0,0,21482.65039,0,0,21443.49023
8,"1975-01-15",0,0,21454.80078,0,0,21611.53906,0,0,21577.44922
8,"1975-01-16",108.7023,8.0205E-007,19044.19922,100.28,7.8693E-007,19208.53906,95.41,6.0042E-007,19197.98047
8.5,"1975-07-01",137.78371,1.8131E-006,18728.40039,108.56,1.6474E-006,18874.86914,98.43,8.5312E-007,18900.60938
9,"1976-01-01",156.86121,1.1213E-005,18521.19922,112.96,4.6671E-006,18653.58008,96.2,1.877E-006,18744.25
9,"1976-01-02",0,0,21097.30078,0,0,21230.32031,0,0,21226.40039
9,"1976-01-15",0,0,21234.59961,0,0,21374.36914,0,0,21371.91016
9,"1976-01-16",104.6302,1.1536E-005,18713.09961,107.31,6.3856E-006,18857.75977,90.52,1.7459E-006,18945.33984
9.5,"1976-07-01",124.3228,4.5018E-005,18379.40039,108.27,2.951E-005,18503.21094,90.35,3.2064E-006,18666.08008
10,"1977-01-01",123.5772,0.00016463,18096.90039,106.7,0.00012028,18211.49023,87.67,1.3867E-005,18494.88086
10,"1977-01-02",0,0,20941.69922,0,0,21021.96094,0,0,21051.15039
10,"1977-01-15",0,0,21098.19922,0,0,21177.08008,0,0,21204.18945
10,"1977-01-16",135.1628,0.00023963,18317.19922,99.04,0.00017677,18426.99023,81.48,1.9795E-005,18703.11914
10.5,"1977-07-01",95.2799,0.00055501,17788.30078,96.77,0.00049187,17890.96094,82,6.9578E-005,18357.34961
11,"1978-01-01",103.562,0.005474,17182.30078,87.52,0.0098924,17196.24023,80.65,0.0002798,18022.67969
11,"1978-01-02",0,0,20814.59961,0,0,20878.63086,0,0,20901.33984
11,"1978-01-15",0,0,20983.19922,0,0,21044.16992,0,0,21064.16992
11,"1978-01-16",98.7528,0.0097557,17413.90039,79.76,0.010654,17416.21094,75.23,0.00040029,18238.30078
11.5,"1978-07-01",89.2644,0.022593,16375.40039,79.06,0.033625,16273.59961,75.69,0.0015298,17571.28906
12,"1979-01-01",88.6283,0.12346,15130.2998,79.43,0.1228,14828.83008,75.96,0.014876,16716.88086
12,"1979-01-02",0,0,20671.19922,0,0,20689.74023,0,0,20754.89062
12,"1979-01-15",0,0,20859,0,0,20877.16992,0,0,20918.80078
12,"1979-01-16",87.0555,0.12095,15414.90039,77.84,0.15652,15110.48047,75.04,0.021203,16946.90039
12.5,"1979-07-01",83.9518,0.22488,13877.90039,79.13,0.26137,13480.05957,75.07,0.067091,15613.63965
13,"1980-01-01",90.9614,0.354,12572,82.48,0.39366,12045.28027,76.5,0.23671,14036.63965
13,"1980-01-02",0,0,20382.09961,0,0,20325.68945,0,0,20509.03906
13,"1980-01-15",0,0,20617.19922,0,0,20572.0293,0,0,20718.91992
13,"1980-01-16",70.8322,0.35851,13021.90039,80.21,0.42829,12487.75,74.51,0.25173,14389.4502
13.5,"1980-07-01",77.0736,0.42311,11637.59961,85.43,0.46949,11071.5,77.71,0.36333,12740.66992
14,"1981-01-01",86.8485,0.48102,10620.7002,93.43,0.50973,10023.92969,83.87,0.4566,11401.48047
14,"1981-01-02",0,0,20065.69922,0,0,20046.73047,0,0,20171.63086
14,"1981-01-15",0,0,20328.59961,0,0,20319.65039,0,0,20432.66016
14.1,"1981-01-16",85.931,0.49849,11110.2002,88.03,0.52122,10588.54004,80.03,0.46775,11903.73047
14.5,"1981-07-01",85.4566,0.5164,9980.59961,97.41,0.53487,9389.54004,85.89,0.50202,10455.34961
15,"1982-01-01",108.3092,0.52288,9373.88965,110.82,0.5502,8703.96973,91.06,0.52821,9427.87012
15,"1982-01-02",0,0,19845.90039,0,0,19796.41992,0,0,19875.78906
15,"1982-01-15",0,0,20138.5,0,0,20095.78906,0,0,20168.75977
15.1,"1982-01-16",89.2785,0.52214,10022.90039,91.87,0.58662,9441.86035,86.88,0.56159,10149.82031
15.5,"1982-07-01",99.6731,0.61625,9039.96973,104.42,0.57707,8458.03027,92.72,0.55767,9040.88965
16,"1983-01-01",116.8691,0.62984,8715.62012,111.23,0.59132,8006.7998,96.64,0.57028,8543.4502
16,"1983-01-02",0,0,19666.59961,0,0,19585.83008,0,0,19656.74023
16,"1983-01-15",0,0,19981.09961,0,0,19914.75,0,0,19974.9707
16.1,"1983-01-16",73.4414,0.57971,9459.25,91.6,0.6213,8814.23047,88.59,0.59838,9389.65039
16.5,"1983-07-01",95.8265,0.52177,8522.17969,101.55,0.61127,7778.66016,93.27,0.58916,8415.63965
"prod",5
"tempo(anos)","tempo(data)","gor_truth","wct_truth","bhp_truth","gor_melhor","wct_melhor","bhp_melhor","gor_pior","wct_pior","bhp_pior"
0,"1967-01-01",0,0,5651.37988,0,0,22073.69922,0,0,22072.57031
0,"1967-01-02",79.79,2.3639E-010,5612.24023,74,2.2981E-010,22037.88086,74,2.0753E-010,22037.51953
0.1,"1967-02-01",62.4881,5.1789E-007,5324.37988,73.95,5.3083E-007,21840.10938,73.95,4.4496E-007,21839.26953
0.2,"1967-03-01",74.8943,2.2459E-006,5111.22998,73.75,2.42E-006,21757.84961,73.74,2.0133E-006,21756.78906
0.2,"1967-04-01",76.6221,5.3255E-006,4903.87012,73.57,5.8292E-006,21688.60938,73.57,4.8236E-006,21688
0.2,"1967-04-02",74.1026,5.4858E-006,198.675,73.49,6.0317E-006,20055.41016,73.49,4.9911E-006,20056.11914
0.3,"1967-05-01",89.1291,1.0517E-005,198.675,72.97,1.3053E-005,19757.5,72.96,1.0788E-005,19759.74023
0.4,"1967-06-01",83.0918,2.2897E-005,198.675,72.54,3.097E-005,19583.33008,72.53,2.5556E-005,19586.92969
0.5,"1967-07-01",71.0246,3.4946E-005,198.675,72.19,6.2854E-005,19442.01953,72.18,5.1608E-005,19447.73047
0.5,"1967-07-02",75.8383,3.4814E-005,3909.47998,72.25,6.3555E-005,21172.90039,72.24,5.2178E-005,21173.00977
0.6,"1967-08-01",59.7019,4.4047E-005,3829.49023,72.51,7.819E-005,21262.16992,72.49,6.4083E-005,21263.57031
0.7,"1967-09-01",71.7001,5.959E-005,3690.62012,72.53,9.9099E-005,21254.93945,72.52,8.1064E-005,21257.57031
0.7,"1967-10-01",81.7944,7.6309E-005,3547.62988,72.5,0.00011898,21234.4707,72.49,9.7173E-005,21238.2207
0.8,"1967-10-02",77.6588,7.3754E-005,13150.7002,72.54,0.00011941,22107.58984,72.52,9.7525E-005,22107.10938
0.8,"1967-11-01",87.1135,8.0598E-005,13232.2002,72.73,0.00012791,22177.18945,72.72,0.00010435,22177.55078
0.9,"1967-12-01",62.0464,9.4002E-005,13235.59961,72.81,0.00013896,22195.82031,72.8,0.00011317,22197.03906
1,"1968-01-01",65.2669,9.8707E-005,13226,72.85,0.00014936,22205.21094,72.84,0.00012149,22207
1,"1968-01-02",0,0,23018.59961,0,0,23077.18945,0,0,23073.98047
2,"1969-01-01",0,0,23092.90039,0,0,23378.53906,0,0,23379.73047
3,"1970-01-01",0,0,23176.59961,0,0,23471.16992,0,0,23472.53906
4,"1971-01-01",0,0,23222.90039,0,0,23520.59961,0,0,23521.41992
4,"1971-01-02",75.8853,8.2759E-005,198.675,74.19,0.00013544,20976.05078,74.1,0.00011031,20990.63086
4.5,"1971-07-01",65.1015,0.00017993,198.675,72.64,0.0002874,20083.90039,72.63,0.00023349,20106.75
5,"1972-01-01",69.6394,0.00052388,198.675,71.44,0.002152,19607.28906,71.42,0.0013494,19634.91016
5,"1972-01-02",0,0,22438.19922,0,0,22574.33984,0,0,22565.53906
5,"1972-01-15",0,0,22548.5,0,0,22725.21094,0,0,22716.55078
5,"1972-01-16",69.2652,0.00087873,198.675,71.65,0.0030457,19801.16016,71.63,0.0021608,19828.66992
5.5,"1972-07-01",49.2798,0.0021385,198.675,70.71,0.0051874,19289.31055,70.68,0.0040446,19328.35938
6,"1973-01-01",67.8094,0.0037358,198.675,70.03,0.009166,18951.65039,70.11,0.0062827,18986.60938
6,"1973-01-02",0,0,22146.59961,0,0,22229.38086,0,0,22208.7793
6,"1973-01-15",0,0,22255.40039,0,0,22387.74023,0,0,22369.01953
6,"1973-01-16",83.7653,0.0035861,198.675,70.56,0.0088808,19161.98047,70.51,0.0067939,19199.17969
6.5,"1973-07-01",71.2089,0.00447,198.675,69.74,0.016977,18719.81055,69.69,0.011009,18760.60938
7,"1974-01-01",71.786,0.0057764,198.675,69.22,0.031777,18427.69922,69.17,0.022309,18490.92969
7,"1974-01-02",0,0,21943.09961,0,0,21982.73047,0,0,21963.2793
7,"1974-01-15",0,0,22051,0,0,22150.05078,0,0,22129.13086
7,"1974-01-16",62.9316,0.0058059,198.675,69.78,0.030841,18658.06055,69.72,0.021513,18718.55078
7.5,"1974-07-01",71.538,0.0069868,198.675,69.02,0.048608,18170.86914,68.96,0.032585,18264.75
8,"1975-01-01",70.4353,0.010988,198.675,68.49,0.10266,17816.41992,68.56,0.056735,17916.96094
8,"1975-01-02",0,0,21772.19922,0,0,21761.34961,0,0,21747.44922
8,"1975-01-15",0,0,21876.69922,0,0,21940.32031,0,0,21921.39062
8,"1975-01-16",78.1608,0.010969,198.675,69.09,0.10049,18068.56055,69.04,0.066809,18161.08984
8.5,"1975-07-01",76.5834,0.019819,198.675,68.27,0.14332,17539.51953,68.23,0.10694,17638.7793
9,"1976-01-01",73.8827,0.030953,198.675,67.81,0.20565,17219.42969,67.72,0.17238,17310.63086
9,"1976-01-02",0,0,21620.40039,0,0,21520.32031,0,0,21525.66016
9,"1976-01-15",0,0,21722.90039,0,0,21723.94922,0,0,21719.75977
9,"1976-01-16",69.4137,0.032861,198.675,68.37,0.21725,17513.13086,68.36,0.16872,17589.41016
9.5,"1976-07-01",69.2991,0.042691,198.675,67.48,0.25654,17019.88086,67.58,0.21318,17091.33984
10,"1977-01-01",67.4924,0.052784,198.675,67.07,0.28965,16767.43945,67.13,0.26556,16843.15039
10,"1977-01-02",0,0,21505.09961,0,0,21303.81055,0,0,21320.7793
10,"1977-01-15",0,0,21607.19922,0,0,21529.44922,0,0,21541.39062
10,"1977-01-16",73.6256,0.06589,198.675,67.73,0.29231,17098.75977,67.77,0.27035,17166.56055
10.5,"1977-07-01",63.2176,0.079893,198.675,66.9,0.31378,16631.07031,66.93,0.29631,16713.33984
11,"1978-01-01",81.0136,0.098672,198.675,66.42,0.34157,16464.25977,66.59,0.32029,16525.44922
11,"1978-01-02",0,0,21407.80078,0,0,21135.49023,0,0,21161.65039
11,"1978-01-15",0,0,21510.59961,0,0,21375.40039,0,0,21398.84961
11,"1978-01-16",75.6321,0.10056,198.675,67.23,0.33569,16820.14062,67.31,0.32064,16877.17969
11.5,"1978-07-01",63.3465,0.12319,198.675,66.33,0.34944,16370.7998,66.42,0.33861,16429.17969
12,"1979-01-01",80.4923,0.13901,198.675,65.97,0.35917,16187.20996,66.04,0.3509,16238.62988
12,"1979-01-02",0,0,21297.80078,0,0,20968.28906,0,0,20988.57031
12,"1979-01-15",0,0,21400.30078,0,0,21217.01953,0,0,21236.31055
12,"1979-01-16",62.6743,0.13415,198.675,66.72,0.35527,16561.21094,66.79,0.34707,16610.23047
12.5,"1979-07-01",62.3814,0.15925,198.675,65.82,0.36472,16069.7002,65.88,0.35913,16114.66992
13,"1980-01-01",59.6199,0.17949,198.675,65.31,0.37547,15830.83008,65.29,0.3731,15900.29004
13,"1980-01-02",0,0,21138.19922,0,0,20749.13086,0,0,20782.28906
13,"1980-01-15",0,0,21243.40039,0,0,21005.40039,0,0,21039.76953
13,"1980-01-16",77.5776,0.18568,198.675,66.05,0.37206,16222.5498,66.13,0.36678,16292.96973
13.5,"1980-07-01",52.9225,0.17749,198.675,64.97,0.38436,15662.33984,65.1,0.38016,15744.76953
14,"1981-01-01",54.2498,0.18714,198.675,64.37,0.39728,15404.66992,64.51,0.3932,15491.83008
14,"1981-01-02",0,0,20926.40039,0,0,20495.92969,0,0,20537.81055
14,"1981-01-15",0,0,21035.09961,0,0,20763.23047,0,0,20806.63086
14.1,"1981-01-16",59.5393,0.19811,198.675,65.28,0.39233,15823.66016,65.41,0.3874,15906.49023
14.5,"1981-07-01",72.6848,0.23716,198.675,64.19,0.40522,15249.83984,64.31,0.40165,15327.98047
15,"1982-01-01",63.2201,0.21492,198.675,63.73,0.41653,14989.28027,63.85,0.41247,15058.83984
15,"1982-01-02",0,0,20747.30078,0,0,20262.34961,0,0,20287.16016
15,"1982-01-15",0,0,20858.5,0,0,20546.15039,0,0,20572.96094
15.1,"1982-01-16",66.0935,0.22176,198.675,64.59,0.41456,15438.71973,64.67,0.41144,15510.88965
15.5,"1982-07-01",69.224,0.21655,198.675,63.5,0.42733,14850.12988,63.57,0.42432,14922.67969
16,"1983-01-01",68.9326,0.20869,198.675,62.98,0.44082,14593.99023,63.03,0.43738,14671.21973
16,"1983-01-02",0,0,20604.40039,0,0,20063.76953,0,0,20079.81055
16,"1983-01-15",0,0,20718.09961,0,0,20358.90039,0,0,20376.15039
16.1,"1983-01-16",55.5683,0.2255,198.675,63.97,0.43563,15064.84961,64.03,0.43222,15143.79004
16.5,"1983-07-01",62.8289,0.22375,198.675,62.88,0.44855,14442.71973,62.93,0.44535,14526.66992
"prod11"
"tempo(anos)","tempo(data)","gor_truth","wct_truth","bhp_truth","gor_melhor","wct_melhor","bhp_melhor","gor_pior","wct_pior","bhp_pior"
0,"1967-01-01",0,0,21745.30078,0,0,22041.38086,0,0,22044.4707
0,"1967-01-02",89.6628,2.1522E-010,21697.90039,74,2.2197E-010,21993.57031,74,2.1273E-010,21997.67969
0.1,"1967-02-01",74.6557,4.5184E-009,21506,73.78,4.6904E-009,21795.00977,73.76,4.9392E-009,21791.06055
0.2,"1967-03-01",65.343,8.3605E-009,21434.40039,73.51,8.8396E-009,21718.36914,73.49,9.307E-009,21712.66016
0.2,"1967-04-01",69.9671,1.1558E-008,21370,73.32,1.2811E-008,21649.53906,73.29,1.3434E-008,21642.93945
0.2,"1967-04-02",66.2679,1.3964E-008,19759.09961,73.22,1.5188E-008,20032.60938,73.19,1.5812E-008,20028.88086
0.3,"1967-05-01",74.4753,3.2256E-008,19494.90039,72.66,3.2204E-008,19750.01953,72.62,3.3896E-008,19735.68945
0.4,"1967-06-01",69.0789,4.9252E-008,19351.30078,72.21,5.0591E-008,19594.92969,72.15,5.3357E-008,19577.03906
0.5,"1967-07-01",76.5656,6.3401E-008,19234.30078,71.81,7.0575E-008,19471.82031,71.74,7.427E-008,19452.2793
0.5,"1967-07-02",78.4838,5.9133E-008,20895.19922,71.89,6.6268E-008,21142.19922,71.82,6.9988E-008,21121.46094
0.6,"1967-08-01",75.7117,4.6719E-008,20990.69922,72.13,5.4017E-008,21234.89062,72.08,5.6617E-008,21220.74023
0.7,"1967-09-01",69.0951,4.7427E-008,20980.90039,72.12,5.4857E-008,21223.33984,72.07,5.7274E-008,21210.50977
0.7,"1967-10-01",73.4954,4.9733E-008,20961.59961,72.06,5.7751E-008,21202.83008,72.02,6.0334E-008,21190.08008
0.8,"1967-10-02",80.3353,4.6989E-008,21787,72.11,5.5598E-008,22033.41016,72.06,5.8196E-008,22019.68945
0.8,"1967-11-01",65.9619,4.0902E-008,21859,72.31,4.6363E-008,22107.84961,72.27,4.8404E-008,22097.5
0.9,"1967-12-01",74.544,3.8355E-008,21874.90039,72.38,4.325E-008,22125.71094,72.35,4.514E-008,22116.31055
1,"1968-01-01",66.2531,3.6742E-008,21883,72.41,4.2087E-008,22135.7207,72.38,4.4E-008,22126.7207
1,"1968-01-02",0,0,22901.90039,0,0,22959.44922,0,0,22949.26953
2,"1969-01-01",0,0,23018.30078,0,0,23302.55078,0,0,23301.33008
3,"1970-01-01",0,0,23113,0,0,23406.24023,0,0,23407.03906
4,"1971-01-01",0,0,23164.19922,0,0,23461.28906,0,0,23461.78906
4,"1971-01-02",79.7687,3.1801E-009,20785.30078,73.91,3.2449E-009,21077.18945,73.91,3.435E-009,21081.21094
4.5,"1971-07-01",76.9365,5.4772E-008,19971.5,72.22,5.5702E-008,20203.50977,72.17,6.3994E-008,20185.18945
5,"1972-01-01",73.5517,1.4533E-007,19578.5,70.82,1.6028E-007,19780.36914,70.75,2.2118E-007,19755.2207
5,"1972-01-02",0,0,22160.80078,0,0,22383.18945,0,0,22359.88086
5,"1972-01-15",0,0,22334.30078,0,0,22561.18945,0,0,22544.06055
5,"1972-01-16",70.4641,1.4035E-007,19796.5,71.07,1.5459E-007,20002.85938,71.02,2.363E-007,19986.40039
5.5,"1972-07-01",64.7987,3.7834E-007,19340.80078,69.94,3.9424E-007,19522.13086,69.87,6.8925E-007,19492.38086
6,"1973-01-01",81.2132,9.1286E-007,19091.80078,69.13,9.7161E-007,19247.63086,69.18,1.7694E-006,19195.38086
6,"1973-01-02",0,0,21779.69922,0,0,21965.26953,0,0,21926.9707
6,"1973-01-15",0,0,21972.09961,0,0,22152.74023,0,0,22127.85938
6,"1973-01-16",64.4939,7.8656E-007,19338.30078,69.76,8.5247E-007,19489.81055,69.69,2.0482E-006,19454.78906
6.5,"1973-07-01",72.4132,1.5982E-006,18922.59961,68.78,1.8524E-006,19059.24023,68.67,4.5643E-006,19003.65039
7,"1974-01-01",79.883,3.3852E-006,18718.90039,68.18,4.5764E-006,18836.96094,68.02,1.101E-005,18757.15039
7,"1974-01-02",0,0,21510.59961,0,0,21665.66992,0,0,21617.24023
7,"1974-01-15",0,0,21713.19922,0,0,21871.46094,0,0,21825.71094
7,"1974-01-16",60.8349,3.2317E-006,18987.80078,68.87,4.308E-006,19104.64062,68.73,1.0606E-005,19029.06055
7.5,"1974-07-01",52.0616,5.6966E-006,18570,67.94,4.2707E-005,18611.73047,67.77,1.8373E-005,18580.92969
8,"1975-01-01",52.4896,9.5295E-005,18234.19922,67.34,0.0016455,18184.66992,67.29,3.0788E-005,18320.78906
8,"1975-01-02",0,0,21253,0,0,21406.53906,0,0,21345.96094
8,"1975-01-15",0,0,21462.09961,0,0,21612.86914,0,0,21557.49023
8,"1975-01-16",58.5259,9.2294E-005,18510.40039,68.03,0.0015774,18462.68945,67.87,3.3928E-005,18601.30078
8.5,"1975-07-01",63.1157,0.0016707,17902.19922,67.11,0.0096687,17810.16016,66.96,0.00017705,18020.75
9,"1976-01-01",60.6919,0.017331,17409,66.65,0.040864,17287.64062,66.48,0.0043523,17530.7207
9,"1976-01-02",0,0,21032.30078,0,0,21158.99023,0,0,21136.99023
9,"1976-01-15",0,0,21241.80078,0,0,21378.99023,0,0,21347.61914
9,"1976-01-16",59.929,0.015933,17706.09961,67.25,0.054339,17596.17969,67.19,0.0042225,17825.25977
9.5,"1976-07-01",62.5187,0.06049,16998.80078,66.3,0.12648,16855.68945,66.4,0.018245,17089.89062
10,"1977-01-01",67.5953,0.15896,16433.30078,65.81,0.20706,16086.80957,65.95,0.087902,16464.44922
10,"1977-01-02",0,0,20829.80078,0,0,20906.84961,0,0,20942.58008
10,"1977-01-15",0,0,21048.40039,0,0,21145.11914,0,0,21167.16016
10,"1977-01-16",62.6689,0.18668,16770.30078,66.51,0.21919,16465.71094,66.6,0.10747,16805.81055
10.5,"1977-07-01",71.4921,0.25074,15867.59961,65.58,0.26406,15134.08008,65.64,0.19801,15913.08008
11,"1978-01-01",69.6895,0.35815,14447.7002,65.95,0.34657,13034.51953,65.18,0.27109,14732.91016
11,"1978-01-02",0,0,20598,0,0,20667.25,0,0,20715.21094
11,"1978-01-15",0,0,20861.30078,0,0,20931.03906,0,0,20957.16992
11,"1978-01-16",65.7828,0.35536,14929.7998,66.63,0.34375,13582.82031,65.93,0.28478,15179.2998
11.5,"1978-07-01",54.2403,0.41576,12430,68.3,0.40709,10281.7002,66.2,0.34774,12742.75977
12,"1979-01-01",86.3718,0.40506,9260.2998,89.95,0.46304,5848.93994,72.69,0.41616,8679.79004
12,"1979-01-02",0,0,20332,0,0,20328.58008,0,0,20391.83008
12,"1979-01-15",0,0,20635,0,0,20647.71094,0,0,20694.18945
12,"1979-01-16",82.314,0.45356,10215.40039,91.29,0.46664,7258.85986,72.89,0.42645,9616.98047
12.5,"1979-07-01",104.0346,0.4515,6449.77002,121.62,0.49989,2435.43994,102.92,0.46172,4653.41016
13,"1980-01-01",129.25281,0.57761,3424.68994,150.66,0.53492,457.76999,144.28999,0.51275,1297.23999
13,"1980-01-02",0,0,19962.80078,0,0,19891.73047,0,0,20017.05078
13,"1980-01-15",0,0,20325.09961,0,0,20273.08008,0,0,20392.71094
13,"1980-01-16",130.66541,0.45703,5391.72021,131.89,0.51752,2232.08008,124.64,0.4931,3669.92993
13.5,"1980-07-01",148.1806,0.52873,1919.91992,155.25999,0.54963,1602.82996,153.52,0.53013,721.60999
14,"1981-01-01",192.4808,0.4826,55.69,154.37,0.57008,101.32,158.67,0.55506,101.32
14,"1981-01-02",0,0,19610.59961,0,0,19701.76953,0,0,19760.69922
14,"1981-01-15",0,0,20010.59961,0,0,20065.99023,0,0,20135.38086
14.1,"1981-01-16",138.8434,0.51448,2495.06006,131.14999,0.55096,272.88,134.69,0.53572,830.52002
14.5,"1981-07-01",174.5004,0.55311,198.675,149.7,0.58394,101.32,155.42999,0.56873,101.32
15,"1982-01-01",183.3468,0.5962,198.675,153.64999,0.60781,101.32,158.61,0.59164,101.32
15,"1982-01-02",0,0,19432.69922,0,0,19517.71094,0,0,19547.78906
15,"1982-01-15",0,0,19821.40039,0,0,19875.31055,0,0,19913.01953
15.1,"1982-01-16",151.67709,0.6117,676.44897,130.07001,0.59967,101.32,134.12,0.58848,101.32
15.5,"1982-07-01",166.216,0.59563,198.675,150.19,0.62626,101.32,154.11,0.613,101.32
16,"1983-01-01",173.0896,0.61744,198.675,155.64,0.65106,101.32,158.49001,0.64002,101.32
16,"1983-01-02",0,0,19288.59961,0,0,19342.82031,0,0,19384.35938
16,"1983-01-15",0,0,19669.40039,0,0,19701.15039,0,0,19740.84961
16.1,"1983-01-16",166.004,0.60272,198.675,131.67999,0.63901,101.32,133.16,0.63089,101.32
16.5,"1983-07-01",155.44279,0.63687,198.675,152.53,0.66239,101.32,154.58,0.65438,101.32
"prod12"
"tempo(anos)","tempo(data)","gor_truth","wct_truth","bhp_truth","gor_melhor","wct_melhor","bhp_melhor","gor_pior","wct_pior","bhp_pior"
0,"1967-01-01",0,0,21274.09961,0,0,22617.00977,0,0,22608.21094
0,"1967-01-02",75.2596,1.3371E-010,21237.09961,74,1.286E-010,22580.69922,74,1.2663E-010,22572.17969
0.1,"1967-02-01",79.9619,4.4394E-009,21040.19922,73.98,4.7859E-009,22375.76953,73.96,4.7209E-009,22368.5293
0.2,"1967-03-01",61.1922,8.1647E-009,20969.90039,73.75,8.9228E-009,22304.25977,73.76,8.8219E-009,22297.44922
0.2,"1967-04-01",69.9832,1.0835E-008,20911,73.58,1.2425E-008,22245.39062,73.59,1.2283E-008,22238.88086
0.2,"1967-04-02",74.2994,1.2767E-008,18780.19922,73.5,1.4224E-008,21170.5293,73.51,1.4059E-008,21155.68945
