 cont  permz_truth permz_melhor
           3   3.331640       6.887537    
           3   16.81865       13.33248    
           3   5.778233       9.111392    
           3   1.722603       4.207632    
           3  0.6268325       4.136717    
           3   1.773740       6.710190    
           3   3.420515       5.136670    
           3   3.165160       12.81614    
           3   9.127137       20.18838    
           3   7.485063       11.39892    
           3   26.50539       33.54960    
           3   20.77946       25.37884    
           3   2.170312       7.111003    
           3   2.187773       5.678668    
           3   10.73291       21.42186    
           3   8.428730       13.92651    
           3   5.868444       6.934428    
           3   6.213375       12.44498    
           3   9.840813       8.829069    
           3   7.184265       11.86754    
           3   22.72964       46.91991    
           3   25.07745       36.80921    
           3   3.754242       11.05002    
           3   3.133098       7.323216    
           3   2.428625       8.548503    
           3   6.696150       9.525981    
           3  0.8445350       4.597101    
           3   2.964020       7.246606    
           3   1.413913       4.166781    
           3  0.5749000       3.923560    
           3   6.128212       9.392286    
           3   13.89658       14.22779    
           3   11.50924       12.54272    
           3   7.352878       19.50375    
           3   13.82558       18.98062    
           3   8.035830       10.98268    
           3   1.960715       4.894507    
           3   2.583752       8.839436    
           3   7.251115       31.82123    
           3   5.118830       11.29255    
           3   10.36116       20.06729    
           3   42.43019       30.32667    
           3   478.6031       206.0497    
           3   445.1942       231.5764    
           3   309.8817       149.0595    
           3   381.2984       127.9370    
           3   371.6784       194.5799    
           3   418.1277       225.9307    
           3   467.0093       213.9441    
           3   393.8405       107.1552    
           3   24.24242       191.8138    
           3   253.3142       91.86469    
           3   111.9224       46.89795    
           3   244.0130       98.59995    
           3   426.2252       192.0312    
           3   467.6797       203.6684    
           3   53.59200       126.9099    
           3   164.0679       55.98839    
           3   128.4688       128.8460    
           3   79.68216       101.7539    
           3   149.9152       47.24526    
           3   273.2880       84.10921    
           3   438.3999       143.3404    
           3   152.6213       115.8934    
           3   75.39058       136.0471    
           3   180.6843       119.0297    
           3   113.6927       63.43825    
           3   38.58115       27.13710    
           3   136.0847       74.64579    
           3   355.3514       74.43913    
           3   28.41518       16.53266    
           3   25.47265       26.03422    
           3   32.11190       43.38290    
           3   28.75133       65.53466    
           3   74.20779       63.62861    
           3   34.85965       37.55831    
           3   45.96851       21.52460    
           3   219.5497       94.91511    
           3   64.75876       14.55542    
           3   33.84468       28.31513    
           3   43.38241       42.07361    
           3   37.46904       48.34850    
           3   56.40448       100.2186    
           3   96.11966       168.0285    
           3   117.9947       150.8239    
           3   49.53091       22.28906    
           3   337.2599       126.6856    
           3   160.1499       20.22564    
           3   35.52583       12.76168    
           3   16.29791       18.66106    
           3   45.78571       55.85971    
           3   30.37960       51.13904    
           3   145.7630       135.0733    
           3   132.0084       117.6710    
           3   234.8853       173.7316    
           3   471.0876       185.8888    
           3   340.3787       172.7369    
           3   94.98981       35.31303    
           3   15.78121       7.342618    
           3   29.33538       15.86714    
           3   45.24968       55.23562    
           3   33.47985       127.9790    
           3   58.33355       231.4575    
           3   97.33980       97.23600    
           3   480.1873       238.4263    
           3   460.0114       241.9711    
           3   378.3816       136.3205    
           3   133.1568       110.3279    
           3   17.11897       15.97470    
           3   64.97417       15.50645    
           3   101.6071       78.81374    
           3   123.9886       85.59230    
           3   91.62354       165.6542    
           3   437.3234       172.3441    
           3   422.8523       202.2420    
           3   467.7567       227.2447    
           3   450.9240       186.7912    
           3   253.5123       166.2454    
           3   42.61426       33.03872    
           3   52.44083       70.24382    
           3   53.39387       55.09610    
           3   28.23928       28.17401    
           3   403.4335       35.34039    
           3   402.5660       164.5081    
           3   483.2136       195.4496    
           3   474.5187       227.4461    
           3   486.1304       197.5736    
           3   318.2413       160.6469    
           3   60.06684       38.65417    
           3   79.04668       37.51499    
           3   404.5666       197.6788    
           3   487.4739       212.6540    
           3   493.2089       186.4762    
           3   465.2536       251.8363    
           3   3.638810       18.31501    
           3   12.95650       14.20007    
           3   36.31015       23.60217    
           3   11.92016       50.94603    
           3   29.11592       113.7083    
           3   66.14384       115.9460    
           3   29.20149       51.37158    
           3   50.22802       58.86548    
           3   2.360390       15.08029    
           3   18.90064       28.63165    
           3   60.62515       114.0496    
           3   77.96660       138.8924    
           3   93.62717       169.0408    
           3   63.97522       52.36353    
           3   1.233340       3.779311    
           3   1.528650       8.212735    
           3   14.17612       10.42934    
           3   54.52581       103.1694    
           3   95.18893       183.3145    
           3   95.51268       143.5514    
           3   93.17323       74.56583    
           3   3.503862       4.455785    
           3   1.367827       4.399838    
           3   20.81278       27.54932    
           3   54.12885       83.60511    
           3   66.25484       77.99296    
           3   84.16075       48.85336    
           3   76.33410       87.30595    
           3  0.9612500       3.589370    
           3   1.714653       4.136095    
           3   16.20377       39.64054    
           3   31.52130       47.82122    
           3   63.63425       58.11658    
           3   34.35638       11.76066    
           3   35.31736       20.29700    
           3   59.20403       16.35217    
           3   17.07503       5.721932    
           3   5.630240       10.68111    
           3   43.04075       79.04942    
           3   39.43919       39.33906    
           3   14.12728       11.12385    
           3   6.768740       10.51343    
           3   13.71590       16.38325    
           3   50.20216       20.46146    
           3   8.694560       12.79911    
           3   7.324003       8.223260    
           3   29.33398       36.99300    
           3   69.45428       81.17549    
           3   34.32021       82.48302    
           3   30.10419       10.45437    
           3   22.64783       19.97816    
           3   36.37642       22.66526    
           3   79.09830       57.98372    
           3   3.557895       9.661017    
           3   4.408065       13.14416    
           3   45.89805       47.49301    
           3   63.81001       91.36638    
           3   71.44068       75.94664    
           3   19.59420       8.917285    
           3   23.80037       17.27629    
           3   83.14728       43.34042    
           3   98.77565       158.3461    
           3   3.076205       7.861521    
           3   2.766478       8.142375    
           3   79.15318       99.95753    
           3   98.21992       152.1474    
           3   54.60997       50.89955    
           3   13.82817       16.50811    
           3   48.07252       36.60846    
           3   92.25799       123.7658    
           3   80.36032       132.0096    
           3   3.070485       4.746375    
           3   2.123335       5.676885    
           3   37.38694       31.40454    
           3   83.61951       82.72809    
           3   71.98540       51.81486    
           3   47.84203       50.96679    
           3   87.41888       139.0004    
           3   87.21889       135.8483    
           3   35.07172       75.75494    
           3   1.269910       3.776587    
           3   1.815018       5.196146    
           3   7.114347       20.31285    
           3   49.46900       34.28942    
           3   79.62993       49.15184    
           3   51.98347       71.36855    
           3   63.23529       115.9773    
           3   27.58591       50.78216    
           3   5.955750       10.17314    
           3   27.71942       10.80013    
           3   34.42052       12.93525    
           3   36.69835       42.38829    
           3   1.452180       5.552906    
           3   9.150615       15.96145    
           3   17.72573       123.5004    
           3   44.63875       71.88840    
           3   3.304030       8.390556    
           3   2.221172       5.097237    
           3   5.468368       8.174605    
           3   10.05424       22.12113    
           3   421.8208       192.3879    
           3   319.2304       213.9388    
           3   210.0084       88.04084    
           3   7.519940       10.40645    
           3   9.591043       13.17807    
           3   14.44918       9.387486    
           3   498.1579       191.4320    
           3   373.9095       233.3943    
           3   330.5000       184.6557    
           3   282.7170       135.6018    
           3   28.99731       52.35772    
           3   20.49446       23.95514    
           3   64.59236       117.2248    
           3   360.9187       219.4185    
           3   484.0448       191.0790    
           3   484.5895       206.3217    
           3   434.2741       177.3985    
           3   284.2137       232.2488    
           3   207.6386       56.75073    
           3   45.66495       62.28133    
           3   306.4461       169.4505    
           3   411.2910       136.4760    
           3   194.3613       63.95386    
           3   325.0542       76.40977    
           3   399.1004       182.8571    
           3   397.6781       203.4286    
           3   441.5648       201.3810    
           3   380.8696       183.4665    
           3   343.3649       177.5758    
           3   357.8568       187.9582    
           3   302.7148       215.1011    
           3   202.2846       67.29546    
           3   213.9746       121.1683    
           3   189.8843       214.3230    
           3   364.9944       174.7782    
           3   459.7963       236.4247    
           3   408.8108       226.0076    
           3   419.7875       199.6945    
           3   437.6096       200.5927    
           3   286.7850       225.5766    
           3   338.0129       171.3015    
           3   221.1952       47.16779    
           3   126.0425       37.48306    
           3   271.1782       117.1742    
           3   116.2898       110.8692    
           3   49.44724       115.7124    
           3   100.9349       164.5132    
           3   277.7157       164.1200    
           3   438.0144       241.5914    
           3   393.4865       217.6074    
           3   367.3229       157.7482    
           3   299.3798       111.7820    
           3   198.9827       32.33627    
           3   97.04302       104.7495    
           3   13.92053       10.40871    
           3   10.08007       14.42980    
           3   37.98491       21.09610    
           3   281.8456       188.7655    
           3   393.8878       235.2495    
           3   471.8485       205.8658    
           3   466.4189       227.5054    
           3   403.1029       233.5577    
           3   86.05737       87.83424    
           3   16.52386       44.18611    
           3   18.36093       14.95322    
           3   16.89711       10.09255    
           3   19.50325       59.66693    
           3   91.92143       143.1231    
           3   318.3496       230.8287    
           3   487.5486       235.1849    
           3   484.5800       215.7957    
           3   445.1068       220.9456    
           3   29.39436       62.17834    
           3   39.85521       53.81719    
           3   8.812448       55.87383    
           3   76.35693       35.80494    
           3   151.0821       58.74239    
           3   101.8642       161.4319    
           3   264.1221       131.8400    
           3   471.8154       220.2677    
           3   103.7361       120.8724    
           3   33.15919       121.0948    
           3   173.6434       123.5225    
           3   175.0466       197.7585    
