 cont  permh_truth permh_melhor
           2   70.69968       74.69958    
           2   111.6854       111.8047    
           2   72.91141       83.71034    
           2   30.90887       27.01667    
           2   17.67903       14.50770    
           2   18.75072       21.08212    
           2   177.1144       152.3173    
           2   184.9706       217.2103    
           2   125.9592       111.4565    
           2   86.54962       101.7628    
           2   15.13117       15.61833    
           2   5.393085       6.422699    
           2   147.7027       150.5913    
           2   165.4718       189.3337    
           2   183.4514       179.4121    
           2   156.3591       181.0899    
           2   97.64224       86.13496    
           2   18.57353       19.95088    
           2   3.023165       3.191205    
           2   53.72482       52.52799    
           2   106.8802       118.8785    
           2   101.7317       99.18221    
           2   122.9715       101.5635    
           2   44.52293       41.20734    
           2   69.42554       60.99420    
           2   16.65367       18.38684    
           2   3.990062       3.619493    
           2   14.79229       14.85537    
           2   28.88336       26.87080    
           2   11.72855       11.28311    
           2   37.72880       33.11862    
           2   36.83839       36.14090    
           2   70.08744       70.49883    
           2   24.29169       24.45552    
           2   3.283167       3.700642    
           2   12.22291       13.84192    
           2   3.891877       3.430397    
           2   7.288738       8.065651    
           2   6.480780       6.056211    
           2   9.832672       10.58977    
           2   71.63971       81.50064    
           2   30.15802       23.69482    
           2   12.93481       12.43785    
           2   35.67390       34.36273    
           2   13.33558       14.05775    
           2   6.379678       6.775357    
           2   6.441537       7.355359    
           2   15.21887       16.76004    
           2  0.9608151      0.8998389    
           2   14.67549       14.94413    
           2   24.09188       25.07903    
           2   14.19377       13.29104    
           2   15.70268       17.69471    
           2   15.31137       14.65173    
           2   23.73215       25.59889    
           2   15.47325       15.86903    
           2   15.89405       13.69201    
           2   6.487435       7.070664    
           2   10.09293       10.82363    
           2   6.815095       6.299616    
           2   8.445829       8.475232    
           2   5.352588       5.541736    
           2   14.71713       12.15335    
           2   39.25232       32.94349    
           2   21.91286       19.32707    
           2   4.304645       3.508489    
           2   3.654047       3.279734    
           2   12.71508       11.58126    
           2   5.922137       6.505388    
           2   26.14140       31.27786    
           2   51.44341       55.05930    
           2   24.25256       26.70620    
           2   83.87794       98.16000    
           2   71.39836       71.80270    
           2   10.82706       12.87420    
           2   8.922690       8.253767    
           2   59.86150       59.03826    
           2   34.86101       34.85970    
           2   14.61428       12.30461    
           2   32.58431       30.08060    
           2   22.52613       18.41635    
           2   29.67584       28.21786    
           2   125.5424       141.2900    
           2   87.20518       108.6749    
           2   25.69115       25.58073    
           2   12.38508       13.55876    
           2   15.82882       17.51130    
           2   21.88827       20.66446    
           2   5.126225       4.764842    
           2   11.60713       13.31163    
           2   4.334382       3.376714    
           2   2.661732       2.592128    
           2   20.65162       20.23318    
           2   40.43989       35.83157    
           2   32.62762       30.39587    
           2   54.62735       52.85080    
           2   58.35334       51.16329    
           2   32.12259       25.36350    
           2   6.477770       5.724216    
           2   19.35462       18.44979    
           2   92.24158       92.58460    
           2   25.14304       26.36307    
           2   57.92163       54.66867    
           2   103.3976       87.76345    
           2   964.5998       654.6118    
           2   870.4424       736.9561    
           2   419.4421       470.7726    
           2   411.9732       402.6353    
           2   865.9915       617.6126    
           2   778.1282       718.7443    
           2   874.2433       680.0778    
           2   354.2735       335.5974    
           2   532.7776       608.6898    
           2   267.2700       286.2732    
           2   156.8281       141.2192    
           2   338.1137       307.9998    
           2   607.1340       609.3911    
           2   783.1096       646.9302    
           2   483.8180       399.3224    
           2   176.6359       170.5432    
           2   346.2354       405.5676    
           2   280.8451       318.1740    
           2   121.9663       142.3396    
           2   245.8071       261.2555    
           2   397.1216       452.3238    
           2   395.7324       363.7853    
           2   430.1853       428.7970    
           2   311.3273       373.9022    
           2   226.8270       194.5750    
           2   77.04396       77.47453    
           2   232.1746       230.7284    
           2   207.0530       230.0617    
           2   35.81355       43.26664    
           2   64.84903       73.91685    
           2   112.9363       129.8803    
           2   206.0694       201.3376    
           2   232.8446       195.1891    
           2   111.1127       111.0913    
           2   57.92174       59.36968    
           2   255.9124       296.1133    
           2   42.82489       36.88844    
           2   78.24693       81.27463    
           2   111.4989       125.6568    
           2   153.7636       145.8984    
           2   371.8910       313.2214    
           2   564.0159       531.9628    
           2   394.7776       476.4641    
           2   71.74049       61.83567    
           2   440.6016       398.5988    
           2   58.15135       55.17948    
           2   27.15911       31.10219    
           2   49.88157       50.13246    
           2   153.7385       170.1281    
           2   170.0073       154.9001    
           2   394.7845       425.6560    
           2   352.7232       369.5194    
           2   642.6641       550.3600    
           2   903.9834       589.5767    
           2   483.5290       547.1514    
           2   126.7018       103.8485    
           2   14.27578       13.62135    
           2   42.55259       41.11979    
           2   154.9568       168.1149    
           2   325.7388       402.7710    
           2   635.1661       736.5726    
           2   326.5254       303.6000    
           2   987.3995       759.0524    
           2   957.7819       770.4874    
           2   396.7338       429.6790    
           2   343.9475       345.8321    
           2   40.70462       41.46677    
           2   43.83252       39.95629    
           2   282.4569       244.1734    
           2   267.1474       266.0397    
           2   591.7065       524.3038    
           2   594.3605       545.8842    
           2   958.7322       642.3292    
           2   947.8721       722.9830    
           2   539.2137       592.4876    
           2   528.1791       526.2111    
           2   92.21742       96.51201    
           2   189.2483       216.5285    
           2   172.9593       167.6648    
           2   85.76842       80.81937    
           2   127.2457       103.9367    
           2   484.3063       520.6066    
           2   994.5502       620.4180    
           2   961.4171       723.6327    
           2   921.0628       627.2696    
           2   444.0218       508.1512    
           2   113.1561       114.6264    
           2   117.1900       110.9516    
           2   961.7850       627.6091    
           2   988.6746       675.9162    
           2   994.3264       591.4716    
           2   983.2583       802.3105    
           2   43.56300       49.01616    
           2   32.72092       35.74216    
           2   69.01460       66.07153    
           2   154.3484       154.2775    
           2   334.0331       356.7363    
           2   368.4465       363.9549    
           2   178.5712       155.6503    
           2   209.0703       179.8241    
           2   36.13516       38.58157    
           2   73.45273       82.29565    
           2   411.7278       357.8375    
           2   425.5812       437.9755    
           2   496.1798       535.2283    
           2   144.5920       158.8501    
           2   2.202160       2.126809    
           2   14.31193       16.42818    
           2   28.10519       23.57852    
           2   379.5478       322.7401    
           2   484.0167       581.2725    
           2   412.5970       453.0044    
           2   225.6858       230.4704    
           2   4.074782       4.308985    
           2   4.291323       4.128510    
           2   79.49780       78.80425    
           2   249.4529       259.6294    
           2   239.6818       241.5257    
           2   147.8877       147.5270    
           2   240.2753       271.5676    
           2   1.580080       1.514096    
           2   2.801105       3.277725    
           2   101.2144       117.8082    
           2   174.8661       144.1975    
           2   168.2150       177.4083    
           2   32.27584       27.87309    
           2   53.77948       55.40967    
           2   42.42518       42.68443    
           2   8.074525       8.393330    
           2   24.91512       24.39069    
           2   266.4690       244.9336    
           2   114.0927       116.8357    
           2   33.33462       25.81888    
           2   25.56003       23.84977    
           2   47.66543       42.78466    
           2   47.28861       55.94019    
           2   26.81687       31.22293    
           2   15.33820       16.46213    
           2   100.9857       109.2677    
           2   252.5683       251.7919    
           2   217.9620       256.0097    
           2   29.03596       23.65927    
           2   66.07147       54.38115    
           2   54.04197       63.04924    
           2   149.7420       176.9797    
           2   21.22193       21.10006    
           2   27.81902       32.33600    
           2   155.4874       143.1387    
           2   300.1288       284.6657    
           2   258.8531       234.9247    
           2   20.25531       18.70092    
           2   38.83442       45.66547    
           2   115.8022       129.7433    
           2   486.0112       500.7292    
           2   12.92481       15.29523    
           2   13.57758       16.20121    
           2   315.0029       312.3791    
           2   484.2980       480.7336    
           2   130.4495       154.1276    
           2   39.02909       43.18745    
           2   98.88642       108.0273    
           2   387.4178       389.1798    
           2   388.4870       415.7730    
           2   6.097730       5.246370    
           2   9.689915       8.248017    
           2   86.33790       91.24046    
           2   237.8383       256.8003    
           2   156.8700       157.0802    
           2   156.0607       154.3445    
           2   380.5471       438.3238    
           2   469.2914       428.1557    
           2   293.5933       234.3062    
           2   2.561440       2.118024    
           2   7.220675       6.697246    
           2   51.74214       55.46081    
           2   95.40128       100.5465    
           2   140.5607       148.4898    
           2   273.4438       220.1566    
           2   302.6371       364.0557    
           2   149.9134       153.7489    
           2   20.07045       22.75206    
           2   27.92323       24.77460    
           2   32.52225       31.66210    
           2   106.0557       126.6719    
           2   7.044850       7.848082    
           2   42.01269       41.42403    
           2   367.2823       388.3237    
           2   191.5107       221.8335    
           2   18.72951       17.00179    
           2   5.580488       6.378184    
           2   13.98436       16.30518    
           2   72.05758       61.29395    
           2   882.9132       610.5417    
           2   712.8123       680.0606    
           2   315.1846       273.9382    
           2   23.80852       23.50468    
           2   36.15927       32.44539    
           2   17.38665       20.21770    
           2   996.0267       607.4582    
           2   904.1825       742.8203    
           2   743.2745       585.5989    
           2   503.9827       427.3606    
           2   148.7964       158.8314    
           2   71.33223       67.21014    
           2   316.8410       368.0801    
           2   676.1102       697.7372    
           2   912.8670       606.3193    
           2   976.1646       655.4895    
           2   941.4612       562.1886    
           2   736.7664       739.1252    
           2   222.6419       173.0023    
           2   184.9529       190.8430    
           2   573.9122       536.5499    
           2   362.1231       430.1806    
           2   219.4439       196.2383    
           2   202.5939       236.4186    
           2   715.2871       579.7969    
           2   873.9190       646.1568    
           2   973.5781       639.5516    
           2   708.7536       581.7630    
           2   883.4165       562.7607    
           2   927.8918       596.2524    
           2   642.9614       683.8101    
           2   202.8009       207.0176    
           2   330.8379       380.8010    
           2   773.3139       681.2999    
           2   655.8292       553.7361    
           2   896.7048       752.5957    
           2   962.1442       718.9922    
           2   837.0474       634.1111    
           2   821.6803       637.0085    
           2   718.7553       717.6018    
           2   477.0858       542.5211    
           2   146.2223       142.0897    
           2   104.1780       110.8486    
           2   394.7063       367.9167    
           2   373.8448       347.5779    
           2   340.2053       363.2014    
           2   541.9799       520.6231    
           2   596.3043       519.3548    
           2   952.7255       769.2625    
           2   610.7126       691.8949    
           2   532.9125       498.8007    
           2   309.2980       350.5225    
           2   104.5500       94.24604    
           2   410.9500       327.8370    
           2   20.57935       23.51196    
           2   40.87998       36.48322    
           2   49.52322       57.98742    
           2   595.1486       598.8563    
           2   792.6371       748.8048    
           2   894.0155       654.0186    
           2   843.0540       723.8238    
           2   805.8978       743.3473    
           2   264.5553       273.2718    
           2   119.5481       132.4713    
           2   34.18485       38.17169    
           2   21.93728       22.49209    
           2   204.2614       182.4095    
           2   390.2490       451.6228    
           2   886.4398       734.5443    
           2   984.0300       748.5964    
           2   987.3640       686.0506    
           2   964.7271       702.6634    
           2   174.4102       190.5108    
           2   139.9921       163.5393    
           2   201.0010       170.1736    
           2   127.5965       105.4353    
           2   166.8430       179.4270    
           2   462.6003       510.6836    
           2   400.9320       415.2257    
           2   966.0195       700.4763    
           2   321.5222       379.8464    
           2   379.3574       380.5640    
           2   420.1488       388.3951    
           2   671.0710       627.8660    
