 contador  inf  truth  sup
         105  2.6461001E-02  6.6152506E-02  0.1058440    
         106  1.6385999E-02  4.0964998E-02  6.5544002E-02
         107  3.3306666E-02  8.3266668E-02  0.1332267    
         108  3.2680999E-02  8.1702501E-02  0.1307240    
         109  3.3602666E-02  8.4006667E-02  0.1344107    
         110  4.8678678E-02  0.1216967      0.1947147    
         111  4.2796995E-02  0.1069925      0.1711880    
         112  3.3016998E-02  8.2542501E-02  0.1320680    
         113  2.1453999E-02  5.3635001E-02  8.5816003E-02
         114  1.2858000E-02  3.2145001E-02  5.1432002E-02
         115  4.2818677E-02  0.1070467      0.1712747    
         116  5.7880994E-02  0.1447025      0.2315240    
         117  5.7567999E-02  0.1439200      0.2302720    
         118  5.1965997E-02  0.1299150      0.2078640    
         119  2.7649997E-02  6.9124997E-02  0.1106000    
         120  1.1791999E-02  2.9479999E-02  4.7167998E-02
         121  4.9253318E-02  0.1231333      0.1970133    
         122  5.2346997E-02  0.1308675      0.2093880    
         123  5.5683997E-02  0.1392100      0.2227360    
         124  5.5971000E-02  0.1399275      0.2238840    
         125  5.2322999E-02  0.1308075      0.2092920    
         126  2.5866998E-02  6.4667501E-02  0.1034680    
         127  1.3286999E-02  3.3217501E-02  5.3148001E-02
         128  3.8039997E-02  9.5100001E-02  0.1521600    
         129  4.1572999E-02  0.1039325      0.1662920    
         130  4.2296000E-02  0.1057400      0.1691840    
         131  3.1098999E-02  7.7747501E-02  0.1243960    
         132  2.6067000E-02  6.5167502E-02  0.1042680    
         133  3.8891997E-02  9.7229995E-02  0.1555680    
         134  2.8877998E-02  7.2195001E-02  0.1155120    
         135  1.3597999E-02  3.3994999E-02  5.4391999E-02
         136  3.0269997E-02  7.5674996E-02  0.1210800    
         137  1.4407999E-02  3.6020000E-02  5.7631999E-02
         138  1.5565000E-02  3.8912501E-02  6.2260002E-02
         139  2.5491999E-02  6.3730001E-02  0.1019680    
         140  3.2998994E-02  8.2497492E-02  0.1319960    
         141  3.9991997E-02  9.9979997E-02  0.1599680    
         142  4.0261995E-02  0.1006550      0.1610480    
         143  1.4272001E-02  3.5680003E-02  5.7088006E-02
         144  1.8658997E-02  4.6647497E-02  7.4635997E-02
         145  1.0147999E-02  2.5369998E-02  4.0591996E-02
         146  1.2595998E-02  3.1489998E-02  5.0383996E-02
         147  1.1142999E-02  2.7857499E-02  4.4571999E-02
         148  1.9466998E-02  4.8667498E-02  7.7868000E-02
         149  9.7999997E-02  8.9907497E-02  0.1020000    
         150  9.7999997E-02  7.0677504E-02  0.1020000    
         151  2.4007998E-02  6.0020000E-02  9.6032001E-02
         152  2.4133330E-02  6.0333330E-02  9.6533328E-02
         153  2.9301995E-02  7.3254995E-02  0.1172080    
         154  9.9999998E-03  2.0700000E-02  3.3120003E-02
         155  1.1503000E-02  2.8757501E-02  4.6012003E-02
         156  1.3839999E-02  3.4600001E-02  5.5360001E-02
         157  9.9999998E-03  1.8345000E-02  2.9352000E-02
         158  1.5387999E-02  3.8470000E-02  6.1551999E-02
         159  2.6417000E-02  6.6042505E-02  0.1056680    
         160  3.3700999E-02  8.4252499E-02  0.1348040    
         161  2.1483000E-02  5.3707503E-02  8.5932009E-02
         162  1.6174000E-02  4.0435001E-02  6.4696006E-02
         163  2.6322000E-02  6.5805003E-02  0.1052880    
         164  4.8999999E-02  5.3967502E-02  5.0999999E-02
         165  2.5053997E-02  6.2634997E-02  0.1002160    
         166  1.3986000E-02  3.4965001E-02  5.5944003E-02
         167  1.8569998E-02  4.6425000E-02  7.4280001E-02
         168  1.3299000E-02  3.3247501E-02  5.3196002E-02
         169  1.9239997E-02  4.8099998E-02  7.6959997E-02
         170  1.1430999E-02  2.8577499E-02  4.5724001E-02
         171  1.5125998E-02  3.7814997E-02  6.0503997E-02
         172  2.7629999E-02  6.9075003E-02  0.1105200    
         173  2.2286998E-02  5.5717498E-02  8.9148000E-02
         174  1.1242999E-02  2.8107500E-02  4.4971999E-02
         175  1.4955999E-02  3.7390001E-02  5.9824001E-02
         176  3.4225997E-02  8.5565001E-02  0.1369040    
         177  2.9015997E-02  7.2540000E-02  0.1160640    
         178  3.4061998E-02  8.5155003E-02  0.1362480    
         179  2.8960997E-02  7.2402500E-02  0.1158440    
         180  1.9600999E-02  4.9002498E-02  7.8404002E-02
         181  3.7929997E-02  9.4825000E-02  0.1517200    
         182  8.8200003E-02  9.7722501E-02  9.1799997E-02
         183  1.3573999E-02  3.3934999E-02  5.4295998E-02
         184  1.9308999E-02  4.8272502E-02  7.7236004E-02
         185  4.1811999E-02  0.1045300      0.1672480    
         186  8.8200003E-02  9.2610002E-02  9.1799997E-02
         187  3.8711999E-02  9.6780002E-02  0.1548480    
         188  2.8034000E-02  7.0085004E-02  0.1121360    
         189  2.9475996E-02  7.3689997E-02  0.1179040    
         190  3.6531996E-02  9.1329999E-02  0.1461280    
         191  4.9695998E-02  0.1242400      0.1987840    
         192  3.7451997E-02  9.3630001E-02  0.1498080    
         193  6.8599999E-02  7.4090004E-02  7.1400002E-02
         194  2.1444999E-02  5.3612500E-02  8.5780002E-02
         195  2.7274000E-02  6.8185002E-02  0.1090960    
         196  3.2168996E-02  8.0422498E-02  0.1286760    
         197  2.1016000E-02  5.2540001E-02  8.4063999E-02
         198  3.8175996E-02  9.5440000E-02  0.1527040    
         199  1.7638000E-02  4.4095002E-02  7.0552006E-02
         200  1.5843999E-02  3.9609998E-02  6.3376002E-02
         201  3.2267999E-02  8.0669999E-02  0.1290720    
         202  3.4738000E-02  8.6845003E-02  0.1389520    
         203  2.3692999E-02  5.9232503E-02  9.4772004E-02
         204  4.3176997E-02  0.1079425      0.1727080    
         205  3.8698997E-02  9.6747503E-02  0.1547960    
         206  3.5912000E-02  8.9780003E-02  0.1436480    
         207  1.5385999E-02  3.8465001E-02  6.1544001E-02
         208  3.1963997E-02  7.9909995E-02  0.1278560    
         209  5.3521000E-02  0.1338025      0.2140840    
         210  3.8803998E-02  9.7010002E-02  0.1552160    
         211  3.3613998E-02  8.4035002E-02  0.1344560    
         212  5.2416001E-02  0.1310400      0.2096640    
         213  0.1162660      0.2906650      0.3000000    
         214  0.1176980      0.2942450      0.3000000    
         215  0.1168520      0.2921300      0.3000000    
         216  4.7315996E-02  0.1182900      0.1892640    
         217  8.6217992E-02  0.2155450      0.3000000    
         218  0.1086980      0.2717450      0.3000000    
         219  0.1162420      0.2906050      0.3000000    
         220  0.1180340      0.2950850      0.3000000    
         221  7.2611995E-02  0.1815300      0.2904480    
         222  6.1543997E-02  0.1538600      0.2461760    
         223  4.7677997E-02  0.1191950      0.1907120    
         224  5.9840996E-02  0.1496025      0.2393640    
         225  0.1062210      0.2655525      0.3000000    
         226  0.1151720      0.2879300      0.3000000    
         227  0.1016240      0.2540600      0.3000000    
         228  9.5403992E-02  0.2385100      0.3000000    
         229  6.7955993E-02  0.1698900      0.2718240    
         230  3.9428994E-02  9.8572493E-02  0.1577160    
         231  3.6778998E-02  9.1947496E-02  0.1471160    
         232  6.8660997E-02  0.1716525      0.2746440    
         233  0.1075480      0.2688700      0.3000000    
         234  5.7127997E-02  0.1428200      0.2285120    
         235  8.7678991E-02  0.2191975      0.3000000    
         236  9.0239994E-02  0.2256000      0.3000000    
         237  7.1186997E-02  0.1779675      0.2847480    
         238  3.7379995E-02  9.3449995E-02  0.1495200    
         239  5.3328000E-02  0.1333200      0.2133120    
         240  8.4538996E-02  0.2113475      0.3000000    
         241  4.8619997E-02  0.1215500      0.1944800    
         242  3.5354998E-02  8.8387504E-02  0.1414200    
         243  5.0536998E-02  0.1263425      0.2021480    
         244  7.1981996E-02  0.1799550      0.2879280    
         245  8.1542991E-02  0.2038575      0.3000000    
         246  9.1140002E-02  0.2317125      9.4860002E-02
         247  0.1274000      0.1360075      0.1326000    
         248  8.0328993E-02  0.2008225      0.3000000    
         249  2.5701998E-02  6.4254999E-02  0.1028080    
         250  3.6231998E-02  9.0580001E-02  0.1449280    
         251  5.6626994E-02  0.1415675      0.2265080    
         252  7.6212995E-02  0.1905325      0.3000000    
         253  9.2274994E-02  0.2306875      0.3000000    
         254  8.2086995E-02  0.2052175      0.3000000    
         255  9.9196993E-02  0.2479925      0.3000000    
         256  6.7029998E-02  0.1675750      0.2681200    
         257  5.6745995E-02  0.1418650      0.2269840    
         258  3.7815001E-02  9.4537504E-02  0.1512600    
         259  1.5964000E-02  3.9910004E-02  6.3856006E-02
         260  7.8400001E-02  7.7050000E-02  8.1600003E-02
         261  4.5092996E-02  0.1127325      0.1803720    
         262  6.0089994E-02  0.1502250      0.2403600    
         263  9.8718993E-02  0.2467975      0.3000000    
         264  0.1050470      0.2626175      0.3000000    
         265  9.0543993E-02  0.2263600      0.3000000    
         266  0.1009400      0.2523500      0.3000000    
         267  5.9903000E-02  0.1497575      0.2396120    
         268  3.7793998E-02  9.4485000E-02  0.1511760    
         269  1.2303999E-02  3.0760000E-02  4.9215999E-02
         270  1.3245999E-02  3.3115000E-02  5.2983999E-02
         271  5.1564995E-02  0.1289125      0.2062600    
         272  7.9039998E-02  0.1976000      0.3000000    
         273  8.1835993E-02  0.2045900      0.3000000    
         274  9.3846992E-02  0.2346175      0.3000000    
         275  0.1075940      0.2689850      0.3000000    
         276  0.1007710      0.2519275      0.3000000    
         277  5.7527997E-02  0.1438200      0.2301120    
         278  0.1176000      0.1214950      0.1224000    
         279  2.6726998E-02  6.6817500E-02  0.1069080    
         280  1.7694000E-02  4.4235002E-02  7.0776008E-02
         281  5.0717995E-02  0.1267950      0.2028720    
         282  0.1666000      0.1741875      0.1734000    
         283  8.6893998E-02  0.2172350      0.3000000    
         284  7.8923993E-02  0.1973100      0.3000000    
         285  0.1116340      0.2790850      0.3000000    
         286  0.1027950      0.2569875      0.3000000    
         287  8.4763996E-02  0.2119100      0.3000000    
         288  0.1862000      0.1906300      0.1938000    
         289  3.8961999E-02  9.7405002E-02  0.1558480    
         290  4.1819997E-02  0.1045500      0.1672800    
         291  4.5724995E-02  0.1143125      0.1829000    
         292  3.5419997E-02  8.8550001E-02  0.1416800    
         293  4.0691998E-02  0.1017300      0.1627680    
         294  7.9137996E-02  0.1978450      0.3000000    
         295  0.1161550      0.2903875      0.3000000    
         296  0.1158140      0.2895350      0.3000000    
         297  0.1107010      0.2767525      0.3000000    
         298  8.8424996E-02  0.2210625      0.3000000    
         299  4.4820998E-02  0.1120525      0.1792840    
         300  6.3019998E-02  0.1575500      0.2520800    
         301  0.1064040      0.2660100      0.3000000    
         302  0.1172740      0.2931850      0.3000000    
         303  0.1191260      0.2978150      0.3000000    
         304  0.1148740      0.2871850      0.3000000    
         305  4.8837997E-02  0.1220950      0.1953520    
         306  4.9447998E-02  0.1236200      0.1977920    
         307  3.3279996E-02  8.3200000E-02  0.1331200    
         308  5.6927998E-02  0.1423200      0.2277120    
         309  6.6224992E-02  0.1655625      0.2649000    
         310  6.4113997E-02  0.1602850      0.2564560    
         311  5.4879997E-02  0.1372000      0.2195200    
         312  5.1769998E-02  0.1294250      0.2070800    
         313  3.4784000E-02  8.6960003E-02  0.1391360    
         314  5.1531997E-02  0.1288300      0.2061280    
         315  7.6815993E-02  0.1920400      0.3000000    
         316  7.7626996E-02  0.1940675      0.3000000    
         317  7.8740999E-02  0.1968525      0.3000000    
         318  5.6367997E-02  0.1409200      0.2254720    
         319  9.9999998E-03  1.6000001E-02  2.5600001E-02
         320  2.3740998E-02  5.9352499E-02  9.4963998E-02
         321  3.9744996E-02  9.9362493E-02  0.1589800    
         322  6.9070995E-02  0.1726775      0.2762840    
         323  8.2908995E-02  0.2072725      0.3000000    
         324  7.8190997E-02  0.1954775      0.3000000    
         325  6.9945000E-02  0.1748625      0.2797800    
         326  1.3609000E-02  3.4022503E-02  5.4436006E-02
         327  2.2563998E-02  5.6410000E-02  9.0255998E-02
         328  3.9701995E-02  9.9254996E-02  0.1588080    
         329  7.5208001E-02  0.1880200      0.3000000    
         330  7.2048992E-02  0.1801225      0.2881960    
         331  5.1674996E-02  0.1291875      0.2067000    
         332  5.5971000E-02  0.1399275      0.2238840    
         333  2.5893999E-02  6.4735003E-02  0.1035760    
         334  1.7803999E-02  4.4509999E-02  7.1216002E-02
         335  4.5500997E-02  0.1137525      0.1820040    
         336  6.3461997E-02  0.1586550      0.2538480    
         337  6.2691994E-02  0.1567300      0.2507680    
         338  0.1960000      6.2720001E-02  0.2040000    
         339  0.1274000      7.4287504E-02  0.1326000    
         340  4.6020996E-02  0.1150525      0.1840840    
         341  3.7161000E-02  9.2902504E-02  0.1486440    
         342  2.5483998E-02  6.3709997E-02  0.1019360    
         343  5.8662996E-02  0.1466575      0.2346520    
         344  6.0791995E-02  0.1519800      0.2431680    
         345  4.3957997E-02  0.1098950      0.1758320    
         346  1.1324000E-02  2.8310001E-02  4.5296002E-02
         347  4.6233997E-02  0.1155850      0.1849360    
         348  4.2287998E-02  0.1057200      0.1691520    
         349  2.2077998E-02  5.5195000E-02  8.8312000E-02
         350  2.6403997E-02  6.6009998E-02  0.1056160    
         351  5.8079995E-02  0.1452000      0.2323200    
         352  0.1372000      0.1432325      0.1428000    
         353  5.7009999E-02  0.1425250      0.2280400    
         354  3.8511995E-02  9.6279994E-02  0.1540480    
         355  3.7433997E-02  9.3584999E-02  0.1497360    
         356  3.1236999E-02  7.8092501E-02  0.1249480    
         357  5.0871000E-02  0.1271775      0.2034840    
         358  2.4211999E-02  6.0529999E-02  9.6848004E-02
         359  3.2568000E-02  8.1420004E-02  0.1302720    
         360  6.8525992E-02  0.1713150      0.2741040    
         361  6.2853992E-02  0.1571350      0.2514160    
         362  5.8247998E-02  0.1456200      0.2329920    
         363  4.0302999E-02  0.1007575      0.1612120    
         364  4.9531996E-02  0.1238300      0.1981280    
         365  4.0032998E-02  0.1000825      0.1601320    
         366  7.6086991E-02  0.1902175      0.3000000    
         367  9.9999998E-03  2.1384999E-02  3.4215998E-02
         368  3.6201999E-02  9.0505004E-02  0.1448080    
         369  7.2784998E-02  0.1819625      0.2911400    
         370  0.1568000      0.1658650      0.1632000    
         371  4.6898998E-02  0.1172475      0.1875960    
         372  4.3978997E-02  0.1099475      0.1759160    
         373  4.9552999E-02  0.1238825      0.1982120    
         374  0.1568000      0.1617325      0.1632000    
         375  6.9478996E-02  0.1736975      0.2779160    
         376  1.6657999E-02  4.1644998E-02  6.6631995E-02
         377  2.9025996E-02  7.2564997E-02  0.1161040    
         378  4.8418995E-02  0.1210475      0.1936760    
         379  5.4248996E-02  0.1356225      0.2169960    
         380  0.1078000      0.1085600      0.1122000    
         381  4.9761996E-02  0.1244050      0.1990480    
         382  6.4714000E-02  0.1617850      0.2588560    
         383  6.7580000E-02  0.1689500      0.2703200    
         384  6.1505992E-02  0.1537650      0.2460240    
         385  9.9999998E-03  1.9959999E-02  3.1936001E-02
         386  1.3859998E-02  3.4649998E-02  5.5439997E-02
         387  4.6390999E-02  0.1159775      0.1855640    
         388  5.1877998E-02  0.1296950      0.2075120    
         389  4.6799995E-02  0.1170000      0.1872000    
         390  5.6419995E-02  0.1410500      0.2256800    
         391  5.7895996E-02  0.1447400      0.2315840    
         392  4.6525996E-02  0.1163150      0.1861040    
         393  6.0537998E-02  0.1513450      0.2421520    
         394  3.0991999E-02  7.7480003E-02  0.1239680    
         395  3.4127995E-02  8.5319996E-02  0.1365120    
         396  4.7287997E-02  0.1182200      0.1891520    
         397  9.9999998E-03  1.3414999E-02  2.1463998E-02
         398  3.3895995E-02  8.4739998E-02  0.1355840    
         399  3.3063997E-02  8.2659997E-02  0.1322560    
         400  7.6771997E-02  0.1919300      0.3000000    
         401  6.8637997E-02  0.1715950      0.2745520    
         402  1.7814998E-02  4.4537496E-02  7.1259998E-02
         403  1.8461000E-02  4.6152502E-02  7.3844008E-02
         404  5.2015997E-02  0.1300400      0.2080640    
         405  0.1163680      0.2909200      0.3000000    
         406  0.1153370      0.2883425      0.3000000    
         407  7.2343998E-02  0.1808600      0.2893760    
         408  3.5291996E-02  8.8229999E-02  0.1411680    
         409  3.1582996E-02  7.8957498E-02  0.1263320    
         410  2.7461998E-02  6.8654999E-02  0.1098480    
         411  0.1172000      0.2930000      0.3000000    
         412  0.1000400      0.2501000      0.3000000    
         413  9.8401994E-02  0.2460050      0.3000000    
         414  0.1111550      0.2778875      0.3000000    
         415  7.0756994E-02  0.1768925      0.2830280    
         416  4.4253998E-02  0.1106350      0.1770160    
         417  4.3219998E-02  0.1080500      0.1728800    
         418  6.8895996E-02  0.1722400      0.2755840    
         419  0.1067310      0.2668275      0.3000000    
         420  0.1136090      0.2840225      0.3000000    
         421  0.1009250      0.2523125      0.3000000    
         422  9.2928991E-02  0.2323225      0.3000000    
         423  6.8327993E-02  0.1708200      0.2733120    
         424  4.7893997E-02  0.1197350      0.1915760    
         425  7.8427993E-02  0.1960700      0.3000000    
         426  5.1245995E-02  0.1281150      0.2049840    
         427  6.4345993E-02  0.1608650      0.2573840    
         428  5.9057996E-02  0.1476450      0.2362320    
         429  9.2033997E-02  0.2300850      0.3000000    
         430  0.2254000      0.2174575      0.2346000    
         431  0.1046270      0.2615675      0.3000000    
         432  7.5515993E-02  0.1887900      0.3000000    
         433  0.1075780      0.2689450      0.3000000    
         434  7.6500997E-02  0.1912525      0.3000000    
         435  5.2227996E-02  0.1305700      0.2089120    
         436  2.1816997E-02  5.4542497E-02  8.7267995E-02
         437  5.2205995E-02  0.1305150      0.2088240    
         438  6.8136998E-02  0.1703425      0.2725480    
         439  6.7774996E-02  0.1694375      0.2711000    
         440  9.1358997E-02  0.2283975      0.3000000    
         441  0.1144620      0.2861550      0.3000000    
         442  0.1175730      0.2939325      0.3000000    
         443  0.1178460      0.2946150      0.3000000    
         444  0.2352000      0.2430075      0.2448000    
         445  6.3756995E-02  0.1593925      0.2550280    
         446  3.9924998E-02  9.9812500E-02  0.1597000    
         447  2.6109997E-02  6.5274999E-02  0.1044400    
         448  3.5309996E-02  8.8275000E-02  0.1412400    
         449  4.0030997E-02  0.1000775      0.1601240    
         450  8.7725997E-02  0.2193150      0.3000000    
         451  0.1170540      0.2926350      0.3000000    
         452  0.1155150      0.2887875      0.3000000    
         453  0.1123360      0.2808400      0.3000000    
         454  8.1155993E-02  0.2028900      0.3000000    
         455  7.5817995E-02  0.1895450      0.3000000    
         456  5.5081997E-02  0.1377050      0.2203280    
         457  5.2324995E-02  0.1308125      0.2093000    
         458  4.1321997E-02  0.1033050      0.1652880    
         459  2.1581998E-02  5.3955000E-02  8.6328000E-02
         460  2.4856998E-02  6.2142499E-02  9.9427998E-02
         461  5.9533998E-02  0.1488350      0.2381360    
         462  0.2548000      0.2645275      0.2652000    
         463  0.1081230      0.2703075      0.3000000    
         464  8.7727994E-02  0.2193200      0.3000000    
         465  9.4242997E-02  0.2356075      0.3000000    
         466  9.7697988E-02  0.2442450      0.3000000    
         467  7.3718995E-02  0.1842975      0.2948760    
         468  2.5357999E-02  6.3395001E-02  0.1014320    
         469  2.1973999E-02  5.4935001E-02  8.7896004E-02
         470  3.1335998E-02  7.8340001E-02  0.1253440    
         471  5.6460995E-02  0.1411525      0.2258440    
         472  7.0298992E-02  0.1757475      0.2811960    
         473  0.1001110      0.2502775      0.3000000    
         474  0.1146220      0.2865550      0.3000000    
         475  0.1133610      0.2834025      0.3000000    
         476  0.1155620      0.2889050      0.3000000    
         477  6.9831990E-02  0.1745800      0.2793280    
         478  5.4602996E-02  0.1365075      0.2184120    
         479  4.2451996E-02  0.1061300      0.1698080    
         480  4.6531998E-02  0.1163300      0.1861280    
         481  6.3696995E-02  0.1592425      0.2547880    
         482  8.5476995E-02  0.2136925      0.3000000    
         483  8.4614992E-02  0.2115375      0.3000000    
         484  8.8815995E-02  0.2220400      0.3000000    
         485  4.1791998E-02  0.1044800      0.1671680    
         486  8.5911997E-02  0.2147800      0.3000000    
         487  8.0619998E-02  0.2015500      0.3000000    
         488  9.2239991E-02  0.2306000      0.3000000    
         489   343.0528       857.6321       1000.000    
         490   26.74037       66.85093       106.9615    
         491   6.991348       17.47837       27.96539    
         492   3.373358       8.433396       13.49343    
         493   151.8154       379.5385       607.2617    
         494   380.2590       950.6475       1000.000    
         495   214.6893       536.7234       858.7574    
         496   11.39614       28.49036       45.58458    
         497   70.72520       176.8130       282.9008    
         498   7.478032       18.69508       29.91213    
         499   106.6689       266.6723       426.6757    
         500   226.5048       566.2621       906.0193    
         501   287.5271       718.8179       1000.000    
         502   19.86834       49.67086       79.47338    
         503   366.9806       917.4515       1000.000    
         504   215.3837       538.4592       861.5348    
         505   12.95521       32.38803       51.82085    
         506   12.22565       30.56413       48.90261    
         507   131.0976       327.7441       524.3906    
         508   287.4099       718.5247       1000.000    
         509   125.0478       312.6195       500.1912    
         510   260.4989       651.2474       1000.000    
         511   389.1321       972.8304       1000.000    
         512   275.6314       689.0786       1000.000    
         513   103.0442       257.6105       412.1768    
         514   7.667579       19.16895       30.67032    
         515   51.06004       127.6501       204.2402    
         516   241.3341       603.3354       965.3366    
         517   276.4456       691.1141       1000.000    
         518   237.8490       594.6225       951.3960    
         519   369.5839       923.9598       1000.000    
         520   333.1404       832.8511       1000.000    
         521   115.6766       289.1915       462.7064    
         522   33.95545       84.88863       135.8218    
         523   11.84451       29.61129       47.37806    
         524   231.6605       579.1512       926.6419    
         525   283.8141       709.5354       1000.000    
         526   248.9698       622.4246       995.8794    
         527   268.3659       670.9148       1000.000    
         528   343.1473       857.8682       1000.000    
         529   179.8740       449.6851       719.4962    
         530   127.0192       317.5479       508.0767    
         531   29.01780       21.43033       30.20220    
         532   567.6160       419.6521       590.7840    
         533   172.7323       431.8307       690.9291    
         534   3.738890       9.347226       14.95556    
         535   41.36244       103.4061       165.4498    
         536   117.2563       293.1408       469.0253    
         537   280.7309       701.8274       1000.000    
         538   305.5868       763.9669       1000.000    
         539   131.5156       328.7891       526.0626    
         540   14.02439       35.06097       56.09755    
         541   35.07383       87.68457       140.2953    
         542   344.0903       860.2258       1000.000    
         543   2.217876       5.544690       8.871505    
         544   4.876136       12.19034       19.50455    
         545   29.93475       74.83688       119.7390    
         546   239.5120       244.3695       249.2880    
         547   215.1213       537.8033       860.4853    
         548   333.1131       832.7828       1000.000    
         549   154.5892       386.4730       618.3568    
         550   21.12447       52.81117       84.49787    
         551   110.7652       276.9131       443.0609    
         552   3.241535       8.103838       12.96614    
         553   3.235037       8.087593       12.94015    
         554   1.831434       4.578585       7.325737    
