                                              Y1              Y1              Y1              Y1              Y1              Y1
                                           PRO-1          PRO-11          PRO-12          PRO-15           PRO-4           PRO-5
            TIME            DATE   Gas Oil Ratio   Gas Oil Ratio   Gas Oil Ratio   Gas Oil Ratio   Gas Oil Ratio   Gas Oil Ratio
       4199.0000      1978-07-01    123.64867401     63.09381485     65.89437866     82.07076263     73.90715027     66.43799591
       4383.0000      1979-01-01    126.79739380     62.43304062     65.35014343    164.02485657     73.58622742     65.98717499
       4384.0000      1979-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4397.0000      1979-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4398.0000      1979-01-16    102.80000305     64.30666351     66.18666840    123.83999634     69.33333588     66.53333282
       4564.0000      1979-07-01    120.01493835     62.41855621     65.10216522    178.00096130     72.27710724     65.76570129
       4748.0000      1980-01-01    120.25347900     62.00608826     64.58963776    191.29782104     71.64782715     65.30796814
       4749.0000      1980-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4762.0000      1980-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4763.0000      1980-01-16    100.29333496     63.49333191     65.46666718    125.97333527     68.55999756     65.86666870
       4930.0000      1980-07-01    112.33213806     61.88024139     64.17932129    191.48471069     70.17884064     65.03329468
       5114.0000      1981-01-01    112.79072571     61.60231781     63.48970795    206.30970764     69.70261383     64.48622894
       5115.0000      1981-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5128.0000      1981-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5129.0000      1981-01-16     97.94666290     63.17333221     64.53333282    131.11999512     68.34666443     65.04000092
       5295.0000      1981-07-01    106.85847473     61.78859329     63.15373611    207.31115723     68.49494171     64.20851898
       5479.0000      1982-01-01    107.15245819     64.35968018     62.54347610    207.91696167     67.99666595     63.69927597
       5480.0000      1982-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5493.0000      1982-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5494.0000      1982-01-16     92.63999939     65.89333344     63.75999832    149.49333191     68.16000366     64.29333496
       5660.0000      1982-07-01    101.61799622     68.74148560     62.21992111    199.82594299     67.30088806     63.44160843
       5844.0000      1983-01-01    102.68434906     71.67864227     61.81594467    210.15966797     67.03115845     63.07782364
       5845.0000      1983-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5858.0000      1983-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5859.0000      1983-01-16     88.37333679     71.62891388     63.14666748    161.02470398     67.70666504     63.70666504
       6025.0000      1983-07-01     97.96915436     74.32463837     62.10425949    207.44540405     66.75839233     62.94746780
