      Well:      PRO-4

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
       2008.0000      1972-07-01          70.64   1.52774e-007       20513.49          70.64   1.51874e-007       20527.60
       2192.0000      1973-01-01          70.45   2.36395e-007       20155.87          70.39   2.34435e-007       20173.21
       2193.0000      1973-01-02           0.00           0.00       22192.58           0.00           0.00       22192.61
       2206.0000      1973-01-15           0.00           0.00       22271.91           0.00           0.00       22271.24
       2207.0000      1973-01-16          70.73   2.03624e-007       20267.78          70.67   2.01693e-007       20285.31
       2373.0000      1973-07-01          73.34   2.89478e-007       19895.79          72.72   2.86750e-007       19914.23
       2557.0000      1974-01-01          88.37   3.93333e-007       19612.40          84.48   3.88249e-007       19632.38
       2558.0000      1974-01-02           0.00           0.00       21908.86           0.00           0.00       21909.40
       2571.0000      1974-01-15           0.00           0.00       22003.52           0.00           0.00       22013.00
       2572.0000      1974-01-16          84.31   3.44291e-007       19745.38          80.73   3.38331e-007       19767.35
       2738.0000      1974-07-01         102.20   4.63679e-007       19425.73          98.46   4.56805e-007       19448.08
       2922.0000      1975-01-01         133.13   8.69429e-007       19177.27         123.44   8.46065e-007       19204.21
       2923.0000      1975-01-02           0.00           0.00       21634.34           0.00           0.00       21648.45
       2936.0000      1975-01-15           0.00           0.00       21754.81           0.00           0.00       21765.13
       2937.0000      1975-01-16         116.19   7.84993e-007       19344.17         110.73   7.66068e-007       19367.48
       3103.0000      1975-07-01         138.22   1.82316e-006       19028.37         128.07   1.73622e-006       19061.93
       3287.0000      1976-01-01         143.91   1.12182e-005       18821.24         132.92   1.05604e-005       18864.23
       3288.0000      1976-01-02           0.00           0.00       21397.28           0.00           0.00       21420.60
       3301.0000      1976-01-15           0.00           0.00       21534.58           0.00           0.00       21553.17
       3302.0000      1976-01-16         123.93   1.14489e-005       19013.10         113.28   1.07957e-005       19048.71
       3469.0000      1976-07-01         125.39   4.51444e-005       18679.44         114.55   4.18985e-005       18731.84
       3653.0000      1977-01-01         118.79    0.000171889       18396.86         113.13    0.000158271       18465.27
       3654.0000      1977-01-02           0.00           0.00       21241.70           0.00           0.00       21268.19
       3667.0000      1977-01-15           0.00           0.00       21398.16           0.00           0.00       21417.65
       3668.0000      1977-01-16         110.40    0.000241517       18617.16         105.63    0.000222357       18674.09
       3834.0000      1977-07-01         110.24    0.000576867       18088.26         104.89    0.000526452       18180.13
       4018.0000      1978-01-01         103.08     0.00549944       17482.27          97.61     0.00457690       17607.20
       4019.0000      1978-01-02           0.00           0.00       21114.65           0.00           0.00       21146.04
       4032.0000      1978-01-15           0.00           0.00       21283.16           0.00           0.00       21305.31
       4033.0000      1978-01-16          92.91     0.00967507       17713.92          87.25     0.00840501       17822.32
       4199.0000      1978-07-01          90.74      0.0257174       16675.40          84.09      0.0232380       16870.52
       4383.0000      1979-01-01          86.26       0.121617       15430.34          81.70       0.109639       15705.51
       4384.0000      1979-01-02           0.00           0.00       20971.19           0.00           0.00       21006.05
       4397.0000      1979-01-15           0.00           0.00       21159.05           0.00           0.00       21182.03
       4398.0000      1979-01-16          82.35       0.125937       15714.89          80.00       0.113985       15974.82
       4564.0000      1979-07-01          84.39       0.223342       14177.90          81.50       0.205850       14505.54
       4748.0000      1980-01-01          87.58       0.334289       12871.98          85.30       0.322338       13129.46
       4749.0000      1980-01-02           0.00           0.00       20682.05           0.00           0.00       20723.83
       4762.0000      1980-01-15           0.00           0.00       20917.23           0.00           0.00       20944.80
       4763.0000      1980-01-16          85.65       0.368426       13321.92          83.71       0.359081       13546.22
       4930.0000      1980-07-01          89.86       0.421150       11937.56          89.49       0.417066       12046.21
       5114.0000      1981-01-01          96.58       0.463851       10920.70         102.34       0.462652       10952.35
       5115.0000      1981-01-02           0.00           0.00       20365.67           0.00           0.00       20403.74
       5128.0000      1981-01-15           0.00           0.00       20628.63           0.00           0.00       20656.07
       5129.0000      1981-01-16          90.11       0.490595       11410.18          91.25       0.489864       11414.76
       5295.0000      1981-07-01          95.41       0.507110       10280.55         102.47       0.506569       10307.85
       5479.0000      1982-01-01         103.66       0.536168        9673.89         113.43       0.530751        9662.18
       5480.0000      1982-01-02           0.00           0.00       20145.85           0.00           0.00       20187.33
       5493.0000      1982-01-15           0.00           0.00       20438.52           0.00           0.00       20479.95
       5494.0000      1982-01-16          91.41       0.561153       10322.87          93.57       0.560892       10279.32
       5660.0000      1982-07-01          99.09       0.558952        9339.97         106.08       0.557824        9375.73
       5844.0000      1983-01-01         102.47       0.570436        9015.62         114.27       0.568605        9004.52
       5845.0000      1983-01-02           0.00           0.00       19966.59           0.00           0.00       20016.45
       5858.0000      1983-01-15           0.00           0.00       20281.12           0.00           0.00       20320.64
       5859.0000      1983-01-16          91.17       0.597906        9759.25          92.99       0.597552        9724.42
       6025.0000      1983-07-01          97.61       0.588103        8822.18         109.86       0.583354        8833.43

      Well:      PRO-5

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01           0.00           0.00        5951.38           0.00           0.00        5951.40
       1.0100000      1967-01-02          74.00   2.35352e-010        5912.24          74.00   2.23982e-010        5913.03
       31.000000      1967-02-01          73.95   5.05997e-007        5624.38          73.96   4.92414e-007        5627.42
       59.000000      1967-03-01          73.78   2.26739e-006        5411.23          73.78   2.20698e-006        5415.92
       90.000000      1967-04-01          73.61   5.36548e-006        5203.87          73.62   5.23467e-006        5209.44
       91.000000      1967-04-02          73.58   5.50829e-006         101.32          73.59   5.37349e-006         101.32
       120.00000      1967-05-01          73.27   1.09079e-005         101.32          73.32   9.42141e-006         101.32
       151.00000      1967-06-01          72.99   2.18780e-005         101.32          73.04   1.87499e-005         101.32
       181.00000      1967-07-01          72.79   3.46233e-005         101.32          72.78   3.39213e-005         101.32
       182.00000      1967-07-02          72.80   3.50484e-005        4209.48          72.79   3.43403e-005        4213.02
       212.00000      1967-08-01          72.82   4.51865e-005        4129.49          72.81   4.43132e-005        4133.87
       243.00000      1967-09-01          72.76   6.01950e-005        3990.62          72.76   5.90866e-005        3996.31
       273.00000      1967-10-01          72.69   7.46862e-005        3847.63          72.69   7.33691e-005        3854.57
       274.00000      1967-10-02          72.73   7.50164e-005       13450.73          72.72   7.36993e-005       13453.24
       304.00000      1967-11-01          72.90   8.14669e-005       13532.15          72.89   8.00773e-005       13534.84
       334.00000      1967-12-01          72.96   8.97557e-005       13535.63          72.96   8.83044e-005       13538.56
       365.00000      1968-01-01          72.98   9.75111e-005       13526.01          72.98   9.60073e-005       13529.20
       366.00000      1968-01-02           0.00           0.00       23118.57           0.00           0.00       23117.50
       731.00000      1969-01-01           0.00           0.00       23392.91           0.00           0.00       23392.92
       1096.0000      1970-01-01           0.00           0.00       23476.59           0.00           0.00       23477.18
       1461.0000      1971-01-01           0.00           0.00       23522.88           0.00           0.00       23523.44
       1462.0000      1971-01-02          74.24   8.47533e-005         101.32          74.15   8.69709e-005         101.32
       1642.0000      1971-07-01          72.90    0.000181776         101.32          72.94    0.000177116         101.32
       1826.0000      1972-01-01          71.95    0.000521483         101.32          71.94    0.000553341         101.32
       1827.0000      1972-01-02           0.00           0.00       22738.23           0.00           0.00       22735.37
       1840.0000      1972-01-15           0.00           0.00       22848.46           0.00           0.00       22845.33
       1841.0000      1972-01-16          72.08    0.000894993         101.32          72.07    0.000983161         101.32
       2008.0000      1972-07-01          71.33     0.00212570         101.32          71.33     0.00235361         101.32
       2192.0000      1973-01-01          70.77     0.00370881         101.32          70.77     0.00425162         101.32
       2193.0000      1973-01-02           0.00           0.00       22446.57           0.00           0.00       22446.16
       2206.0000      1973-01-15           0.00           0.00       22555.36           0.00           0.00       22554.40
       2207.0000      1973-01-16          71.13     0.00362875         101.32          71.13     0.00419291         101.32
       2373.0000      1973-07-01          70.53     0.00460208         101.32          70.53     0.00543462         101.32
       2557.0000      1974-01-01          70.11     0.00600896         101.32          70.13     0.00726049         101.32
       2558.0000      1974-01-02           0.00           0.00       22243.08           0.00           0.00       22247.75
       2571.0000      1974-01-15           0.00           0.00       22351.01           0.00           0.00       22354.28
       2572.0000      1974-01-16          70.47     0.00587393         101.32          70.49     0.00714783         101.32
       2738.0000      1974-07-01          69.95     0.00694822         101.32          69.97     0.00982991         101.32
       2922.0000      1975-01-01          69.56      0.0117727         101.32          69.59      0.0171763         101.32
       2923.0000      1975-01-02           0.00           0.00       22072.18           0.00           0.00       22081.16
       2936.0000      1975-01-15           0.00           0.00       22176.71           0.00           0.00       22184.90
       2937.0000      1975-01-16          69.91      0.0113016         101.32          69.94      0.0166815         101.32
       3103.0000      1975-07-01          69.40      0.0186175         101.32          69.44      0.0231503         101.32
       3287.0000      1976-01-01          69.07      0.0311195         101.32          69.11      0.0346466         101.32
       3288.0000      1976-01-02           0.00           0.00       21920.44           0.00           0.00       21934.22
       3301.0000      1976-01-15           0.00           0.00       22022.93           0.00           0.00       22036.41
       3302.0000      1976-01-16          69.41      0.0305101         101.32          69.46      0.0340181         101.32
       3469.0000      1976-07-01          68.97      0.0394735         101.32          69.02      0.0423986         101.32
       3653.0000      1977-01-01          68.75      0.0556915         101.32          68.80      0.0612734         101.32
       3654.0000      1977-01-02           0.00           0.00       21805.11           0.00           0.00       21821.38
       3667.0000      1977-01-15           0.00           0.00       21907.17           0.00           0.00       21923.73
       3668.0000      1977-01-16          69.04      0.0609868         101.32          69.09      0.0660290         101.32
       3834.0000      1977-07-01          68.65      0.0764582         101.32          68.71      0.0804699         101.32
       4018.0000      1978-01-01          68.42       0.100172         101.32          68.49       0.102739         101.32
       4019.0000      1978-01-02           0.00           0.00       21707.81           0.00           0.00       21727.92
       4032.0000      1978-01-15           0.00           0.00       21810.61           0.00           0.00       21831.11
       4033.0000      1978-01-16          68.72       0.103830         101.32          68.80       0.106099         101.32
       4199.0000      1978-07-01          68.30       0.119188         101.32          68.38       0.120701         101.32
       4383.0000      1979-01-01          68.02       0.138467         101.32          68.09       0.139147         101.32
       4384.0000      1979-01-02           0.00           0.00       21597.79           0.00           0.00       21621.97
       4397.0000      1979-01-15           0.00           0.00       21700.29           0.00           0.00       21724.54
       4398.0000      1979-01-16          68.35       0.136578         101.32          68.45       0.137268         101.32
       4564.0000      1979-07-01          67.90       0.155599         101.32          67.98       0.156459         101.32
       4748.0000      1980-01-01          67.59       0.175854         101.32          67.68       0.175986         101.32
       4749.0000      1980-01-02           0.00           0.00       21438.23           0.00           0.00       21465.90
       4762.0000      1980-01-15           0.00           0.00       21543.39           0.00           0.00       21571.09
       4763.0000      1980-01-16          67.85       0.177785         101.32          67.94       0.177766         101.32
       4930.0000      1980-07-01          67.29       0.190319         101.32          67.38       0.189758         101.32
       5114.0000      1981-01-01          66.95       0.200768         101.32          67.02       0.199790         101.32
       5115.0000      1981-01-02           0.00           0.00       21226.44           0.00           0.00       21248.99
       5128.0000      1981-01-15           0.00           0.00       21335.12           0.00           0.00       21358.25
       5129.0000      1981-01-16          67.20       0.201122         101.32          67.24       0.199886         101.32
       5295.0000      1981-07-01          66.69       0.207609         101.32          66.76       0.206263         101.32
       5479.0000      1982-01-01          66.24       0.215727         101.32          66.39       0.214001         101.32
       5480.0000      1982-01-02           0.00           0.00       21047.32           0.00           0.00       21067.71
       5493.0000      1982-01-15           0.00           0.00       21158.50           0.00           0.00       21180.40
       5494.0000      1982-01-16          66.64       0.212399         101.32          66.68       0.212309         101.32
       5660.0000      1982-07-01          66.11       0.217555         101.32          66.19       0.217430         101.32
       5844.0000      1983-01-01          65.78       0.222648         101.32          65.87       0.222649         101.32
       5845.0000      1983-01-02           0.00           0.00       20904.45           0.00           0.00       20931.21
       5858.0000      1983-01-15           0.00           0.00       21018.06           0.00           0.00       21045.51
       5859.0000      1983-01-16          66.18       0.219235         101.32          66.27       0.219417         101.32
       6025.0000      1983-07-01          65.69       0.223707         101.32          65.79       0.224121         101.32

      Well:     PRO-11

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01           0.00           0.00       22045.31           0.00           0.00       22045.35
       1.0100000      1967-01-02          74.00   2.18805e-010       21997.89          74.00   2.16981e-010       21998.09
       31.000000      1967-02-01          73.79   4.45465e-009       21805.98          73.79   4.44871e-009       21806.14
       59.000000      1967-03-01          73.55   8.22363e-009       21734.38          73.55   8.21870e-009       21734.48
       90.000000      1967-04-01          73.37   1.17934e-008       21670.00          73.37   1.17910e-008       21670.04
       91.000000      1967-04-02          73.26   1.40708e-008       20059.12          73.27   1.40425e-008       20059.59
       120.00000      1967-05-01          72.67   3.19291e-008       19794.94          72.73   2.99566e-008       19786.39
       151.00000      1967-06-01          72.24   4.91370e-008       19651.35          72.30   4.63851e-008       19643.55
       181.00000      1967-07-01          71.95   6.33061e-008       19534.29          71.94   6.37888e-008       19531.08
       182.00000      1967-07-02          72.03   5.91873e-008       21195.23          72.02   5.97018e-008       21191.83
       212.00000      1967-08-01          72.28   4.73890e-008       21290.67          72.27   4.77142e-008       21288.46
       243.00000      1967-09-01          72.27   4.79254e-008       21280.88          72.26   4.81688e-008       21279.20
       273.00000      1967-10-01          72.22   5.04871e-008       21261.56          72.21   5.06876e-008       21260.27
       274.00000      1967-10-02          72.26   4.84637e-008       22087.04          72.26   4.86895e-008       22085.50
       304.00000      1967-11-01          72.46   4.01605e-008       22159.04          72.46   4.02980e-008       22158.16
       334.00000      1967-12-01          72.53   3.75737e-008       22174.91          72.52   3.76864e-008       22174.11
       365.00000      1968-01-01          72.55   3.67264e-008       22183.04          72.55   3.68232e-008       22182.37
       366.00000      1968-01-02           0.00           0.00       23001.93           0.00           0.00       23001.02
       731.00000      1969-01-01           0.00           0.00       23318.34           0.00           0.00       23318.24
       1096.0000      1970-01-01           0.00           0.00       23413.00           0.00           0.00       23413.96
       1461.0000      1971-01-01           0.00           0.00       23464.18           0.00           0.00       23464.99
       1462.0000      1971-01-02          73.92   3.19676e-009       21085.34          73.92   3.21462e-009       21085.49
       1642.0000      1971-07-01          72.27   5.37760e-008       20271.45          72.31   5.13954e-008       20263.40
       1826.0000      1972-01-01          71.04   1.43566e-007       19878.51          71.03   1.47266e-007       19876.91
       1827.0000      1972-01-02           0.00           0.00       22460.76           0.00           0.00       22457.22
       1840.0000      1972-01-15           0.00           0.00       22634.34           0.00           0.00       22635.00
       1841.0000      1972-01-16          71.30   1.38255e-007       20096.50          71.31   1.42272e-007       20099.09
       2008.0000      1972-07-01          70.23   3.66446e-007       19640.80          70.22   3.94479e-007       19636.58
       2192.0000      1973-01-01          69.49   9.05650e-007       19391.81          69.48   1.04136e-006       19388.05
       2193.0000      1973-01-02           0.00           0.00       22079.67           0.00           0.00       22074.70
       2206.0000      1973-01-15           0.00           0.00       22272.13           0.00           0.00       22265.14
       2207.0000      1973-01-16          70.14   7.87253e-007       19638.31          70.13   9.19103e-007       19632.35
       2373.0000      1973-07-01          69.18   1.53853e-006       19222.62          69.17   2.08285e-006       19217.43
       2557.0000      1974-01-01          68.62   3.43020e-006       19018.91          68.62   5.47458e-006       19010.79
       2558.0000      1974-01-02           0.00           0.00       21810.58           0.00           0.00       21802.03
       2571.0000      1974-01-15           0.00           0.00       22013.21           0.00           0.00       22006.16
       2572.0000      1974-01-16          69.31   3.17682e-006       19287.76          69.30   5.19690e-006       19274.97
       2738.0000      1974-07-01          68.40   5.72913e-006       18870.02          68.40   9.76882e-006       18859.98
       2922.0000      1975-01-01          67.81   9.55692e-005       18534.22          67.83   6.22674e-005       18553.89
       2923.0000      1975-01-02           0.00           0.00       21553.04           0.00           0.00       21555.82
       2936.0000      1975-01-15           0.00           0.00       21762.14           0.00           0.00       21761.09
       2937.0000      1975-01-16          68.51   9.19750e-005       18810.41          68.52   5.97886e-005       18824.99
       3103.0000      1975-07-01          67.59     0.00165026       18202.23          67.62    0.000505366       18243.53
       3287.0000      1976-01-01          67.09      0.0175704       17709.00          67.14     0.00854441       17760.47
       3288.0000      1976-01-02           0.00           0.00       21332.32           0.00           0.00       21343.01
       3301.0000      1976-01-15           0.00           0.00       21541.81           0.00           0.00       21548.20
       3302.0000      1976-01-16          67.79      0.0168035       18006.11          67.83     0.00801277       18047.68
       3469.0000      1976-07-01          66.92      0.0600116       17298.76          67.00      0.0365609       17339.35
       3653.0000      1977-01-01          66.52       0.150472       16733.29          66.63       0.110205       16762.08
       3654.0000      1977-01-02           0.00           0.00       21129.83           0.00           0.00       21162.96
       3667.0000      1977-01-15           0.00           0.00       21348.45           0.00           0.00       21380.67
       3668.0000      1977-01-16          67.16       0.174600       17070.27          67.28       0.136312       17090.66
       3834.0000      1977-07-01          66.27       0.245378       16167.64          66.40       0.201017       16158.02
       4018.0000      1978-01-01          66.17       0.329022       14747.68          66.03       0.281511       14753.32
       4019.0000      1978-01-02           0.00           0.00       20898.03           0.00           0.00       20943.40
       4032.0000      1978-01-15           0.00           0.00       21161.31           0.00           0.00       21194.65
       4033.0000      1978-01-16          67.12       0.341321       15229.85          66.71       0.296446       15201.96
       4199.0000      1978-07-01          68.30       0.396847       12729.99          67.66       0.361150       12678.32
       4383.0000      1979-01-01          91.28       0.449928        9560.30          83.58       0.430596        8912.92
       4384.0000      1979-01-02           0.00           0.00       20631.97           0.00           0.00       20684.29
       4397.0000      1979-01-15           0.00           0.00       20935.05           0.00           0.00       20977.94
       4398.0000      1979-01-16          86.27       0.443543       10515.41          78.41       0.423744        9887.76
       4564.0000      1979-07-01         114.93       0.478323        6749.77         111.48       0.464408        5453.20
       4748.0000      1980-01-01         140.52       0.509662        3724.69         141.34       0.503042        1900.89
       4749.0000      1980-01-02           0.00           0.00       20262.75           0.00           0.00       20295.42
       4762.0000      1980-01-15           0.00           0.00       20625.13           0.00           0.00       20657.85
       4763.0000      1980-01-16         130.45       0.504887        5691.72         128.05       0.490527        4244.80
       4930.0000      1980-07-01         152.18       0.529685        2219.92         153.83       0.525481         292.16
       5114.0000      1981-01-01         161.81       0.551654         244.31         162.27       0.548059         101.32
       5115.0000      1981-01-02           0.00           0.00       19910.65           0.00           0.00       19994.08
       5128.0000      1981-01-15           0.00           0.00       20310.61           0.00           0.00       20368.87
       5129.0000      1981-01-16         142.72       0.547916        2795.06         137.33       0.531342        1535.26
       5295.0000      1981-07-01         161.04       0.565988         101.32         156.60       0.559932         101.32
       5479.0000      1982-01-01         162.95       0.589165         101.32         159.60       0.583389         101.32
       5480.0000      1982-01-02           0.00           0.00       19732.73           0.00           0.00       19835.82
       5493.0000      1982-01-15           0.00           0.00       20121.44           0.00           0.00       20198.71
       5494.0000      1982-01-16         141.31       0.579942         976.45         136.04       0.573564         101.32
       5660.0000      1982-07-01         160.69       0.600166         101.32         155.49       0.597796         101.32
       5844.0000      1983-01-01         162.79       0.620288         101.32         159.84       0.621675         101.32
       5845.0000      1983-01-02           0.00           0.00       19588.62           0.00           0.00       19691.03
       5858.0000      1983-01-15           0.00           0.00       19969.39           0.00           0.00       20049.40
       5859.0000      1983-01-16         140.99       0.612623         101.32         134.72       0.609827         101.32
       6025.0000      1983-07-01         160.54       0.632107         101.32         156.35       0.632407         101.32

      Well:     PRO-12

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01           0.00           0.00       21574.12           0.00           0.00       21574.11
       1.0100000      1967-01-02          74.00   1.32545e-010       21537.12          74.00   1.32985e-010       21537.06
       31.000000      1967-02-01          73.97   4.44936e-009       21340.15          73.97   4.44577e-009       21340.25
       59.000000      1967-03-01          73.80   8.13926e-009       21269.87          73.80   8.13032e-009       21270.06
       90.000000      1967-04-01          73.64   1.12195e-008       21211.02          73.64   1.12087e-008       21211.21
       91.000000      1967-04-02          73.56   1.29130e-008       19080.17          73.56   1.29079e-008       19080.27
       120.00000      1967-05-01          73.02   2.79745e-008       18826.67          73.07   2.65588e-008       18816.13
       151.00000      1967-06-01          72.68   4.05182e-008       18707.37          72.72   3.87593e-008       18699.87
       181.00000      1967-07-01          72.46   4.99904e-008       18613.10          72.45   5.04369e-008       18609.17
       182.00000      1967-07-02          72.52   4.71208e-008       20801.01          72.52   4.75289e-008       20797.73
       212.00000      1967-08-01          72.78   3.66154e-008       20902.07          72.77   3.69292e-008       20899.24
       243.00000      1967-09-01          72.77   3.69092e-008       20891.77          72.77   3.71746e-008       20889.38
       273.00000      1967-10-01          72.71   3.91952e-008       20870.28          72.71   3.94332e-008       20868.23
       274.00000      1967-10-02          72.75   3.78140e-008       21957.35          72.74   3.80422e-008       21955.46
       304.00000      1967-11-01          72.95   3.04113e-008       22032.50          72.94   3.05968e-008       22030.81
       334.00000      1967-12-01          73.02   2.81429e-008       22047.73          73.01   2.83006e-008       22046.22
       365.00000      1968-01-01          73.03   2.75353e-008       22053.91          73.03   2.76753e-008       22052.56
       366.00000      1968-01-02           0.00           0.00       23132.09           0.00           0.00       23130.84
       731.00000      1969-01-01           0.00           0.00       23408.33           0.00           0.00       23408.30
       1096.0000      1970-01-01           0.00           0.00       23490.97           0.00           0.00       23491.58
       1461.0000      1971-01-01           0.00           0.00       23537.25           0.00           0.00       23537.78
       1462.0000      1971-01-02          74.28   2.46956e-009       20377.15          74.22   2.46257e-009       20376.76
       1642.0000      1971-07-01          72.76   4.04821e-008       19640.42          72.80   3.85212e-008       19635.16
       1826.0000      1972-01-01          71.77   9.82563e-008       19307.46          71.76   9.53736e-008       19306.20
       1827.0000      1972-01-02           0.00           0.00       22681.80           0.00           0.00       22678.97
       1840.0000      1972-01-15           0.00           0.00       22848.49           0.00           0.00       22845.50
       1841.0000      1972-01-16          72.08   8.50266e-008       19529.51          72.07   8.00316e-008       19527.99
       2008.0000      1972-07-01          71.13   2.13679e-007       19104.81          71.12   1.99534e-007       19104.41
       2192.0000      1973-01-01          70.54   7.10726e-007       18894.70          70.53   6.00292e-007       18896.70
       2193.0000      1973-01-02           0.00           0.00       22375.70           0.00           0.00       22374.30
       2206.0000      1973-01-15           0.00           0.00       22547.20           0.00           0.00       22545.82
       2207.0000      1973-01-16          71.11   6.24843e-007       19125.45          71.11   5.19367e-007       19127.41
       2373.0000      1973-07-01          70.29   1.81824e-006       18746.46          70.29   1.34437e-006       18752.95
       2557.0000      1974-01-01          69.85   7.54318e-006       18568.51          69.86   5.27872e-006       18582.49
       2558.0000      1974-01-02           0.00           0.00       22163.39           0.00           0.00       22164.64
       2571.0000      1974-01-15           0.00           0.00       22338.22           0.00           0.00       22339.63
       2572.0000      1974-01-16          70.44   7.33966e-006       18805.65          70.45   5.09349e-006       18819.82
       2738.0000      1974-07-01          69.70   1.91191e-005       18431.70          69.70   1.25294e-005       18456.92
       2922.0000      1975-01-01          69.29   6.13556e-005       18213.57          69.30   4.07665e-005       18255.40
       2923.0000      1975-01-02           0.00           0.00       21987.68           0.00           0.00       21992.43
       2936.0000      1975-01-15           0.00           0.00       22164.19           0.00           0.00       22169.58
       2937.0000      1975-01-16          69.88   6.09170e-005       18455.39          69.89   4.03817e-005       18497.88
       3103.0000      1975-07-01          69.14    0.000120260       18034.49          69.16   8.00245e-005       18096.63
       3287.0000      1976-01-01          68.78    0.000274502       17784.77          68.81    0.000187231       17869.82
       3288.0000      1976-01-02           0.00           0.00       21831.64           0.00           0.00       21841.00
       3301.0000      1976-01-15           0.00           0.00       22012.35           0.00           0.00       22022.49
       3302.0000      1976-01-16          69.40    0.000272568       18037.83          69.43    0.000185824       18123.21
       3469.0000      1976-07-01          68.68    0.000450731       17574.66          68.72    0.000315344       17683.23
       3653.0000      1977-01-01          68.44     0.00112889       17279.18          68.48    0.000548798       17405.17
