"contador","inf","truth","sup"
113,7.071611,17.67903,28.28645
114,7.500287,18.75072,30.00115
115,70.84576,177.1144,283.383
116,73.98824,184.9706,295.953
117,50.38367,125.9592,201.5347
118,34.61985,86.54962,138.4794
119,6.052468,15.13117,24.20987
120,2.157234,5.393085,8.628936
121,59.08107,147.7027,236.3243
122,66.18871,165.4718,264.7549
123,73.38055,183.4514,293.5222
124,62.54364,156.3591,250.1746
125,39.0569,97.64224,156.2276
126,7.429411,18.57353,29.71765
127,1.209266,3.023165,4.837064
128,21.48993,53.72482,85.95971
129,42.75208,106.8802,171.0083
130,40.69268,101.7317,162.7707
131,49.18859,122.9715,196.7544
132,17.80917,44.52293,71.23669
133,27.77021,69.42554,111.0809
134,6.661468,16.65367,26.64587
135,1.596025,3.990062,6.384099
136,5.916915,14.79229,23.66766
137,11.55334,28.88336,46.21338
138,4.69142,11.72855,18.76568
139,15.09152,37.7288,60.36609
140,14.73536,36.83839,58.94143
141,28.03498,70.08744,112.1399
142,9.716676,24.29169,38.86671
143,1.313267,3.283167,5.253067
144,4.889163,12.22291,19.55666
145,1.556751,3.891877,6.227003
146,2.915495,7.288738,11.66198
147,2.592312,6.48078,10.36925
148,3.933069,9.832672,15.73228
149,68.6784,71.63971,71.4816
150,23.814,30.15802,24.786
151,5.173923,12.93481,20.6957
152,14.26956,35.6739,57.07824
153,5.334232,13.33558,21.33693
154,2.551871,6.379678,10.20748
155,2.576615,6.441537,10.30646
156,6.087548,15.21887,24.35019
157,0.5,0.9608151,1.537304
158,5.870196,14.67549,23.48079
159,9.636752,24.09188,38.54701
160,5.677508,14.19377,22.71003
161,6.281072,15.70268,25.12429
162,6.124547,15.31137,24.49819
163,9.492859,23.73215,37.97144
164,15.4546,15.47325,16.0854
165,6.357619,15.89405,25.43048
166,2.594974,6.487435,10.3799
167,4.037172,10.09293,16.14869
168,2.726038,6.815095,10.90415
169,3.378332,8.445829,13.51333
170,2.141035,5.352588,8.564141
171,5.886851,14.71713,23.54741
172,15.70093,39.25232,62.80371
173,8.765143,21.91286,35.06058
174,1.721858,4.304645,6.887432
175,1.461619,3.654047,5.846475
176,5.086032,12.71508,20.34413
177,2.368855,5.922137,9.475419
178,10.45656,26.1414,41.82624
179,20.57736,51.44341,82.30946
180,9.701023,24.25256,38.8041
181,33.55117,83.87794,134.2047
182,69.9622,71.39836,72.8178
183,4.330823,10.82706,17.3233
184,3.569076,8.92269,14.27631
185,23.9446,59.8615,95.7784
186,34.1628,34.86101,35.5572
187,5.845712,14.61428,23.38285
188,13.03372,32.58431,52.1349
189,9.010451,22.52613,36.04181
190,11.87034,29.67584,47.48135
191,50.21696,125.5424,200.8678
192,34.88207,87.20518,139.5283
193,25.1762,25.69115,26.2038
194,4.954032,12.38508,19.81613
195,6.331528,15.82882,25.32611
196,8.755307,21.88827,35.02123
197,2.05049,5.126225,8.201961
198,4.642852,11.60713,18.57141
199,1.733753,4.334382,6.935011
200,1.064693,2.661732,4.258771
201,8.260648,20.65162,33.04259
202,16.17595,40.43989,64.70383
203,13.05105,32.62762,52.20419
204,21.85094,54.62735,87.40376
205,23.34134,58.35334,93.36535
206,12.84904,32.12259,51.39614
207,2.591108,6.47777,10.36443
208,7.741848,19.35462,30.96739
209,36.89663,92.24158,147.5865
210,10.05722,25.14304,40.22886
211,23.16865,57.92163,92.67461
212,41.35904,103.3976,165.4362
213,385.8399,964.5998,1000
214,348.1769,870.4424,1000
215,167.7768,419.4421,671.1074
216,164.7893,411.9732,659.1572
217,346.3966,865.9915,1000
218,311.2513,778.1282,1000
219,349.6973,874.2433,1000
220,141.7094,354.2735,566.8376
221,213.111,532.7776,852.4442
222,106.908,267.27,427.632
223,62.73124,156.8281,250.925
224,135.2455,338.1137,540.9819
225,242.8536,607.134,971.4144
226,313.2438,783.1096,1000
227,193.5272,483.818,774.1088
228,70.65435,176.6359,282.6174
229,138.4942,346.2354,553.9767
230,112.338,280.8451,449.3521
231,48.78652,121.9663,195.1461
232,98.32283,245.8071,393.2914
233,158.8486,397.1216,635.3946
234,158.293,395.7324,633.1718
235,172.0741,430.1853,688.2965
236,124.5309,311.3273,498.1237
237,90.73079,226.827,362.9232
238,30.81758,77.04396,123.2703
239,92.86983,232.1746,371.4794
240,82.82119,207.053,331.2848
241,14.32542,35.81355,57.30168
242,25.93961,64.84903,103.7584
243,45.17452,112.9363,180.6981
244,82.42776,206.0694,329.711
245,93.13783,232.8446,372.5514
246,75.4992,111.1127,78.5808
247,227.556,57.92174,236.844
248,102.365,255.9124,409.4598
249,17.12996,42.82489,68.51983
250,31.29877,78.24693,125.1951
251,44.59956,111.4989,178.3982
252,61.50544,153.7636,246.0218
253,148.7564,371.891,595.0256
254,225.6064,564.0159,902.4255
255,157.911,394.7776,631.6442
256,28.6962,71.74049,114.7848
257,176.2406,440.6016,704.9626
258,23.26054,58.15135,93.04216
259,10.86364,27.15911,43.45457
260,48.8824,49.88157,50.8776
261,61.4954,153.7385,245.9816
262,68.00291,170.0073,272.0117
263,157.9138,394.7845,631.6552
264,141.0893,352.7232,564.3571
265,257.0656,642.6641,1000
266,361.5933,903.9834,1000
267,193.4116,483.529,773.6464
268,50.68072,126.7018,202.7229
269,5.710311,14.27578,22.84125
270,17.02103,42.55259,68.08414
271,61.98272,154.9568,247.9309
272,130.2955,325.7388,521.1821
273,254.0664,635.1661,1000
274,130.6102,326.5254,522.4406
275,394.9598,987.3995,1000
276,383.1127,957.7819,1000
277,158.6935,396.7338,634.7741
278,337.022,343.9475,350.778
279,16.28185,40.70462,65.1274
280,17.53301,43.83252,70.13203
281,112.9828,282.4569,451.9311
282,261.758,267.1474,272.442
283,236.6826,591.7065,946.7304
284,237.7442,594.3605,950.9767
285,383.4929,958.7322,1000
286,379.1488,947.8721,1000
287,215.6855,539.2137,862.7419
288,517.636,528.1791,538.764
289,36.88697,92.21742,147.5479
290,75.69932,189.2483,302.7973
291,69.18372,172.9593,276.7349
292,34.30737,85.76842,137.2295
293,50.89828,127.2457,203.5931
294,193.7225,484.3063,774.8901
295,397.82,994.5502,1000
296,384.5668,961.4171,1000
297,368.4251,921.0628,1000
298,177.6087,444.0218,710.4349
299,45.26244,113.1561,181.0498
300,46.876,117.19,187.504
301,384.714,961.785,1000
302,395.4698,988.6746,1000
303,397.7305,994.3264,1000
304,393.3033,983.2583,1000
305,17.4252,43.563,69.7008
306,13.08837,32.72092,52.35347
307,27.60584,69.0146,110.4234
308,61.73936,154.3484,246.9574
309,133.6132,334.0331,534.453
310,147.3786,368.4465,589.5144
311,71.42847,178.5712,285.7139
312,83.62811,209.0703,334.5125
313,14.45406,36.13516,57.81625
314,29.38109,73.45273,117.5244
315,164.6911,411.7278,658.7645
316,170.2325,425.5812,680.9299
317,198.4719,496.1798,793.8877
318,57.8368,144.592,231.3472
319,0.8808639,2.20216,3.523456
320,5.724771,14.31193,22.89909
321,11.24207,28.10519,44.9683
322,151.8191,379.5478,607.2765
323,193.6067,484.0167,774.4267
324,165.0388,412.597,660.1552
325,90.27431,225.6858,361.0973
326,1.629913,4.074782,6.519651
327,1.716529,4.291323,6.866117
328,31.79912,79.4978,127.1965
329,99.78115,249.4529,399.1246
330,95.87271,239.6818,383.4909
331,59.15508,147.8877,236.6203
332,96.11012,240.2753,384.4405
333,0.632032,1.58008,2.528128
334,1.120442,2.801105,4.481768
335,40.48576,101.2144,161.943
336,69.94643,174.8661,279.7858
337,67.286,168.215,269.144
338,234.906,32.27584,244.494
339,144.942,53.77948,150.858
340,16.97007,42.42518,67.88029
341,3.22981,8.074525,12.91924
342,9.966047,24.91512,39.86419
343,106.5876,266.469,426.3504
344,45.63708,114.0927,182.5483
345,13.33385,33.33462,53.3354
346,10.22401,25.56003,40.89605
347,19.06617,47.66543,76.26469
348,18.91544,47.28861,75.66177
349,10.72675,26.81687,42.90699
350,6.13528,15.3382,24.54112
351,40.39428,100.9857,161.5771
352,247.548,252.5683,257.652
353,87.1848,217.962,348.7392
354,11.61438,29.03596,46.45753
355,26.42859,66.07147,105.7144
356,21.61679,54.04197,86.46716
357,59.8968,149.742,239.5872
358,8.488771,21.22193,33.95509
359,11.12761,27.81902,44.51043
360,62.19495,155.4874,248.7798
361,120.0515,300.1288,480.2061
362,103.5412,258.8531,414.1649
363,8.102123,20.25531,32.4085
364,15.53377,38.83442,62.13507
365,46.32088,115.8022,185.2835
366,194.4045,486.0112,777.6179
367,5.169924,12.92481,20.6797
368,5.431032,13.57758,21.72413
369,126.0012,315.0029,504.0046
370,474.712,484.298,494.088
371,52.17979,130.4495,208.7192
372,15.61164,39.02909,62.44654
373,39.55457,98.88642,158.2183
374,379.652,387.4178,395.148
375,155.3948,388.487,621.5792
376,2.439092,6.09773,9.756369
377,3.875966,9.689915,15.50386
378,34.53516,86.3379,138.1406
379,95.13531,237.8383,380.5413
380,153.762,156.87,160.038
381,62.42427,156.0607,249.6971
382,152.2188,380.5471,608.8754
383,187.7166,469.2914,750.8663
384,117.4373,293.5933,469.7493
385,1.024576,2.56144,4.098304
386,2.88827,7.220675,11.55308
387,20.69686,51.74214,82.78743
388,38.16051,95.40128,152.6421
389,56.22428,140.5607,224.8971
390,109.3775,273.4438,437.5101
391,121.0548,302.6371,484.2193
392,59.96536,149.9134,239.8615
393,8.028179,20.07045,32.11272
394,11.16929,27.92323,44.67717
395,13.0089,32.52225,52.0356
396,42.42228,106.0557,169.6891
397,2.81794,7.04485,11.27176
398,16.80507,42.01269,67.22031
399,146.9129,367.2823,587.6517
400,76.60427,191.5107,306.4171
401,7.491803,18.72951,29.96721
402,2.232195,5.580488,8.928782
403,5.593744,13.98436,22.37498
404,28.82303,72.05758,115.2921
405,353.1653,882.9132,1000
406,285.1249,712.8123,1000
407,126.0738,315.1846,504.2954
408,9.523407,23.80852,38.09363
409,14.46371,36.15927,57.85484
410,6.954659,17.38665,27.81864
411,398.4106,996.0267,1000
412,361.673,904.1825,1000
413,297.3098,743.2745,1000
414,201.5931,503.9827,806.3723
415,59.51856,148.7964,238.0742
416,28.53289,71.33223,114.1316
417,126.7364,316.841,506.9456
418,270.4441,676.1102,1000
419,365.1468,912.867,1000
420,390.4658,976.1646,1000
421,376.5844,941.4612,1000
422,294.7065,736.7664,1000
423,89.05676,222.6419,356.2271
424,73.98116,184.9529,295.9247
425,229.5648,573.9122,918.2595
426,144.8492,362.1231,579.397
427,87.77755,219.4439,351.1102
428,81.03756,202.5939,324.1502
429,286.1148,715.2871,1000
430,722.064,873.919,751.536
431,389.4312,973.5781,1000
432,283.5014,708.7536,1000
433,353.3666,883.4165,1000
434,371.1567,927.8918,1000
435,257.1845,642.9614,1000
436,81.12035,202.8009,324.4814
437,132.3351,330.8379,529.3406
438,309.3255,773.3139,1000
439,262.3317,655.8292,1000
440,358.6819,896.7048,1000
441,384.8577,962.1442,1000
442,334.8189,837.0474,1000
443,328.6721,821.6803,1000
444,704.424,718.7553,733.176
445,190.8343,477.0858,763.3373
446,58.48892,146.2223,233.9557
447,41.6712,104.178,166.6848
448,157.8825,394.7063,631.5301
449,149.5379,373.8448,598.1517
450,136.0821,340.2053,544.3285
451,216.792,541.9799,867.1679
452,238.5217,596.3043,954.0869
453,381.0902,952.7255,1000
454,244.285,610.7126,977.1401
455,213.165,532.9125,852.66
456,123.7192,309.298,494.8768
457,41.82,104.55,167.28
458,164.38,410.95,657.52
459,8.231739,20.57935,32.92696
460,16.35199,40.87998,65.40797
461,19.80929,49.52322,79.23715
462,583.198,595.1486,607.002
463,317.0548,792.6371,1000
464,357.6062,894.0155,1000
465,337.2216,843.054,1000
466,322.3591,805.8978,1000
467,105.8221,264.5553,423.2885
468,47.81924,119.5481,191.277
469,13.67394,34.18485,54.69576
470,8.774912,21.93728,35.09965
471,81.70455,204.2614,326.8182
472,156.0996,390.249,624.3984
473,354.5759,886.4398,1000
474,393.612,984.03,1000
475,394.9456,987.364,1000
476,385.8908,964.7271,1000
477,69.76408,174.4102,279.0563
478,55.99683,139.9921,223.9874
479,80.4004,201.001,321.6016
480,51.0386,127.5965,204.1544
481,66.7372,166.843,266.9488
482,185.0401,462.6003,740.1605
483,160.3728,400.932,641.4912
484,386.4078,966.0195,1000
485,128.6089,321.5222,514.4355
486,151.743,379.3574,606.9719
487,168.0595,420.1488,672.2381
488,268.4284,671.071,1000
